gene	acc	family	subfamily	go_id	go_label	aspect	node	n_seeds	n_seed_in_fam	same_sf	other_sf	other_subfamilies	our_action	flags
wee1	P07527	PTHR11042	PTHR11042:SF196	GO:0005634	nucleus	cellular_component	PTN000113601	8	7	0	7	PTHR11042:SF160;PTHR11042:SF58;PTHR11042:SF59;PTHR11042:SF72;PTHR11042:SF75	ACCEPT	CROSS_SUBFAMILY;LOCALIZATION
wee1	P07527	PTHR11042	PTHR11042:SF196	GO:0005737	cytoplasm	cellular_component	PTN000113601	7	5	0	5	PTHR11042:SF160;PTHR11042:SF163;PTHR11042:SF166;PTHR11042:SF183;PTHR11042:SF75	KEEP_AS_NON_CORE	CROSS_SUBFAMILY;LOCALIZATION
wee1	P07527	PTHR11042	PTHR11042:SF196	GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	biological_process	PTN008315181	3	2	0	2	PTHR11042:SF183	ACCEPT	CROSS_SUBFAMILY
wee1	P07527	PTHR11042	PTHR11042:SF196	GO:0004713	protein tyrosine kinase activity	molecular_function	PTN000867899	0	0	0	0		ACCEPT	NO_UNIPROT_SEEDS
wee1	P07527	PTHR11042	PTHR11042:SF196	GO:0110031	negative regulation of G2/MI transition of meiotic cell cycle	biological_process	PTN008315181	0	0	0	0		ACCEPT	NO_UNIPROT_SEEDS
cdc25	P06652	PTHR10828	PTHR10828:SF17	GO:0005634	nucleus	cellular_component	PTN000850864	1	1	0	1	PTHR10828:SF64	ACCEPT	CROSS_SUBFAMILY;LOCALIZATION
cdc25	P06652	PTHR10828	PTHR10828:SF17	GO:0005737	cytoplasm	cellular_component	PTN000850864	0	0	0	0		ACCEPT	LOCALIZATION;NO_UNIPROT_SEEDS
cdc25	P06652	PTHR10828	PTHR10828:SF17	GO:0000086	G2/M transition of mitotic cell cycle	biological_process	PTN000089071	3	3	1	2	PTHR10828:SF46;PTHR10828:SF64	ACCEPT	
cdc25	P06652	PTHR10828	PTHR10828:SF17	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	biological_process	PTN000089071	2	2	0	2	PTHR10828:SF46;PTHR10828:SF48	ACCEPT	CROSS_SUBFAMILY
cdc25	P06652	PTHR10828	PTHR10828:SF17	GO:0110032	positive regulation of G2/MI transition of meiotic cell cycle	biological_process	PTN000089071	0	0	0	0		KEEP_AS_NON_CORE	NO_UNIPROT_SEEDS
