CompPASS_ID	bait_symbol	bait_geneid	db_protein_id	symbol	prot_description	gene_id	ave_apsm	nwdscore	zscore	plate_zscore	entropy	uPeps	ratio	total_psms	ratioTotalPSMs	UtoTratio	pWrongID	pNoInt	pInt
106246	ADA	100	sp|P05387|RLA2_HUMAN	RPLP2	 60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	6181	5	0.03	-0.6	-0.178538	0.902393	6	0.999452	175120	0.00006	0.6	0.	0.99922	0.00078
106246	ADA	100	sp|P07737|PROF1_HUMAN	PFN1	 Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2	5216	5	0.03	-0.11	0.515216	0.902393	6	0.992608	116064	0.00009	0.6	0.	0.9998	0.0002
106234	BEND7	222389	sp|P22626|ROA2_HUMAN	HNRNPA2B1	 Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2	3181	41	0.09	2.89	0.723427	0.965803	20	1.	427487	0.00019	0.243902	0.	0.98014	0.01986
106234	BEND7	222389	sp|O95232|LC7L3_HUMAN	LUC7L3	 Luc7-like protein 3 OS=Homo sapiens GN=LUC7L3 PE=1 SV=2	51747	2	0.04	0.5	0.766778	0.881291	3	0.471801	21336	0.00019	0.75	0.	0.99993	0.00007
106234	BEND7	222389	sp|Q04837|SSBP_HUMAN	SSBP1	 Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1	6742	3	0.02	-0.99	0.64387	1.	3	0.993794	123907	0.00005	0.5	0.	0.99988	0.00012
106234	BEND7	222389	sp|Q13765|NACA_HUMAN	NACA	 Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens GN=NACA PE=1 SV=1	4666	3	0.02	-0.49	1.53677	0.979869	3	0.989049	85541	0.00007	0.5	0.	0.99996	0.00004
106234	BEND7	222389	sp|P51991-2|ROA3_HUMAN	HNRNPA3	 Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3	220988	5	0.03	-0.39	-0.639676	0.992774	6	0.992426	139341	0.00007	0.6	0.	0.99974	0.00026
106234	BEND7	222389	sp|P09651-2|ROA1_HUMAN	HNRNPA1	 Isoform A1-A of Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1	3178	7	0.04	-0.33	5.	0.996317	6	0.996989	180356	0.00008	0.428571	0.	0.98402	0.01598
106234	BEND7	222389	sp|Q99729-2|ROAA_HUMAN	HNRNPAB	 Isoform 2 of Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB	3182	5	0.03	-0.22	-0.605106	1.	5	0.994525	123166	0.00008	0.5	0.	0.99997	0.00003
106234	BEND7	222389	sp|P68104|EF1A1_HUMAN	EEF1A1	 Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	1915	5	0.03	-1.1	-0.698254	1.	5	0.999909	306622	0.00003	0.5	0.	0.99838	0.00162
106234	BEND7	222389	sp|P39023|RL3_HUMAN	RPL3	 60S ribosomal protein L3 OS=Homo sapiens GN=RPL3 PE=1 SV=2	6122	9	0.09	1.07	0.456839	0.979869	8	0.745483	60022	0.0003	0.444444	0.	0.99752	0.00248
106246	ADA	100	sp|O15145|ARPC3_HUMAN	ARPC3	 Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3	10094	2	0.04	0.55	0.0605654	0.954434	2	0.512776	21249	0.00019	0.5	0.	0.99995	0.00005
106234	BEND7	222389	sp|P36873-2|PP1G_HUMAN	PPP1CC	 Isoform Gamma-2 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC	5501	3	0.02	-0.41	0.79959	1.	4	0.940956	96904	0.00006	0.666667	0.	0.99936	0.00064
106234	BEND7	222389	sp|P62136|PP1A_HUMAN	PPP1CA	 Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens GN=PPP1CA PE=1 SV=1	5499	4	0.03	-0.57	0.661724	1.	5	0.975087	191830	0.00004	0.625	0.	0.99962	0.00038
106234	BEND7	222389	sp|P62140|PP1B_HUMAN	PPP1CB	 Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3	5500	3	0.03	-0.32	0.908005	1.	4	0.854444	91222	0.00007	0.666667	0.	0.9999	0.0001
106234	BEND7	222389	sp|P29401|TKT_HUMAN	TKT	 Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3	7086	9	0.04	0.27	0.651769	0.991992	10	0.983209	165895	0.00011	0.555556	0.	0.99945	0.00055
106234	BEND7	222389	sp|P08670|VIME_HUMAN	VIM	 Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	7431	4	0.03	-1.25	0.502198	0.988699	6	0.998175	372431	0.00002	0.75	0.	0.99878	0.00122
106234	BEND7	222389	sp|Q16769-2|QPCT_HUMAN	QPCT	 Isoform 2 of Glutaminyl-peptide cyclotransferase OS=Homo sapiens GN=QPCT	25797	3	0.02	-0.43	1.14873	1.	5	0.979285	82562	0.00007	0.833333	0.	0.99996	0.00004
106234	BEND7	222389	sp|Q07020|RL18_HUMAN	RPL18	 60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=2	6141	5	0.03	0.69	0.413107	0.976021	4	0.90810
