CompPASS_ID	bait_symbol	bait_geneid	db_protein_id	symbol	prot_description	gene_id	ave_apsm	nwdscore	zscore	plate_zscore	entropy	uPeps	ratio	total_psms	ratioTotalPSMs	UtoTratio	pWrongID	pNoInt	pInt
118279	ANKRD13A	88455	sp|Q8IZ07|AN13A_HUMAN	ANKRD13A	 Ankyrin repeat domain-containing protein 13A OS=Homo sapiens GN=ANKRD13A PE=1 SV=3	88455	76	16.52	66.04	19.329	1.	35	0.0153715	422	0.36019	0.230263	0.	0.	1.
118279	ANKRD13A	88455	sp|P40925|MDHC_HUMAN	MDH1	 Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4	4190	4	0.04	-0.62	0.287915	0.988699	5	0.996072	62152	0.00013	0.625	0.	0.99974	0.00026
118279	ANKRD13A	88455	sp|P06703|S10A6_HUMAN	S100A6	 Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1	6277	3	0.04	0.8	0.543993	1.	4	0.920922	22169	0.00027	0.666667	0.	0.99999	0.00001
118279	ANKRD13A	88455	sp|O43169|CYB5B_HUMAN	CYB5B	 Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2	80777	2	0.03	-0.74	0.509019	0.881291	3	0.980871	34370	0.00012	0.75	0.	0.99999	0.00001
118279	ANKRD13A	88455	sp|Q9P2J5|SYLC_HUMAN	LARS	 Leucyl-tRNA synthetase, cytoplasmic OS=Homo sapiens GN=LARS PE=1 SV=2	51520	8	0.09	0.35	0.734159	1.	12	0.953886	61144	0.00026	0.75	0.	0.9992	0.0008
118279	ANKRD13A	88455	sp|Q8WXX5|DNJC9_HUMAN	DNAJC9	 DnaJ homolog subfamily C member 9 OS=Homo sapiens GN=DNAJC9 PE=1 SV=1	23234	4	0.04	-0.14	0.126505	0.964079	5	0.981896	50788	0.00016	0.625	0.	0.9998	0.0002
118279	ANKRD13A	88455	sp|Q7KZN9-2|COX15_HUMAN	COX15	 Isoform 2 of Cytochrome c oxidase assembly protein COX15 homolog OS=Homo sapiens GN=COX15	1355	2	0.3	1.78	1.01845	0.954434	2	0.102989	2576	0.00155	0.5	0.00007	0.99736	0.00257
118279	ANKRD13A	88455	sp|Q9UBQ5|EIF3K_HUMAN	EIF3K	 Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens GN=EIF3K PE=1 SV=1	27335	2	0.05	0.75	0.704602	0.954434	2	0.717848	9062	0.00044	0.5	0.	0.99966	0.00034
118279	ANKRD13A	88455	sp|P14735|IDE_HUMAN	IDE	 Insulin-degrading enzyme OS=Homo sapiens GN=IDE PE=1 SV=4	3416	4	0.13	0.14	-0.0624763	0.852405	6	0.822374	31553	0.00025	0.75	0.	0.99969	0.00031
118279	ANKRD13A	88455	sp|Q9BVV7|TI21L_HUMAN	C18orf55	 TIM21-like protein, mitochondrial OS=Homo sapiens GN=C18orf55 PE=1 SV=1	29090	6	0.17	4.4	2.36652	0.954434	6	0.306746	6578	0.00182	0.5	0.	0.99625	0.00375
118279	ANKRD13A	88455	sp|Q15046-2|SYK_HUMAN	KARS	 Isoform Mitochondrial of Lysyl-tRNA synthetase OS=Homo sapiens GN=KARS	3735	14	0.08	0.07	0.15615	0.996566	16	0.999658	159834	0.00018	0.571429	0.	0.99494	0.00506
118279	ANKRD13A	88455	sp|P46778|RL21_HUMAN	RPL21	 60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2	6144	8	0.06	1.42	0.805361	1.	8	0.956618	42056	0.00038	0.5	0.	0.99979	0.00021
118279	ANKRD13A	88455	sp|O15427|MOT4_HUMAN	SLC16A3	 Monocarboxylate transporter 4 OS=Homo sapiens GN=SLC16A3 PE=1 SV=1	9123	3	0.06	0.64	0.204039	1.	4	0.633476	18190	0.00033	0.666667	0.	0.99984	0.00016
118279	ANKRD13A	88455	sp|Q9NX58|LYAR_HUMAN	LYAR	 Cell growth-regulating nucleolar protein OS=Homo sapiens GN=LYAR PE=1 SV=2	55646	1	0.03	-0.67	-0.489161	1.	2	0.836721	37991	0.00005	1.	0.	0.99988	0.00012
118279	ANKRD13A	88455	sp|P27797|CALR_HUMAN	CALR	 Calreticulin OS=Homo sapiens GN=CALR PE=1 SV=1	811	4	0.04	-1.14	-1.17461	0.988699	3	0.999829	115567	0.00007	0.375	0.	0.99931	0.00069
118279	ANKRD13A	88455	sp|P53999|TCP4_HUMAN	SUB1	 Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3	10923	2	0.03	-0.46	-0.0616655	0.954434	2	0.970794	29310	0.00014	0.5	0.	0.99999	0.00001
118279	ANKRD13A	88455	sp|P18621|RL17_HUMAN	RPL17	 60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3	6139	7	0.06	0.98	0.854538	0.996317	6	0.91187	38349	0.00037	0.428571	0.	0.99871	0.00129
118279	ANKRD13A	88455	sp|P60842|IF4A1_HUMAN	EIF4A1	 Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1	1973	4	0.04	-1.35	-0.598688	0.964079	7	0.990436	142258	0.00006	0.875	0.	0.9997	0.0003
118279	ANKRD13A	88455	sp|P38919|IF4A3_HUMAN	EIF4A3	 Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4	9775	2	0.03	-0.88	-0.294943	0.954434	2	0.934757	57738	0.00007	0.5	0.	0.99994	0.00006
11827
