symbol,uniprot_id,species,reason_included
POMC,P01189,human,isoform-cleavage
App,P12023,mouse,isoform-splicing-cleavage
APP,P05067,human,isoform-splicing-cleavage
AGRN,O00468,human,isoform-splicing
WT1,P19544,human,isoform-splicing
BCL2L1,Q07817,human,isoform-splicing
Ang2,Q8CGB0,mouse,isoform-review-salvaged
Ghr,P16882,mouse,isoform-review-salvaged
Myc,P01108,mouse,isoform-review-salvaged
Akt1,P47196,rat,isoform-review-salvaged
Casp3,P55213,rat,isoform-review-salvaged
VEGFA,P15692,human,isoform-pending
FAS,P25445,human,isoform-pending
CASP9,P55211,human,isoform-pending
FN1,P02751,human,isoform-pending
TPM1,P09493,human,isoform-pending
FGFR2,P21802,human,isoform-pending
PKM,P14618,human,isoform-pending
