gene	leaf	phloem	primary root	shoot apex	xylem	xylem fiber cell	xylem vessel	xylem vessel, xylem fiber and ray cell	peak_tissue
CASPL3A2	3.0	55.0	48.0	13.0	10.0	0.3	19.0	7.0	phloem
CASPL2A2	24.0	2.0	0.1	9.0	0.1	0.0	0.0	0.0	leaf
CASPL3A1	5.0	43.0	14.0	34.0	21.0	0.0	11.0	3.0	phloem
CASPL2B2	10.0	38.0	12.0	19.0	38.0	39.0	0.0	39.0	xylem fiber cell
CASPL4C1	2.0	2.0	2.0	1.0	0.5	0.0	0.0	0.2	leaf
CASPL4D1	0.4	0.0	4.0	0.2	0.0	0.0	0.0	0.0	primary root
CASPL4C2	2.0	29.0	6.0	12.0	2.0	0.0	0.0	3.0	phloem
CASPL1B1	0.2	0.6	120.0	0.0	0.2	0.0	0.1	2.0	primary root
CASPL1F2	16.0	21.0	0.1	18.0	30.0	4.0	34.0	2.0	xylem vessel
CASPL1F1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	xylem vessel, xylem fiber and ray cell
CASPL1C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NA
CASPL2C1	25.0	0.3	2.0	0.5	0.1	0.0	0.0	0.0	leaf
