id,name,entry_type,source_tax_id,source_tax_name,full_tax_name,gene,length,subfamily,subfamily_name,in_alphafold
O35394,Prenylated Rab acceptor protein 1,protein,10116,Rattus norvegicus,Rattus norvegicus (Rat),Rabac1,185,PTHR19317:SF0,PRENYLATED RAB ACCEPTOR PROTEIN 1,True
O80915,PRA1 family protein B4,protein,3702,Arabidopsis thaliana,Arabidopsis thaliana (Mouse-ear cress),PRA1B4,220,PTHR19317:SF34,PRA1 FAMILY PROTEIN-RELATED,True
P53633,Prenylated Rab acceptor 1,protein,559292,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),YIP3,176,PTHR19317:SF0,PRENYLATED RAB ACCEPTOR PROTEIN 1,True
P93829,PRA1 family protein D,protein,3702,Arabidopsis thaliana,Arabidopsis thaliana (Mouse-ear cress),PRA1D,182,PTHR19317:SF81,PRA1 FAMILY PROTEIN D,True
Q1G3K7,PRA1 family protein C,protein,3702,Arabidopsis thaliana,Arabidopsis thaliana (Mouse-ear cress),PRA1C,127,PTHR19317:SF76,PRA1 FAMILY PROTEIN C,True
Q1RMH4,Prenylated Rab acceptor protein 1,protein,9913,Bos taurus,Bos taurus (Bovine),RABAC1,185,PTHR19317:SF0,PRENYLATED RAB ACCEPTOR PROTEIN 1,True
Q52NJ0,Prenylated Rab acceptor protein 1,protein,9823,Sus scrofa,Sus scrofa (Pig),RABAC1,185,PTHR19317:SF0,PRENYLATED RAB ACCEPTOR PROTEIN 1,True
Q54NS7,PRA1 family protein 2,protein,44689,Dictyostelium discoideum,Dictyostelium discoideum (Social amoeba),prafB,158,PTHR19317:SF93,PRA1 FAMILY PROTEIN 2,True
Q54XK1,PRA1 family protein 1,protein,44689,Dictyostelium discoideum,Dictyostelium discoideum (Social amoeba),prafA,235,PTHR19317:SF0,PRENYLATED RAB ACCEPTOR PROTEIN 1,True
Q8HY39,Prenylated Rab acceptor protein 1,protein,9615,Canis lupus familiaris,Canis lupus familiaris (Dog),RABAC1,185,PTHR19317:SF0,PRENYLATED RAB ACCEPTOR PROTEIN 1,True
