rank	score	organism	gene	exp_mf	distinct_goa_pmids	distinct_exp_pmids	n_uncited_structure_papers	structure_has_cofactor	structure_is_complex	cofactors	best_paper	best_paper_year
1	7.0	ECOLX	mcr-1	0	1	1	7	True	False	ZN	PMID:29079699	2018
2	6.67	mouse	Ndufb1	0	2	1	7	True	True	ADP,ATP,FES,FMN,GTP,HEC,HEM,NAP,NDP,SF4,ZN	PMID:39395414	2024
3	6.5	BPT4	12	0	1	1	2	True	False	ZN	PMID:12888344	2003
4	6.0	BPT4	9	0	1	1	4	False	True	FE,ZN	PMID:10545330	1999
5	5.75	BPT4	8	0	1	1	3	False	True		PMID:12729757	2003
6	5.35	human	IDH3B	0	4	3	3	True	True	ADP,NAD,NAI	PMID:31515270	2019
7	5.25	BPT4	18	0	1	1	1	False	True		PMID:23434847	2013
8	4.85	human	ATAD1	0	4	4	1	True	True	ADP,ATP	PMID:35550246	2022
9	4.85	human	CFAP61	0	4	4	1	True	True	GDP,GTP	PMID:37258679	2023
10	4.67	human	TOMM5	0	2	2	5	False	True		PMID:40080546	2025
11	4.14	human	SPR	0	6	4	5	True	False	NAP,NDP,ZN	PMID:31244106	2019
12	3.25	human	HSPB3	0	3	1	1	False	True		PMID:29969581	2018
13	3.25	BACSU	spo0A	0	3	3	1	False	True		PMID:12176382	2002
14	2.58	human	AHCTF1	0	5	4	1	False	True		PMID:35679397	2022
15	1.75	ARATH	COI1	0	15	12	1	False	True		PMID:20927106	2010
