organism	gene	uniprot	length	pdb_id	method	resolution_A	chains	coverage_frac
188937	mcrA	Q8THH1	570	7QBS	X-ray	2.33	B=279-291	0.023
188937	mcrA	Q8THH1	570	8GF5	EM	3.00	A/B=1-570	1.000
188937	mcrA	Q8THH1	570	8GF6	EM	3.10	A/B=1-570	1.000
188937	mcrA	Q8THH1	570	9ECN	X-ray	2.00	A/B=1-570	1.000
9POAL	rbcL	P0C512	477	1WDD	X-ray	1.35	A/E=1-477	1.000
9POAL	rbcL	P0C512	477	3AXK	X-ray	1.90	A/B=1-477	1.000
9POAL	rbcL	P0C512	477	3AXM	X-ray	1.65	A/B/C/D/E/F/G/H=1-477	1.000
ACET2	P10477	P10477	814	2WAB	X-ray	1.90	A=485-814	0.405
ACET2	P10477	P10477	814	2WAO	X-ray	1.80	A=485-814	0.405
ACET2	P10477	P10477	814	4IM4	X-ray	2.42	A/B/C/D/E/F=51-386	0.413
ACET2	P10478	P10478	837	1JJF	X-ray	1.75	A=20-287	0.320
ACET2	P10478	P10478	837	1JT2	X-ray	1.80	A=20-287	0.320
ACET2	P10478	P10478	837	1XYZ	X-ray	1.40	A/B=491-837	0.415
ACET2	P15329	P15329	224	2VPT	X-ray	1.40	A=9-149	0.629
ACET2	P51584	P51584	1077	1DYO	X-ray	2.10	A/B=558-718	0.149
ACET2	P51584	P51584	1077	1GKK	X-ray	1.60	A/B=792-1077	0.266
ACET2	P51584	P51584	1077	1GKL	X-ray	1.40	A/B=792-1077	0.266
ACET2	P51584	P51584	1077	1H6X	X-ray	2.23	A=560-720	0.149
ACET2	P51584	P51584	1077	1H6Y	X-ray	2.12	A/B=560-720	0.149
ACET2	P51584	P51584	1077	1OHZ	X-ray	2.20	B=733-791	0.055
ACET2	P51584	P51584	1077	1WB4	X-ray	1.40	A/B=792-1077	0.266
ACET2	P51584	P51584	1077	1WB5	X-ray	1.40	A/B=792-1077	0.266
ACET2	P51584	P51584	1077	1WB6	X-ray	1.40	A/B=792-1077	0.266
ACET2	P51584	P51584	1077	2CCL	X-ray	2.03	B/D=730-791	0.058
ACET2	P51584	P51584	1077	2W5F	X-ray	1.90	A/B=32-551	0.483
ACET2	P51584	P51584	1077	2WYS	X-ray	2.75	A/B=33-551	0.482
ACET2	P51584	P51584	1077	2WZE	X-ray	2.50	A/B=33-551	0.482
ACET2	P51584	P51584	1077	3ZI7	X-ray	2.30	A/B=792-1077	0.266
ACET2	P51584	P51584	1077	4BAG	X-ray	1.90	A/B=792-1077	0.266
ACET2	P51584	P51584	1077	4H35	X-ray	1.90	A/B=792-1077	0.266
ACET2	P51584	P51584	1077	5FXM	X-ray	1.99	A=792-1077	0.266
ACET2	P51584	P51584	1077	6FJ4	X-ray	1.70	A=803-1077	0.255
ACET2	P51584	P51584	1077	6Y8G	X-ray	1.80	AAA/BBB=792-1077	0.266
ACET2	P71143	P71143	631	2BM3	X-ray	1.80	A=29-191	0.258
ACET2	P71143	P71143	631	4FL4	X-ray	2.80	B/E/H/K=27-200	0.276
ACET2	Q01866	Q01866	772	2B59	X-ray	2.11	B=-	0.000
ACET2	Q70DK5	Q70DK5	842	2CN2	X-ray	2.10	A/B/C/D=28-764	0.875
ACET2	Q70DK5	Q70DK5	842	2CN3	X-ray	1.95	A/B=28-764	0.875
ACET2	ancA	Q06848	447	3UL4	X-ray	1.95	A=30-175	0.327
ACET2	celA	A3DC29	477	1CEM	X-ray	1.65	A=33-395	0.761
ACET2	celA	A3DC29	477	1IS9	X-ray	1.03	A=33-395	0.761
ACET2	celA	A3DC29	477	1KWF	X-ray	0.94	A=33-395	0.761
ACET2	celD	A3DDN1	649	4FL4	X-ray	2.90	A/D/G/J=584-649	0.102
ACET2	cipA	Q06851	1853	1ANU	X-ray	2.15	A=184-321	0.074
ACET2	cipA	Q06851	1853	1AOH	X-ray	1.70	A/B=1216-1361	0.079
ACET2	cipA	Q06851	1853	1NBC	X-ray	1.75	A/B=368-522	0.084
ACET2	cipA	Q06851	1853	1OHZ	X-ray	2.20	A=181-340	0.086
ACET2	cipA	Q06851	1853	2B59	X-ray	2.11	B=1691-1853	0.088
ACET2	cipA	Q06851	1853	2CCL	X-ray	2.03	A/C=181-328	0.080
ACET2	cipA	Q06851	1853	3KCP	X-ray	1.94	A=1542-1853	0.168
