organism	gene	uniprot	is_eukaryote	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental	n_contested_cat_mf	contested_cat_mf
BPT4	E	P00720	0	164	768	EM;NMR;Neutron;Other;X-ray	0.84	1.000	3	0	0	3	1	0	
human	CDK2	P24941	1	298	498	EM;X-ray	0.98	1.000	192	11	17	220	1	1	GO:0035173|histone kinase activity|MARK_AS_OVER_ANNOTATED
human	KRAS	P01116	1	189	402	EM;NMR;X-ray	1.01	1.000	11	2	12	25	1	0	
human	INS	P01308	1	110	366	EM;NMR;X-ray	0.92	1.000	28	54	2	84	1	0	
human	EGFR	P00533	1	1210	334	EM;NMR;X-ray	1.07	1.000	631	43	42	716	1	1	GO:0004709|MAP kinase kinase kinase activity|MARK_AS_OVER_ANNOTATED
human	TP53	P04637	1	393	284	EM;NMR;X-ray	1.01	1.000	653	114	60	827	1	0	
human	CALM1	P0DP23	1	149	270	EM;NMR;Other;X-ray	1.24	1.000	45	22	10	77	1	0	
human	HRAS	P01112	1	189	234	NMR;Neutron;X-ray	1.00	1.000	218	25	9	252	1	0	
human	APP	P05067	1	770	222	EM;NMR;Other;X-ray	0.85	1.000	532	100	47	679	1	0	
human	DDB1	Q16531	1	1140	181	EM;X-ray	1.70	1.000	123	25	42	190	1	0	
human	ELOB	Q15370	1	118	177	EM;NMR;X-ray	1.32	1.000	33	3	18	54	1	0	
human	ELOC	Q15369	1	112	173	EM;NMR;X-ray	1.32	1.000	53	4	16	73	1	0	
human	MAPK1	P28482	1	360	157	EM;X-ray	1.12	1.000	111	17	9	137	1	2	GO:0008353|RNA polymerase II CTD heptapeptide repeat kinase activity|MARK_AS_OVER_ANNOTATED;GO:0008353|RNA polymerase II CTD heptapeptide repeat kinase activity|MARK_AS_OVER_ANNOTATED
human	SOD1	P00441	1	154	151	EM;NMR;X-ray	0.98	1.000	112	12	33	157	1	0	
human	CASP3	P42574	1	277	135	EM;X-ray	1.06	1.000	61	29	7	97	1	2	GO:0004190|aspartic-type endopeptidase activity|REMOVE;GO:0004861|cyclin-dependent protein serine/threonine kinase inhibitor activity|REMOVE
human	RACK1	P63244	1	317	134	EM;X-ray	1.67	1.000	81	22	22	125	1	0	
human	ADRB2	P07550	1	413	133	EM;NMR;X-ray	1.90	1.000	71	12	14	97	1	0	
human	RPS3	P23396	1	243	133	EM;NMR;X-ray	1.67	1.000	78	20	37	135	1	3	GO:0016829|lyase activity|MARK_AS_OVER_ANNOTATED;GO:0140078|class I DNA-(apurinic or apyrimidinic site) endonuclease activity|MARK_AS_OVER_ANNOTATED;GO:0003906|DNA-(apurinic or apyrimidinic site) endonuclease activity|MARK_AS_OVER_ANNOTATED
human	FKBP5	Q13451	1	457	132	EM;X-ray	0.85	1.000	59	2	2	63	1	0	
human	BRAF	P15056	1	766	127	EM;NMR;X-ray	1.50	1.000	168	10	4	182	1	0	
human	FTH1	P02794	1	183	124	EM;Other;X-ray	1.06	1.000	32	2	5	39	1	1	GO:0016491|oxidoreductase activity|MARK_AS_OVER_ANNOTATED
human	PSMA1	P25786	1	263	118	EM;X-ray	1.80	1.000	236	4	17	257	1	0	
human	VCP	P55072	1	806	118	EM;X-ray	1.55	1.000	230	54	26	310	1	0	
BPT4	wac	P10104	0	487	117	EM;NMR;X-ray	0.97	1.000	0	0	0	0	0	0	
human	BCL2L1	Q07817	1	233	112	NMR;Other;X-ray	1.30	0.910	97	14	5	116	1	0	
human	RPL18A	Q02543	1	176	107	EM	1.67	1.000	15	1	6	22	1	0	
human	KEAP1	Q14145	1	624	105	EM;X-ray	1.32	1.000	137	11	8	156	1	0	
human	PSMB5	P28074	1	263	105	EM;X-ray	1.80	1.000	38	5	13	56	1	0	
