map	subsystem	model_reaction	name	kegg_xrefs	reason	gpr
rn00010	S_Glycolysis|S_Gluconeogenesis	2DHGLCK	Dehydrogluconokinase	R02658	kegg_xref_not_on_map	PP_3378
rn00010	S_Glycolysis|S_Gluconeogenesis	EDA	2-dehydro-3-deoxy-phosphogluconate aldolase	R05605	kegg_xref_not_on_map	PP_1024
rn00010	S_Glycolysis|S_Gluconeogenesis	EDD	6-phosphogluconate dehydratase	R02036	kegg_xref_not_on_map	PP_1010
rn00010	S_Glycolysis|S_Gluconeogenesis	G6PBDH	Beta-D-Glucose-6-phosphate NADP+ 1-oxoreductase	R02736	kegg_xref_not_on_map	PP_1022 or PP_5351 or PP_4042
rn00010	S_Glycolysis|S_Gluconeogenesis	G6PDH2r	Glucose 6-phosphate dehydrogenase	R00835	kegg_xref_not_on_map	PP_1022 or PP_5351 or PP_4042
rn00010	S_Glycolysis|S_Gluconeogenesis	GAD2ktpp	Gluconate 2 dehydrogenase  periplasm 		no_kegg_xref	PP_3382 and PP_3383 and PP_3384
rn00010	S_Glycolysis|S_Gluconeogenesis	GLCDpp	Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm)		no_kegg_xref	PP_1444
rn00010	S_Glycolysis|S_Gluconeogenesis	GNK	Gluconokinase	R01737	kegg_xref_not_on_map	PP_3416
rn00010	S_Glycolysis|S_Gluconeogenesis	HEX1	Hexokinase (D-glucose:ATP)	R00299	kegg_xref_not_on_map	PP_1011
rn00010	S_Glycolysis|S_Gluconeogenesis	OAADC	Oxaloacetate decarboxylase	R00217	kegg_xref_not_on_map	PP_1024
rn00010	S_Glycolysis|S_Gluconeogenesis	PDH	Pyruvate dehydrogenase	R00209	kegg_xref_not_on_map	(PP_0339 and PP_0338 and PP_4187) or (PP_0339 and PP_0338 and PP_5366)
rn00010	S_Glycolysis|S_Gluconeogenesis	PGI	Glucose-6-phosphate isomerase		no_kegg_xref	PP_1808 or PP_4701
rn00010	S_Glycolysis|S_Gluconeogenesis	PGL	6-phosphogluconolactonase	R02035	kegg_xref_not_on_map	PP_1023
rn00010	S_Glycolysis|S_Gluconeogenesis	PGLCNDH	Phosphogluconate 2 dehydrogenase	R02034	kegg_xref_not_on_map	PP_3376
rn00010	S_Glycolysis|S_Gluconeogenesis	PPC	Phosphoenolpyruvate carboxylase	R00345	kegg_xref_not_on_map	PP_1505
rn00010	S_Glycolysis|S_Gluconeogenesis	PDHa	Pyruvate dehydrogenase (lipoamide)		no_kegg_xref	PP_0339
rn00010	S_Glycolysis|S_Gluconeogenesis	PDHbr	Pyruvate dehydrogenase (dihydrolipoamide) reversible		no_kegg_xref	PP_0338
rn00010	S_Glycolysis|S_Gluconeogenesis	AGPOP	DGTP:pyruvate 2-O-phosphotransferase, cytosol	R01858	kegg_xref_not_on_map	PP_1362 or PP_4301
rn00020	S_TCA_Cycle	ICDHyr	Isocitrate dehydrogenase (NADP)	R00267	kegg_xref_not_on_map	PP_4012 or PP_4011
rn00020	S_TCA_Cycle	ICL	Isocitrate lyase	R00479	kegg_xref_not_on_map	PP_4116
rn00020	S_TCA_Cycle	MALS	Malate synthase	R00472	kegg_xref_not_on_map	PP_0356
rn00020	S_TCA_Cycle	MDH2	Malate dehydrogenase (ubiquinone 8 as acceptor)		no_kegg_xref	PP_0751 or PP_1251 or PP_2925
rn00020	S_TCA_Cycle	ME2	Malic enzyme (NADP)	R00216	kegg_xref_not_on_map	PP_5085
rn00020	S_TCA_Cycle	PDHcr	Pyruvate dehydrogenase (dihydrolipoamide dehydrogenase) reversible	R01698	kegg_xref_not_on_map	PP_5366 or PP_4187
rn00020	S_TCA_Cycle	PTAr	Phosphotransacetylase	R00230	kegg_xref_not_on_map	PP_0774
rn00020	S_TCA_Cycle	SUCDi	Succinate dehydrogenase (irreversible)		no_kegg_xref	PP_4190 and PP_4191 and PP_4192 and PP_4193
rn00020	S_TCA_Cycle	DMALRED	(S)-Malate:(acceptor) oxidoreductase	R01257	kegg_xref_not_on_map	PP_0751 or PP_1251 or PP_2925
rn00020	S_TCA_Cycle	AKGDb_copy2	Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)		no_kegg_xref	PP_4188
rn00020	S_TCA_Cycle	AKGDH	2-Oxogluterate dehydrogenase	R08549	kegg_xref_not_on_map	PP_4189 and PP_4188 and PP_4187
rn00020	S_TCA_Cycle	AKGDa	Oxoglutarate dehydrogenase (lipoamide)		no_kegg_xref	PP_4189
rn00020	S_TCA_Cycle	AKGDb_copy1	Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase)		no_kegg_xref	PP_4188
rn00220	S_Arginine_and_Proline_Metabolism	ARGDC	Arginine decarboxylase	R00566	kegg_xref_not_on_map	PP_0567
