map	kegg_reaction	model_reaction	fba_flux	gpr	genes
rn00010	R01068	FBA	7.47738	b2097 or b1773 or b2925	b1773;b2097;b2925
rn00010	R00754	ALCD2x	0	b0356 or b1478 or b1241	b0356;b1241;b1478
rn00010	R00200	PYK	1.75818	b1854 or b1676	b1676;b1854
rn00010	R00658	ENO	14.7161	b2779	b2779
rn00010	R01518	PGM	-14.7161	b3612 or b4395 or b0755	b0755;b3612;b4395
rn00010	R01061	GAPD	16.0235	b1779	b1779
rn00010	R01015	TPI	7.47738	b3919	b3919
rn00010	R00756	PFK	7.47738	b3916 or b1723	b1723;b3916
rn00010	R00762	FBP	0	b3925 or b4232	b3925;b4232
rn00010	R01512	PGK	-16.0235	b2926	b2926
rn00010	R00341	PPCK	0	b3403	b3403
rn00010	R00199	PPS	0	b1702	b1702
rn00020	R00405	SUCOAS	-5.06438	b0728 and b0729	b0728;b0729
rn00020	R01082	FUM	5.06438	b1612 or b4122 or b1611	b1611;b1612;b4122
rn00020	R01900	ACONTb	6.00725	b0118 or b1276	b0118;b1276
rn00020	R01325	ACONTa	6.00725	b0118 or b1276	b0118;b1276
rn00020	R00351	CS	6.00725	b0720	b0720
rn00020	R00342	MDH	5.06438	b3236	b3236
rn00020	R00341	PPCK	0	b3403	b3403
rn00030	R01056	RPI	-2.2815	b2914 or b4090	b2914;b4090
rn00030	R01529	RPE	2.67848	b3386 or b4301	b3386;b4301
rn00030	R01068	FBA	7.47738	b2097 or b1773 or b2925	b1773;b2097;b2925
rn00030	R00756	PFK	7.47738	b3916 or b1723	b1723;b3916
rn00030	R00762	FBP	0	b3925 or b4232	b3925;b4232
rn00030	R01528	GND	4.95998	b2029	b2029
rn00030	R02035	PGL	4.95998	b0767	b0767
