map	subsystem	subsystem_reactions	retained_by_bioemma	recall_pct	retained_on_map_total	dropped_on_map	dropped_xref_not_on_map	dropped_no_kegg_xref
rn00010	S_Glycolysis|S_Gluconeogenesis	30	12	40.0	15	0	13	5
rn00020	S_TCA_Cycle	20	7	35.0	8	0	8	5
rn00220	S_Arginine_and_Proline_Metabolism	28	4	14.3	17	2	20	2
rn00290	S_Valine__Leucine__and_Isoleucine_Metabolism	35	12	34.3	15	2	11	10
rn00300	S_Lysine_Metabolism	33	9	27.3	11	0	12	12
rn00340	S_Histidine_Metabolism	17	11	64.7	15	4	2	0
rn00270	S_Methionine_Metabolism	14	11	78.6	27	0	2	1
rn00780	S_Cofactor_and_Prosthetic_Group_Biosynthesis__Biotin_Biosynthesis	15	9	60.0	9	0	0	6
rn00770	S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis	10	9	90.0	15	1	0	0
rn00362	S_Aromatic_Compounds_Degradation__B_Ketoadipate_pathway	26	12	46.2	19	0	9	5
rn00630	S_Glyoxylate_and_dicarboxylate_metabolism	11	10	90.9	28	0	1	0
rn00260	S_Glycine__Serine_and_threonine_metabolism	15	11	73.3	31	1	2	1
