map	kegg_reactions	kegg_metabolites	mapped_to_bigg	mapped_to_seed	retained_reactions	retained_pct_of_kegg	matched_by_bigg_id	matched_by_kegg_id	matched_by_seed_id	retained_with_nonzero_flux	retained_metabolites	escher_nodes
rn00010	56	31	46	53	15	26.8	11	4	0	7	19	103
rn00020	29	20	28	28	8	27.6	8	0	0	6	13	58
rn00030	58	37	44	58	18	31.0	16	2	0	9	26	115
rn00220	33	24	25	31	17	51.5	16	1	0	11	18	111
rn00250	47	28	41	47	23	48.9	23	0	0	11	21	151
rn00260	76	50	60	67	31	40.8	29	2	0	14	41	207
rn00270	101	68	81	95	27	26.7	22	5	0	11	36	174
rn00290	25	23	23	25	15	60.0	11	4	0	12	18	96
rn00300	37	35	31	37	11	29.7	11	0	0	10	17	78
rn00340	45	49	30	44	15	33.3	9	6	0	6	21	92
rn00361	74	83	11	72	0	0.0	0	0	0	0	5	5
rn00362	96	77	35	89	19	19.8	9	8	2	1	26	118
rn00620	85	32	64	80	23	27.1	23	0	0	8	21	163
rn00630	89	67	57	87	28	31.5	28	0	0	12	39	188
rn00670	51	26	41	49	21	41.2	20	1	0	11	24	136
rn00770	34	30	27	33	15	44.1	15	0	0	13	21	108
rn00780	27	29	15	22	9	33.3	2	7	0	9	17	67
