map	kegg_reaction	model_reaction	fba_flux	gpr	genes
rn00010	R01068	FBA	0	PP_4960	PP_4960
rn00010	R00710	ALDD2x	0	PP_2589 or PP_0545 or PP_2694	PP_0545;PP_2589;PP_2694
rn00010	R00711	ALDD2y	0	PP_2492	PP_2492
rn00010	R00754	ALCD2x	0	PP_3839 or PP_1616	PP_1616;PP_3839
rn00010	R00200	PYK	3.23236	PP_4301 or PP_1362	PP_1362;PP_4301
rn00010	R00658	ENO	3.97245	PP_1612	PP_1612
rn00010	R01518	PGM	-3.97245	PP_5056	PP_5056
rn00010	R01061	GAPD	0	PP_1009 or PP_2149	PP_1009;PP_2149
rn00010	R01015	TPI	-0.0941697	PP_4715	PP_4715
rn00010	R00762	FBP	0	PP_5040	PP_5040
rn00010	R01512	PGK	-5.06482	PP_4963	PP_4963
rn00010	R00341	PPCK	0	PP_0253	PP_0253
rn00010	R01063	GAPDi_nadp	-5.06482	PP_0665 or PP_3443	PP_0665;PP_3443
rn00010	R00235	ACS	0.344669	PP_4487 or PP_4702 or PP_3071	PP_3071;PP_4487;PP_4702
rn00010	R00199	PPS	0	PP_2082	PP_2082
rn00020	R00405	SUCOAS	-1.49638	PP_4186 and PP_4185	PP_4185;PP_4186
rn00020	R01082	FUM	3.3967	PP_0944 or PP_1755 or PP_0897	PP_0897;PP_0944;PP_1755
rn00020	R01900	ACONTb	3.49091	PP_2339 or PP_2112	PP_2112;PP_2339
rn00020	R01325	ACONTa	3.49091	PP_2112 or PP_2339	PP_2112;PP_2339
rn00020	R00351	CS	3.49091	PP_4194	PP_4194
rn00020	R00342	MDH	4.53374	PP_0654	PP_0654
rn00020	R00344	PC	0	PP_5347 and PP_5346	PP_5346;PP_5347
rn00020	R00341	PPCK	0	PP_0253	PP_0253
rn00030	R06836	R15BPK	0.558928	PP_4469	PP_4469
rn00030	R05605	EDA	5.19094	PP_1024	PP_1024
rn00030	R01049	PRPPS	0	PP_0722	PP_0722
rn00030	R01057	PPM	-0.558591	PP_1777 or PP_5288	PP_1777;PP_5288
rn00030	R01051	RBK	0	PP_2458	PP_2458
rn00030	R01056	RPI	-0.721119	PP_5150	PP_5150
rn00030	R01529	RPE	0.0769643	PP_0415	PP_0415
rn00030	R01068	FBA	0	PP_4960	PP_4960
rn00030	R00762	FBP	0	PP_5040	PP_5040
rn00030	R02034	PGLCNDH	0	PP_3376	PP_3376
rn00030	R02658	2DHGLCK	0	PP_3378	PP_3378
rn00030	R01528	GND	0.809062	PP_4043	PP_4043
rn00030	R02035	PGL	0	PP_1023	PP_1023
rn00030	R02736	G6PBDH	0	PP_1022 or PP_5351 or PP_4042	PP_1022;PP_4042;PP_5351
rn00030	R01541	DDGLK	0	PP_3378	PP_3378
rn00030	R02036	EDD	5.19094	PP_1010	PP_1010
rn00030	R01737	GNK	6	PP_3416	PP_3416
rn00030	R13089	R1PK	0.558928		
rn00220	R00256	GLUNpp	0	PP_2453	PP_2453
rn00220	R00253	GLNS			
rn00220	R00150	CBMKr	0.407108	PP_0999	PP_0999
rn00220	R01398	OCBT2i	0	PP_1000	PP_1000
rn00220	R01954	ARGSS	0.207633	PP_1088	PP_1088
rn00220	R01086	ARGSL	0.207633	PP_0184	PP_0184
rn00220	R00259	ACGS	0.227394	PP_5185	PP_5185
rn00220	R02649	ACGK	0.227394	PP_5289	PP_5289
rn00220	R03443	AGPR	-0.227394	PP_3633 or PP_0432	PP_0432;PP_3633
rn00220	R02283	ACOTA	-0.227394	PP_4481	PP_4481
rn00220	R00669	ACODA	0.227394	PP_5186 or PP_1346	PP_1346;PP_5186
rn00220	R00552	ARGDr	0	PP_1001	PP_1001
rn00220	R00243	GLUDxi	0	PP_2080	PP_2080
