# gene	has_iba_mf	n_mf	n_exp	n_pmids	n_total	family
DNAJC5G	0	0	0	0	2	DNAJC
DNAJC25	0	0	0	0	4	DNAJC
UMAD1	0	1	2	1	2	UMAD
CALR3	0	2	3	1	9	CALR
GPATCH11	0	2	3	2	5	GPATCH
ATP6V1G3	0	2	4	1	25	ATP
PIP5K1B	0	5	3	2	28	PIP
HSPB3	0	0	3	3	9	HSPB
NAALADL2	0	1	6	1	7	NAALADL
HSPB9	0	1	5	2	9	HSPB
TRAPPC13	0	1	4	3	11	TRAPPC
ATP6V1G2	0	2	4	4	29	ATP
TRAPPC1	0	1	4	5	25	TRAPPC
NLRX1	0	1	5	5	12	NLRX
CWC27	0	1	6	5	16	CWC
DCAF10	0	1	6	5	16	DCAF
CCDC28B	0	1	11	3	13	CCDC
BBIP1	0	1	11	3	23	BBIP
ERO1B	0	7	9	5	25	ERO
RAB24	0	4	7	7	35	RAB
VPS37D	0	1	7	8	26	VPS
FKBPL	0	1	8	8	10	FKBPL
AZI2	0	1	8	8	14	AZI
BBS10	0	3	10	6	14	BBS
NAA35	0	1	12	5	20	NAA
NAA30	0	4	13	5	21	NAA
GTPBP2	0	6	16	3	22	GTPBP
BBS12	0	2	15	6	20	BBS
SUMF2	0	3	17	6	24	SUMF
DCAF11	0	1	14	10	26	DCAF
MVB12B	0	3	18	7	32	MVB
ERO1A	0	6	18	8	43	ERO
USP21	0	5	20	8	38	USP
MCTS1	0	5	19	10	23	MCTS
CHAF1B	0	3	18	11	26	CHAF
DRG2	0	4	19	10	27	DRG
CRBN	0	2	19	10	37	CRBN
EIF3J	0	3	16	13	37	EIF
ERP29	0	4	23	6	43	ERP
COP1	0	3	20	11	39	COP
MVB12A	0	3	21	10	48	MVB
DENR	0	2	19	13	25	DENR
LZTFL1	0	3	23	9	32	LZTFL
HYPK	0	2	22	11	27	HYPK
CGRRF1	0	1	30	3	34	CGRRF
TTC8	0	2	22	12	48	TTC
MKKS	0	3	22	13	65	MKKS
