# protein_id	gene_symbol	species_code
# ANOGA - Anopheles gambiae
Q7Q161	NPAC	ANOGA
O77457	TDO	ANOGA
Q7PK92	DNAAF1	ANOGA
# ARATH - Arabidopsis thaliana
Q9C9W3	At1g67980	ARATH
Q8RX66	NEK3	ARATH
Q9LUJ8	CHL1	ARATH
# DROME - Drosophila melanogaster
Q9U9P7	rdgBbeta	DROME
Q01820	gcl	DROME
Q01989	jar	DROME
# ECOLI - Escherichia coli K12
P0AE52	bcp	ECOLI
B1X800	rlmC	ECOLI
P28697	mbiA	ECOLI
# SCHPO - Schizosaccharomyces pombe
Q9UU87	ppk34	SCHPO
O94267	spt16	SCHPO
P87179	wsc1	SCHPO
# human - Homo sapiens
Q96EA4	SPDL1	human
Q5VW00	DCAF12L2	human
Q9NUL3	STAU2	human
# mouse - Mus musculus
O08675	F2rl2	mouse
P0DN34	Ndufb1	mouse
P0DOV2	Ifi204	mouse
# rat - Rattus norvegicus
P16310	Ghr	rat
P30938	Sstr5	rat
P22791	Hmgcs2	rat
# worm - Caenorhabditis elegans
G5EGH7	lon-8	worm
P90740	fan-1	worm
P54216	aldo-1	worm
# yeast - Saccharomyces cerevisiae
P53270	YGR117C	yeast
P53301	CRH1	yeast
P53632	PAP2	yeast
