species,gene,term_id,term_label,evidence,reference
rat,Akt1,GO:0048266,behavioral response to pain,ISO,GO_REF:0000121
rat,Aprt,GO:0007625,grooming behavior,ISO,GO_REF:0000121
rat,Ddo,GO:0007625,grooming behavior,ISO,GO_REF:0000121
rat,Casp3,GO:0036269,swimming behavior,IEP,PMID:33574912
rat,Tp53,GO:0048512,circadian behavior,ISS,GO_REF:0000024
rat,Tp53,GO:0048512,circadian behavior,ISO,GO_REF:0000121
human,INS,GO:2000252,negative regulation of feeding behavior,IDA,PMID:17957153
human,TP53,GO:0048512,circadian behavior,IEA,GO_REF:0000107
human,TP53,GO:0048512,circadian behavior,ISS,GO_REF:0000024
human,UCK2,GO:0007631,feeding behavior,IEA,GO_REF:0000107
human,STAT3,GO:0060259,regulation of feeding behavior,IEA,GO_REF:0000107
human,STAT3,GO:0060259,regulation of feeding behavior,ISS,GO_REF:0000024
human,STAT3,GO:0042755,eating behavior,ISS,GO_REF:0000024
human,MKKS,GO:0035176,social behavior,ISS,GO_REF:0000024
human,CRBN,GO:0035641,locomotory exploration behavior,IEA,GO_REF:0000107
human,BACE1,GO:0036269,swimming behavior,IEA,GO_REF:0000107
human,SOD1,GO:0007626,locomotory behavior,ISS,GO_REF:0000024
human,BBS4,GO:0030534,adult behavior,ISS,GO_REF:0000024
human,ARCN1,GO:0008344,adult locomotory behavior,IEA,GO_REF:0000107
human,TREM2,GO:0035176,social behavior,IEA,GO_REF:0000117
human,TREM2,GO:0035176,social behavior,IMP,PMID:29752066
human,THBS1,GO:0048266,behavioral response to pain,ISS,GO_REF:0000024
human,GCG,GO:0007631,feeding behavior,TAS,PMID:8538742
human,THBS4,GO:0048266,behavioral response to pain,IEA,GO_REF:0000107
human,THBS4,GO:0048266,behavioral response to pain,ISS,GO_REF:0000024
human,BBS2,GO:0030534,adult behavior,ISS,GO_REF:0000024
human,CASP3,GO:0036269,swimming behavior,IEA,GO_REF:0000107
human,APP,GO:0036269,swimming behavior,IEA,GO_REF:0000107
human,APP,GO:0007617,mating behavior,ISS,GO_REF:0000024
human,APP,GO:0007626,locomotory behavior,ISS,GO_REF:0000024
human,APP,GO:0008344,adult locomotory behavior,ISS,GO_REF:0000024
human,PTEN,GO:0007626,locomotory behavior,ISS,PMID:16675393
human,PTEN,GO:0030534,adult behavior,ISS,PMID:16675393
human,PTEN,GO:0035176,social behavior,ISS,PMID:16675393
human,PTEN,GO:0042711,maternal behavior,ISS,PMID:16675393
human,PEX13,GO:0001967,suckling behavior,ISS,GO_REF:0000024
human,PEX13,GO:0007626,locomotory behavior,ISS,GO_REF:0000024
human,ADM2,GO:0007631,feeding behavior,IEA,GO_REF:0000107
human,NEUROG1,GO:0031223,auditory behavior,IGI,PMID:23419067
human,NEUROG1,GO:0098583,learned vocalization behavior,IGI,PMID:23419067
human,LRRK2,GO:0035640,exploration behavior,IEA,GO_REF:0000117
human,LRRK2,GO:0035641,locomotory exploration behavior,IEA,GO_REF:0000107
human,LRRK2,GO:0035640,exploration behavior,IMP,PMID:20659558
human,AKT1,GO:0048266,behavioral response to pain,IEA,GO_REF:0000107
human,SCN1A,GO:0007628,adult walking behavior,IEA,GO_REF:0000107
human,WFS1,GO:0042048,olfactory behavior,IEA,GO_REF:0000107
human,APOE,GO:0035641,locomotory exploration behavior,IMP,PMID:24412220
human,APOE,GO:2000822,regulation of behavioral fear response,IMP,PMID:24412220
worm,lov-1,GO:1902435,regulation of male mating behavior,NAS,PMID:10517638
worm,lov-1,GO:0060179,male mating behavior,IMP,PMID:15563610
worm,lov-1,GO:0007617,mating behavior,IMP,PMID:10517638
worm,lov-1,GO:0007617,mating behavior,IMP,PMID:11553327
worm,lov-1,GO:0007617,mating behavior,IGI,PMID:11553327
worm,lov-1,GO:0007617,mating behavior,IMP,PMID:15563610
worm,osm-5,GO:0035641,locomotory exploration behavior,IMP,PMID:27930654
worm,mksr-2,GO:0035177,larval foraging behavior,IGI,PMID:18337471
worm,nsy-1,GO:0018991,egg-laying behavior,IMP,PMID:10571181
worm,nsy-1,GO:1901046,positive regulation of egg-laying behavior,IMP,PMID:12142542
worm,sek-1,GO:0034607,turning behavior involved in mating,IMP,PMID:11751572
worm,sek-1,GO:0046662,regulation of egg-laying behavior,IMP,PMID:11751572
worm,sek-1,GO:1901046,positive regulation of egg-laying behavior,IMP,PMID:12142542
worm,che-2,GO:0090325,regulation of locomotion involved in locomotory behavior,IGI,PMID:26434723
worm,che-2,GO:0090326,positive regulation of locomotion involved in locomotory behavior,IMP,PMID:26434723
worm,daf-2,GO:0030536,larval feeding behavior,IMP,PMID:18316030
worm,daf-2,GO:0030536,larval feeding behavior,IGI,PMID:18316030
worm,daf-2,GO:1903998,regulation of eating behavior,IMP,PMID:18316030
worm,daf-2,GO:1903998,regulation of eating behavior,IGI,PMID:18316030
worm,nphp-4,GO:0034607,turning behavior involved in mating,IGI,PMID:15817158
worm,nphp-4,GO:0035177,larval foraging behavior,IMP,PMID:18337471
worm,pkd-2,GO:1902435,regulation of male mating behavior,NAS,PMID:10517638
worm,pkd-2,GO:0060179,male mating behavior,IDA,PMID:11553327
worm,pkd-2,GO:0007617,mating behavior,IMP,PMID:11553327
worm,pkd-2,GO:0007617,mating behavior,IGI,PMID:11553327
worm,che-3,GO:0007635,chemosensory behavior,IMP,PMID:10790327
worm,nphp-1,GO:0034607,turning behavior involved in mating,IGI,PMID:15817158
mouse,Aldh2,GO:0048149,behavioral response to ethanol,ISO,GO_REF:0000096
mouse,Akt1,GO:0048266,behavioral response to pain,IGI,PMID:31874168
mouse,Akt1,GO:0048266,behavioral response to pain,IGI,PMID:31874168
mouse,Bcl2,GO:0001662,behavioral fear response,IMP,PMID:16095731
mouse,Tuba1a,GO:0007626,locomotory behavior,IMP,PMID:22101068
mouse,Tuba1a,GO:0035641,locomotory exploration behavior,IMP,PMID:22101068
mouse,Tuba1a,GO:0061744,motor behavior,IMP,PMID:32184299
mouse,Tuba1a,GO:0008344,adult locomotory behavior,IMP,PMID:17218254
mouse,Tuba1a,GO:0030534,adult behavior,IMP,PMID:17218254
mouse,Tp53,GO:0048512,circadian behavior,IMP,PMID:24051492
mouse,Casp3,GO:0036269,swimming behavior,IEA,GO_REF:0000107
mouse,Drd1,GO:0007625,grooming behavior,ISO,GO_REF:0000096
mouse,Drd1,GO:0007626,locomotory behavior,ISO,GO_REF:0000096
mouse,Drd1,GO:0035176,social behavior,ISO,GO_REF:0000096
mouse,Drd1,GO:0042755,eating behavior,ISO,GO_REF:0000096
mouse,Drd1,GO:0048148,behavioral response to cocaine,ISO,GO_REF:0000096
mouse,Drd1,GO:2000253,positive regulation of feeding behavior,ISO,GO_REF:0000096
mouse,Drd1,GO:0007626,locomotory behavior,IGI,PMID:10884517
