gene	accession	poptrdraft	potri_v_id	kegg
CASPL1F3	B9GFG6	POPTRDRAFT_752786	NA	pop:7461629
CASPL3A2	B9GGL4	POPTRDRAFT_751837	Potri.001G188000	pop:7470575
CASPL2A2	B9GHX8	POPTRDRAFT_1070325	Potri.001G436400	pop:7459167
CASPL1B2	B9GIE4	POPTRDRAFT_798217	NA	pop:7491385
CASPL3A1	B9GXD6	POPTRDRAFT_553757	Potri.003G050400	pop:7478414
CASPL1C3	B9H2V1	POPTRDRAFT_758901	NA	pop:7477406
CASPL2B2	B9HD38	POPTRDRAFT_818956	Potri.006G016900	pop:7495626
CASPL4C1	B9HMF8	POPTRDRAFT_820327	Potri.008G053500	pop:7457934
CASPL1D1	B9HMP5	POPTRDRAFT_820933	NA	pop:7481640
CASPL1E1	B9HMP6	POPTRDRAFT_820934	NA	pop:7481641
CASPL4C2	B9HTK2	POPTRDRAFT_822486	Potri.010G207000	pop:7489578
CASPL2D1	B9HTL5	POPTRDRAFT_833824	NA	pop:7489586
CASPL1B1	B9I0U9	POPTRDRAFT_823125	Potri.011G154900	pop:7489095
CASPL1F2	B9I3X5	POPTRDRAFT_823430	Potri.012G104300	pop:7484872
CASPL1F1	B9IFI5	POPTRDRAFT_824792	Potri.015G103600	NA
CASPL2B1	B9IH36	POPTRDRAFT_575900	NA	pop:7453677
CASPL1C1	B9IK21	POPTRDRAFT_778555	Potri.017G088100	pop:7484553
CASPL2C1	B9IM09	POPTRDRAFT_578614	Potri.018G094500	NA
CASPL1C2	B9N2D0		NA	pop:18108558
CASPL4D1	B9NBE5		Potri.010G204700	pop:18102718
