PMID_or_source,evidence_type,stance,claim_tested,key_finding,context,confidence_limitations
1347713,direct assay / IMP,qualifies (indirect support),Does Hsp60 sort cyt b2 to IMS?,"Hsp60 antifolds cyt b2 in matrix, coupling import to inner-membrane export (conservative sorting)","yeast, isolated mitochondria","High for antifolding; indirect matrix role, not translocase; sole experimental leaf for GO:0045041"
7911803,direct assay,refutes on substrate / competing,Does cyt b2 IMS sorting require Hsp60?,"Bipartite cyt b2 presequence sorts fusion to IMS independently of hsp60 (stop-transfer); passenger never exposed to hsp60","yeast, isolated mitochondria",High; contradicts obligatory Hsp60 role; not recorded as NOT annotation
8631298,direct assay,qualifies,Is Hsp60 needed to fold all matrix proteins?,Only rhodanese needs Hsp60; DHFR/barnase/Cpr3p fold without it,yeast,High; substrate selectivity
9774331,mutant phenotype,qualifies,Which endogenous substrates need hsp60/hsp10?,Overlapping but non-identical/selective,yeast in vivo,High
33921425,review/database,competing,Main IMS import pathway?,Mia40 (CHCHD4 in human) is key component of the main IMS import pathway,human/general,Review-level; authoritative machinery ID
20136511,structural/mechanistic,competing,Dedicated IMS import machinery,IMS has dedicated disulfide relay (Mia40/Tim40+Erv1),general,High
19477928,direct assay/reconstitution,competing,Minimal IMS import machinery,Mia40+Erv1+O2 suffice to import small Tim proteins,in vitro,High; Hsp60 not involved
7592959/11932259/9171337,direct assay,qualifies (context),Is matrix->IMS export real?,"Conservative sorting/export route exists (COXII,Oxa1,bitopic); machinery is inner-membrane export apparatus, not Hsp60",yeast,High
UniProt P10809,database/localization,qualifies,How is human HSPD1 annotated?,GO:0045041 IBA-only; primary loc=matrix; IDA/IMP terms=matrix folding,human,Confirms provenance; no direct human evidence
computed (this run),structural/evolutionary,neutral/feasibility,Human-yeast Hsp60 orthology?,57.8% identity (348/602); clear 1:1 orthologs,sequence,Simple NW; orthology plausible so not refuted
38951622/26259786,structural,context (core function),Direct core activity of human mtHsp60,Group I chaperonin folding newly imported/misfolded MATRIX proteins,human,High; defines direct core function
