gene	term_id	aspect	bundle	blind_verdict	blind_reason	blind_reviewer
EIF4E2	GO:0017148	BP	ABSTRACT_ONLY			
DDB2	GO:0034644	BP	REVIEW_ONLY			
UQCRC1	GO:0022904	BP	DEEP_RESEARCH_ONLY			
ATP6AP1	GO:0007042	BP	ABSTRACT_ONLY			
TARDBP	GO:0006397	BP	REVIEW_ONLY			
DDB2	GO:0034644	BP	DEEP_RESEARCH_ONLY			
EIF4E2	GO:0045947	BP	ABSTRACT_ONLY			
UFC1	GO:0071569	BP	REVIEW_ONLY			
UFM1	GO:0071569	BP	DEEP_RESEARCH_ONLY			
SCAMP1	GO:0015031	BP	ABSTRACT_ONLY			
HCST	GO:0051897	BP	REVIEW_ONLY			
DDB2	GO:0034644	BP	DEEP_RESEARCH_ONLY			
SCAMP1	GO:0006897	BP	ABSTRACT_ONLY			
ATP6AP1	GO:0048388	BP	REVIEW_ONLY			
RGS20	GO:0007186	BP	DEEP_RESEARCH_ONLY			
UFM1	GO:1990592	BP	ABSTRACT_ONLY			
RGS20	GO:0007186	BP	REVIEW_ONLY			
UFM1	GO:0071569	BP	DEEP_RESEARCH_ONLY			
SOD1	GO:0019430	BP	ABSTRACT_ONLY			
CYB5D2	GO:0007399	BP	REVIEW_ONLY			
ARCN1	GO:0051645	BP	DEEP_RESEARCH_ONLY			
UFC1	GO:0071569	BP	ABSTRACT_ONLY			
ATP6V1E1	GO:0033178	CC	REVIEW_ONLY			
FTH1	GO:0005829	CC	DEEP_RESEARCH_ONLY			
CRISP3	GO:0005576	CC	ABSTRACT_ONLY			
UQCRC1	GO:0005743	CC	REVIEW_ONLY			
CYB5D2	GO:0016020	CC	DEEP_RESEARCH_ONLY			
UFM1	GO:0005737	CC	ABSTRACT_ONLY			
CYB5R4	GO:0048471	CC	REVIEW_ONLY			
CKAP2	GO:0005813	CC	DEEP_RESEARCH_ONLY			
CRISP3	GO:0005576	CC	ABSTRACT_ONLY			
FTH1	GO:0005737	CC	REVIEW_ONLY			
CYB5R4	GO:0005783	CC	DEEP_RESEARCH_ONLY			
ATP5MC3	GO:0045259	CC	ABSTRACT_ONLY			
SRP19	GO:0048500	CC	REVIEW_ONLY			
HCST	GO:0009986	CC	DEEP_RESEARCH_ONLY			
SCAMP1	GO:0005802	CC	ABSTRACT_ONLY			
CHIC2	GO:0005886	CC	REVIEW_ONLY			
CRISP3	GO:0005576	CC	DEEP_RESEARCH_ONLY			
RGS20	GO:0005886	CC	ABSTRACT_ONLY			
FTH1	GO:0005764	CC	REVIEW_ONLY			
ATP6V1E1	GO:0016324	CC	DEEP_RESEARCH_ONLY			
CRISP3	GO:0005615	CC	ABSTRACT_ONLY			
EIF4E2	GO:0005737	CC	REVIEW_ONLY			
RGS20	GO:0005886	CC	DEEP_RESEARCH_ONLY			
PHYKPL	GO:0005739	CC	ABSTRACT_ONLY			
CRISP3	GO:0005615	CC	REVIEW_ONLY			
CRISP3	GO:0035580	CC	DEEP_RESEARCH_ONLY			
MAP7D1	GO:0005813	CC	ABSTRACT_ONLY			
HCST	GO:0005886	CC	REVIEW_ONLY			
ATP6AP1	GO:0010008	CC	DEEP_RESEARCH_ONLY			
SRP19	GO:0005786	CC	ABSTRACT_ONLY			
CHIC2	GO:0005886	CC	REVIEW_ONLY			
ATP6AP1	GO:0005789	CC	DEEP_RESEARCH_ONLY			
EIF4E2	GO:0000340	MF	ABSTRACT_ONLY			
LRRK2	GO:0042802	MF	REVIEW_ONLY			
TARDBP	GO:0003677	MF	DEEP_RESEARCH_ONLY			
TARDBP	GO:0042802	MF	ABSTRACT_ONLY			
FTH1	GO:0042802	MF	REVIEW_ONLY			
NFE2L2	GO:0000976	MF	DEEP_RESEARCH_ONLY			
SOD1	GO:0005507	MF	ABSTRACT_ONLY			
NFE2L2	GO:0003677	MF	REVIEW_ONLY			
LRRK2	GO:0042802	MF	DEEP_RESEARCH_ONLY			
SRP19	GO:0008312	MF	ABSTRACT_ONLY			
FKBP8	GO:0003755	MF	REVIEW_ONLY			
LRRK2	GO:0016301	MF	DEEP_RESEARCH_ONLY			
TARDBP	GO:0042802	MF	ABSTRACT_ONLY			
DDB2	GO:0003684	MF	REVIEW_ONLY			
NFE2L2	GO:0031625	MF	DEEP_RESEARCH_ONLY			
NFE2L2	GO:0000981	MF	ABSTRACT_ONLY			
TARDBP	GO:0042802	MF	REVIEW_ONLY			
FKBP8	GO:0044183	MF	DEEP_RESEARCH_ONLY			
FTH1	GO:0042802	MF	ABSTRACT_ONLY			
FTH1	GO:0008199	MF	REVIEW_ONLY			
ATP6AP1	GO:0160124	MF	DEEP_RESEARCH_ONLY			
CYB5R4	GO:0004128	MF	ABSTRACT_ONLY			
HCST	GO:0043548	MF	REVIEW_ONLY			
LRRK2	GO:0042802	MF	DEEP_RESEARCH_ONLY			
ATP5MC3	GO:0008289	MF	ABSTRACT_ONLY			
TARDBP	GO:0140693	MF	REVIEW_ONLY			
LRRK2	GO:0042802	MF	DEEP_RESEARCH_ONLY			
ATP6V1E2	GO:0046961	MF	ABSTRACT_ONLY			
UFC1	GO:0061657	MF	REVIEW_ONLY			
UFC1	GO:0071568	MF	DEEP_RESEARCH_ONLY			
HSPA13	GO:0005524	MF	ABSTRACT_ONLY			
RGS20	GO:0005096	MF	REVIEW_ONLY			
DDB2	GO:0003684	MF	DEEP_RESEARCH_ONLY			
