gene	path	n_labeled	MF	BP	CC
RGS20	genes/human/RGS20/RGS20-ai-review.yaml	17	2	5	10
HSPA13	genes/human/HSPA13/HSPA13-ai-review.yaml	4	3	0	1
LRRK2	genes/human/LRRK2/LRRK2-ai-review.yaml	30	30	0	0
UQCRC1	genes/human/UQCRC1/UQCRC1-ai-review.yaml	16	0	6	10
ATP6V1E1	genes/human/ATP6V1E1/ATP6V1E1-ai-review.yaml	15	2	3	10
ATP6V1E2	genes/human/ATP6V1E2/ATP6V1E2-ai-review.yaml	3	1	1	1
PHYKPL	genes/human/PHYKPL/PHYKPL-ai-review.yaml	8	5	0	3
HCST	genes/human/HCST/HCST-ai-review.yaml	14	6	4	4
ATP6AP1	genes/human/ATP6AP1/ATP6AP1-ai-review.yaml	21	1	10	10
SOD1	genes/human/SOD1/SOD1-ai-review.yaml	30	21	9	0
CYB5D2	genes/human/CYB5D2/CYB5D2-ai-review.yaml	7	2	2	3
FTH1	genes/human/FTH1/FTH1-ai-review.yaml	23	11	3	9
CYB5R4	genes/human/CYB5R4/CYB5R4-ai-review.yaml	14	10	0	4
ARCN1	genes/human/ARCN1/ARCN1-ai-review.yaml	18	0	8	10
UFM1	genes/human/UFM1/UFM1-ai-review.yaml	12	0	8	4
MAP7D1	genes/human/MAP7D1/MAP7D1-ai-review.yaml	10	0	3	7
EIF4E2	genes/human/EIF4E2/EIF4E2-ai-review.yaml	17	5	5	7
DDB2	genes/human/DDB2/DDB2-ai-review.yaml	27	6	11	10
UFC1	genes/human/UFC1/UFC1-ai-review.yaml	18	7	10	1
ATP5MC3	genes/human/ATP5MC3/ATP5MC3-ai-review.yaml	16	2	4	10
SCAMP1	genes/human/SCAMP1/SCAMP1-ai-review.yaml	16	1	5	10
STOML3	genes/human/STOML3/STOML3-ai-review.yaml	8	0	1	7
CKAP2	genes/human/CKAP2/CKAP2-ai-review.yaml	13	0	3	10
FKBP8	genes/human/FKBP8/FKBP8-ai-review.yaml	20	8	3	9
SEC63	genes/human/SEC63/SEC63-ai-review.yaml	12	0	8	4
SRP19	genes/human/SRP19/SRP19-ai-review.yaml	20	6	4	10
TARDBP	genes/human/TARDBP/TARDBP-ai-review.yaml	30	25	5	0
CHIC2	genes/human/CHIC2/CHIC2-ai-review.yaml	4	0	0	4
NFE2L2	genes/human/NFE2L2/NFE2L2-ai-review.yaml	30	30	0	0
CRISP3	genes/human/CRISP3/CRISP3-ai-review.yaml	11	0	1	10
