accession,pred_id,pred_label,match_category,goa_match,goa_match_label
A0A061AL94,GO:0006367,P:transcription initiation at RNA polymerase II promoter,NOT_IN_GOA,,
A0A061AL94,GO:0005634,C:nucleus,NOT_IN_GOA,,
A0A1S3Y076,GO:0008033,P:tRNA processing,EXACT,GO:0001682,tRNA 5'-leader removal
A0A2G9RZF1,GO:0007338,P:single fertilization,NOT_IN_GOA,,
A0A2G9RZF1,GO:0005576,C:extracellular region,NOT_IN_GOA,,
A0A2I0M3K7,GO:0106029,F:tRNA pseudouridine synthase activity,MORE_SPECIFIC,GO:0009982,pseudouridine synthase activity
A0A2K5UJ34,GO:0061371,P:determination of heart left/right asymmetry,NO_OVERLAP,,
A0A2R9CAF4,GO:0008509,F:monoatomic anion transmembrane transporter activity,EXACT,GO:0140900,chloride:bicarbonate antiporter activity
A0A2R9CAF4,GO:0016020,C:membrane,EXACT,GO:0016324,apical plasma membrane
A0A2U1PS28,GO:0009507,C:chloroplast,NO_OVERLAP,,
A0A3B6GK97,GO:0016298,F:lipase activity,LESS_SPECIFIC,GO:0047372,monoacylglycerol lipase activity
A0A3B6GK97,GO:0016042,P:lipid catabolic process,MORE_SPECIFIC,GO:0006629,lipid metabolic process
A0A3B6NKR6,GO:0016310,P:phosphorylation,NO_OVERLAP,,
A0A3B6RKV1,GO:0010099,P:regulation of photomorphogenesis,NO_OVERLAP,,
A0A3B6RKV1,GO:0010476,P:gibberellin mediated signaling pathway,NO_OVERLAP,,
A0A3B6RKV1,GO:0040029,P:epigenetic regulation of gene expression,NO_OVERLAP,,
A0A3B6RKV1,GO:0010114,P:response to red light,NO_OVERLAP,,
A0A3B6RKV1,GO:0010030,P:positive regulation of seed germination,NO_OVERLAP,,
A0A674PKV4,GO:0005737,C:cytoplasm,EXACT,GO:0030136,clathrin-coated vesicle
A0A6I8TLE4,GO:0005096,F:GTPase activator activity,EXACT,,
A0A6I8W8A2,GO:0016874,F:ligase activity,NOT_IN_GOA,,
A0A8B6BFL6,GO:0003677,F:DNA binding,NOT_IN_GOA,,
A0A8B6BFL6,GO:0006310,P:DNA recombination,NOT_IN_GOA,,
A0A8B6BFL6,GO:0015074,P:DNA integration,NOT_IN_GOA,,
A0A8B6GS20,GO:0004438,F:phosphatidylinositol-3-phosphate phosphatase activity,NO_OVERLAP,,
A0A8B8L1Z3,GO:0005783,C:endoplasmic reticulum,NOT_IN_GOA,,
A0A8C2TBA7,GO:0004598,F:peptidylamidoglycolate lyase activity,EXACT,GO:0003824,catalytic activity
A0A8C2TBA7,GO:0031418,F:L-ascorbic acid binding,NO_OVERLAP,,
A0A8C5FPT8,GO:0005776,C:autophagosome,MORE_SPECIFIC,GO:0005773,vacuole
A0A8C9H4D2,GO:0031012,C:extracellular matrix,NO_OVERLAP,,
A0A8C9H4D2,GO:0030198,P:extracellular matrix organization,NO_OVERLAP,,
A0A8I3PI07,GO:0005886,C:plasma membrane,EXACT,GO:0016323,basolateral plasma membrane
A0A8I3PI07,GO:0022857,F:transmembrane transporter activity,EXACT,GO:0015095,magnesium ion transmembrane transporter activity
A0A8I3PI07,GO:0006811,P:monoatomic ion transport,EXACT,GO:0035725,sodium ion transmembrane transport
A0A8J0SCI2,GO:0000978,F:RNA polymerase II cis-regulatory region sequence-specific DNA binding,EXACT,GO:0003677,DNA binding
A0A8J0SCI2,GO:0006357,P:regulation of transcription by RNA polymerase II,EXACT,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific"
A0A8J0SCI2,GO:0005634,C:nucleus,EXACT,,
A0A8J0SCI2,GO:0001228,"F:DNA-binding transcription activator activity, RNA polymerase II-specific",MORE_SPECIFIC,GO:0006357,regulation of transcription by RNA polymerase II
A0A8M9QG43,GO:0016311,P:dephosphorylation,NO_OVERLAP,,
A0BFB4,GO:0006468,P:protein phosphorylation,NO_OVERLAP,,
A2FPI7,GO:0003677,F:DNA binding,NOT_IN_GOA,,
B7FXQ8,GO:0009651,P:response to salt stress,NOT_IN_GOA,,
B7FXQ8,GO:0051259,P:protein complex oligomerization,NOT_IN_GOA,,
B7FXQ8,GO:0006457,P:protein folding,NOT_IN_GOA,,
B7FXQ8,GO:0009408,P:response to heat,NOT_IN_GOA,,
B7FXQ8,GO:0042542,P:response to hydrogen peroxide,NOT_IN_GOA,,
B7FXQ8,GO:0051082,F:unfolded protein binding,NOT_IN_GOA,,
B8BAB0,GO:0010152,P:pollen maturation,NOT_IN_GOA,,
C6T1A2,GO:0009788,P:negative regulation of abscisic acid-activated signaling pathway,NO_OVERLAP,,
C6T1A2,GO:0005634,C:nucleus,NO_OVERLAP,,
D3VIU4,GO:0015276,F:ligand-gated monoatomic ion channel activity,NO_OVERLAP,,
E1BL04,GO:0030036,P:actin cytoskeleton organization,EXACT,GO:0007015,actin filament organization
E1BL04,GO:0030054,C:cell junction,EXACT,GO:0005925,focal adhesion
E1BL04,GO:0003779,F:actin binding,EXACT,GO:0051015,actin filament binding
F4JLB7,GO:0016310,P:phosphorylation,NO_OVERLAP,,
F4JLB7,GO:0016301,F:kinase activity,NO_OVERLAP,,
F6LAX4,GO:0046982,F:protein heterodimerization activity,NO_OVERLAP,,
F6LAX4,GO:0043025,C:neuronal cell body,NO_OVERLAP,,
F6LAX4,GO:0007059,P:chromosome segregation,NO_OVERLAP,,
F6LAX4,GO:0043005,C:neuron projection,NO_OVERLAP,,
F6LAX4,GO:0000775,"C:chromosome, centromeric region",NO_OVERLAP,,
F6LAX4,GO:1990405,F:protein antigen binding,NO_OVERLAP,,
G1TUN6,GO:0016740,F:transferase activity,EXACT,GO:0019787,ubiquitin-like protein transferase activity
Q2U1U6,GO:0000272,P:polysaccharide catabolic process,NOT_IN_GOA,,
Q2U1U6,GO:0004553,"F:hydrolase activity, hydrolyzing O-glycosyl compounds",NOT_IN_GOA,,
Q6YYC5,GO:0070534,P:protein K63-linked ubiquitination,MORE_SPECIFIC,GO:0016567,protein ubiquitination
Q6YYC5,GO:0061630,F:ubiquitin protein ligase activity,MORE_SPECIFIC,GO:0004842,ubiquitin-protein transferase activity
Q8P365,GO:0006979,P:response to oxidative stress,EXACT,GO:0034599,cellular response to oxidative stress
Q9KZ33,GO:0006352,P:DNA-templated transcription initiation,NO_OVERLAP,,
Q9L243,GO:0008253,F:5'-nucleotidase activity,NOT_IN_GOA,,
Q9L243,GO:0009264,P:deoxyribonucleotide catabolic process,NOT_IN_GOA,,
Q9RSY6,GO:0003676,F:nucleic acid binding,EXACT,GO:0003723,RNA binding
Q9RSY6,GO:0005840,C:ribosome,EXACT,GO:0022627,cytosolic small ribosomal subunit
S0EDH7,GO:0006468,P:protein phosphorylation,NOT_IN_GOA,,
S0EDH7,GO:0005524,F:ATP binding,NOT_IN_GOA,,
