accession,organism,broad_group,protein_name,pred_category,n_go,n_function,n_subcell,evidence_methods,score_mean,reviewed,in_public_release,selection_reason
A0A3B6GK97,Triticum aestivum,Land plant,Patatin,partial,2,0,1,"phmmer,string_match",0.558,False,True,case_study:trivially_correct_lipid_deepening
A0A3B6RKV1,Triticum aestivum,Land plant,JmjC domain-containing protein,go_only,5,0,0,"phmmer,string_match",0.598,False,True,case_study:phmmer_transfer_jmjc
F4JLB7,Arabidopsis thaliana,Land plant,Piriformospora indica-insensitive protein 2,go_only,2,0,0,"phmmer,string_match",0.24,False,True,case_study:false_positive_kinase
F6LAX4,Triticum aestivum,Land plant,TOG domain-containing protein,partial,6,0,1,"phmmer,string_match",0.295,False,True,case_study:cross_kingdom_error_neuron
Q9KZ33,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacterium,Uncharacterized protein,go_only,1,0,0,"phmmer,string_match",0.63,False,True,case_study:ontology_gap_sigma_factor
G1TUN6,Oryctolagus cuniculus,Mammal,UBC core domain-containing protein,partial,1,0,1,"phmmer,string_match",0.663,False,True,stratified:Mammal
E1BL04,Bos taurus,Mammal,Uncharacterized protein,go_only,3,0,0,string_match,0.07,False,True,stratified:Mammal
A0A8C9H4D2,Piliocolobus tephrosceles,Mammal,Olfactomedin-like domain-containing protein,go_only,2,0,0,"phmmer,string_match",0.597,False,True,stratified:Mammal
A0A8I3PI07,Canis lupus familiaris,Mammal,Uncharacterized protein,go_only,3,0,0,"phmmer,string_match",0.745,False,True,stratified:Mammal
A0A2R9CAF4,Pan paniscus,Mammal,STAS domain-containing protein,go_only,2,0,0,string_match,0.853,False,True,stratified:Mammal
C6T1A2,Glycine max,Land plant,C2H2-type domain-containing protein,partial,2,0,1,"phmmer,string_match",0.978,False,True,stratified:Land plant
A0A8B8L1Z3,Abrus precatorius,Land plant,J domain-containing protein,partial,1,0,1,"phmmer,string_match",0.763,False,True,stratified:Land plant
Q6YYC5,Oryza sativa subsp. japonica,Land plant,RING-type domain-containing protein,partial,2,0,1,"phmmer,string_match",0.81,False,True,stratified:Land plant
B8BAB0,Oryza sativa subsp. indica,Land plant,POLYGALACTURONASE 1,go_only,1,0,0,"phmmer,string_match",0.17,False,True,stratified:Land plant
A0A1S3Y076,Nicotiana tabacum,Land plant,Proteinaceous RNase P 3,go_only,1,0,0,"phmmer,string_match",0.44,False,True,stratified:Land plant
Q9L243,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacterium,Secreted protein,partial,2,0,1,tmalign,0.607,False,True,stratified:Bacterium
D3VIU4,Xenorhabdus nematophila (strain ATCC 19061 / DSM 3370 / CCUG 14189 / LMG 1036 / NCIMB 9965 / AN6),Bacterium,Solute-binding protein family 3/N-terminal domain-containing protein,partial,1,0,1,"phmmer,string_match",0.83,False,True,stratified:Bacterium
Q9RSY6,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1),Bacterium,Small ribosomal subunit protein bS1,rich,2,1,1,"phmmer,string_match",0.83,False,True,stratified:Bacterium
Q8P365,Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25),Bacterium,Uncharacterized protein,go_only,1,0,0,string_match,0.99,False,True,stratified:Bacterium
A0A8C5FPT8,Gadus morhua,Ray-finned fish,Rab-GAP TBC domain-containing protein,go_only,1,0,0,"phmmer,string_match",0.655,False,True,stratified:Ray-finned fish
A0A674PKV4,Takifugu rubripes,Ray-finned fish,F-BAR domain-containing protein,partial,1,0,3,"phmmer,string_match",0.498,False,True,stratified:Ray-finned fish
A0A8M9QG43,Danio rerio,Ray-finned fish,J domain-containing protein,partial,1,0,2,"phmmer,string_match",0.307,False,True,stratified:Ray-finned fish
A0A8C2TBA7,Coturnix japonica,Bird,Uncharacterized protein,go_only,2,0,0,phmmer,0.26,False,True,stratified:Bird
A0A2I0M3K7,Columba livia,Bird,Pseudouridine synthase II N-terminal domain-containing protein,partial,1,0,1,"phmmer,string_match",0.6,False,True,stratified:Bird
A0A6I8W8A2,Drosophila pseudoobscura pseudoobscura,Insect,Uncharacterized protein,partial,1,0,1,string_match,0.465,False,True,stratified:Insect
A0A6I8TLE4,Aedes aegypti,Insect,Ras GTPase-activating protein raskol,go_only,1,0,0,"phmmer,string_match",0.575,False,True,stratified:Insect
S0EDH7,Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831),Fungus,Protein kinase domain-containing protein,partial,2,0,1,"string_match,tmalign",0.785,False,True,stratified:Fungus
Q2U1U6,Aspergillus oryzae (strain ATCC 42149 / RIB 40),Fungus,Uncharacterized protein,partial,2,0,1,tmalign,0.233,False,True,stratified:Fungus
A0A8J0SCI2,Xenopus tropicalis,Amphibian,C2H2-type domain-containing protein,rich,4,1,1,"phmmer,string_match",0.533,False,True,stratified:Amphibian
A0A2G9RZF1,Aquarana catesbeiana,Amphibian,Neuropilin and tolloid-like protein 2,partial,2,0,1,"phmmer,tmalign",0.485,False,True,stratified:Amphibian
A0A061AL94,Caenorhabditis elegans,Nematode,Uncharacterized protein,partial,2,0,1,"phmmer,tmalign",0.417,False,True,stratified:Nematode
A0A8B6GS20,Mytilus galloprovincialis,Mollusc,Myotubularin phosphatase domain-containing protein,go_only,1,0,0,"phmmer,string_match",0.83,False,True,stratified:Mollusc
A0BFB4,Paramecium tetraurelia,Alveolate,Protein kinase domain-containing protein,partial,1,0,2,"phmmer,string_match",0.63,False,True,stratified:Alveolate
B7FXQ8,Phaeodactylum tricornutum (strain CCAP 1055/1),Stramenopile,SHSP domain-containing protein,go_only,6,0,0,"phmmer,string_match",0.512,False,True,stratified:Stramenopile
A2FPI7,Trichomonas vaginalis (strain ATCC PRA-98 / G3),Other,Uncharacterized protein,go_only,1,0,0,tmalign,1.0,False,True,stratified:Other
A0A1S3BTE3,Cucumis melo,Land plant,Mitogen-activated protein kinase 15,name_only,0,0,0,phmmer,0.15,False,True,pred_category_fill:name_only
A0A804UIX9,Zea mays,Land plant,PGG domain,name_only,0,0,0,string_match,0.25,False,True,pred_category_fill:name_only
A0A2I4G8T1,Juglans regia,Land plant,UDP-glycosyltransferase 73C1,name_only,0,0,0,phmmer,0.06,False,True,pred_category_fill:name_only
Q7NUH2,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK),Bacterium,HTH marR-type domain-containing protein,name_only,0,0,0,string_match,1.0,False,True,pred_category_fill:name_only
Q7VZI5,Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251),Bacterium,PrpF family protein,name_only,0,0,0,string_match,0.28,False,True,pred_category_fill:name_only
A0A2K5UJ34,Macaca fascicularis,Mammal,Tetratricopeptide repeat protein 39B,rich,1,1,1,"phmmer,string_match",0.353,False,True,pred_category_fill:rich
A0A2U1PS28,Artemisia annua,Land plant,"Translation factor GUF1 homolog, chloroplastic",rich,1,1,2,"phmmer,string_match",0.48,False,True,pred_category_fill:rich
A0A3B6NKR6,Triticum aestivum,Land plant,GHMP kinase N-terminal domain-containing protein,rich,1,1,1,"phmmer,string_match,tmalign",0.488,False,True,pred_category_fill:rich
A0A8B8WEG2,Balaenoptera musculus,Mammal,Protein kinase domain-containing protein,name_only,0,0,0,string_match,0.92,False,True,random_fill
B4MAQ2,Drosophila virilis,Insect,Importin N-terminal domain-containing protein,partial,0,0,1,string_match,0.97,False,True,random_fill
A0A8B6BFL6,Mytilus galloprovincialis,Mollusc,Integrase_H2C2 domain-containing protein,go_only,3,0,0,tmalign,0.18,False,True,random_fill
A0A8J1IYX6,Xenopus tropicalis,Amphibian,Protein kinase domain-containing protein,name_only,0,0,0,string_match,0.68,False,True,random_fill
A0A444Z7V7,Arachis hypogaea,Land plant,Cellulose synthase-like protein D3,name_only,0,0,0,string_match,0.32,False,True,random_fill
F6WPT1,Xenopus tropicalis,Amphibian,ADP-ribosylation factor-like protein 1,name_only,0,0,0,phmmer,0.78,False,True,random_fill
A0A4W3GVU1,Callorhinchus milii,Cartilaginous fish,RRM domain-containing protein,partial,0,0,1,string_match,0.7,False,True,random_fill
