domain_accession	source_db	name	type	weighted_proteins	weighted_prevalence_pct	architectures_observed	mean_domain_start_in_representatives
PF13455	pfam	Meiotically up-regulated gene 113	family	1189	73.76	9	448.9
PF10544	pfam	T5orf172 domain	domain	277	17.18	5	411.4
IPR018306	interpro	Bacteriophage T5, Orf172 DNA-binding	domain	277	17.18	5	411.4
PF10708	pfam	Protein of unknown function (DUF2510)	family	76	4.71	4	115.2
IPR018929	interpro	Domain of unknown function DUF2510	domain	76	4.71	4	115.2
PF02342	pfam	TerD domain	domain	10	0.62	4	234.8
IPR003325	interpro	TerD domain	domain	10	0.62	4	234.8
PF14470	pfam	Bacterial PH domain	domain	3	0.19	2	26.5
IPR039519	interpro	YokE-like, PH domain	domain	3	0.19	2	26.5
PF08797	pfam	HIRAN domain	domain	2	0.12	1	53.0
IPR014905	interpro	HIRAN domain	domain	2	0.12	1	53.0
PF05154	pfam	TM2 domain	domain	1	0.06	1	13.0
IPR007829	interpro	TM2 domain	domain	1	0.06	1	13.0
PF13240	pfam	zinc-ribbon domain	domain	1	0.06	1	9.0
IPR026870	interpro	Zinc-ribbon domain	domain	1	0.06	1	9.0
PF15272	pfam	Spindle pole body component BBP1, C-terminal	domain	1	0.06	1	310.0
IPR029330	interpro	Spindle pole body component Bbp1, C-terminal	domain	1	0.06	1	310.0
