accession	source_db	name	type	description
IPR003325	interpro	TerD domain	domain	"The TerD domain is found in TerD family proteins that include the paralogous TerD, TerA, TerE, TerF and TerZ proteins [[cite:PUB00008105], [cite:PUB00066658]]. It is found in a stress response operon with TerB and TerC. TerD has a maximum of two calcium binding sites [[cite:PUB00066658], [cite:PUB00054628]] depending on the conservation of aspartates [[cite:PUB00066658]]. It has various fusions to nuclease domains, RNA binding domains, ubiquitin related domains, and metal binding domains. The ter gene products lie at the centre of membrane-linked metal recognition complexes with regulatory ramifications encompassing phosphorylation-dependent signal transduction, RNA-dependent regulation, biosynthesis of nucleoside-like metabolites and DNA processing linked to novel pathways [[cite:PUB00066658]].

TerD domain is also found in cAMP binding protein, chemical-damaging agent resistance proteins and general stress proteins. The cellular Slime mould, Dictyostelium discoideum, contains a cAMP-binding protein, CABP1, which is composed of two subunits. The C-terminal half of these subunits contain this domain [[cite:PUB00008106]]."
IPR007829	interpro	TM2 domain	domain	This domain is composed of a pair of transmembrane α helices connected by a short linker. The function of this domain is unknown, however it occurs in a wide range or protein contexts.
IPR014905	interpro	HIRAN domain	domain	The HIRAN domain (HIP116 Rad5p N-terminal) is found in the N-terminal regions of the SWI2/SNF2 proteins typified by HIP116 and Rad5p. HIRAN is found as a standalone protein in several bacteria and prophages, or fused to other catalytic domains, such as a nuclease of the restriction endonuclease fold and TDP1-like DNA phosphoesterases, in the eukaryotes [[cite:PUB00035408]]. It has been predicted that this protein functions as a DNA-binding domain that probably recognises features associated with damaged DNA or stalled replication forks [[cite:PUB00035408]].
IPR018306	interpro	Bacteriophage T5, Orf172 DNA-binding	domain	This entry represents a DNA-binding domain found in bacteriophage T5, ORF172 [[cite:PUB00010111]]. The domain is related to the Bro-N and KilA-N domains that are widespread in large-DNA viruses infecting bacteria and eukaryotes  [[cite:PUB00010111]].
IPR018929	interpro	Domain of unknown function DUF2510	domain	This domain of unknown function is found in a family of proteins conserved in Actinobacteria. Many members are annotated as putative membrane proteins but this could not be confirmed.
IPR025280	interpro	SNIPE associated domain	domain	This entry represents the SNIPE associated domain, a small largely α-helical domain found in the SNIPE protein family. SNIPE proteins cleave phage DNA during genome injection. This domain may help SNIPE bind to phage DNA.
IPR026870	interpro	Zinc-ribbon domain	domain	This entry consists of a single zinc ribbon domain. This domain is found in archaeal Large ribosomal subunit protein eL40 covering the full length of the protein. It is also found in Serine/threonine-protein kinase VRK3 found in eukaryotes, covering the N-terminal. In bacteria, this domain is found at the N-terminal in Membrane-associated protein TcaA and Uncharacterized membrane protein YvbJ.
IPR029330	interpro	Spindle pole body component Bbp1, C-terminal	domain	This C-terminal domain of Bbp1, a spindle pole body component, carries coiled-coils that are necessary for the localisation of Bbp1 to the spindle pole body (SPB) [[cite:PUB00070000]]. Although not a membrane protein itself, Bbp1 binds to Mps2 as well as to Spc29 and the half-bridge protein Kar1, thus providing a model for how the SPB core is tethered within the nuclear envelope and to the half-bridge [[cite:PUB00070001]].
IPR039519	interpro	YokE-like, PH domain	domain	This entry represents the PH domain found in uncharacterised proteins, including Bacillus subtilis YokE.
PF02342	pfam	TerD domain	domain	The TerD domain is found in TerD family proteins that include the paralogous TerD, TerA, TerE, TerF and TerZ proteins [[cite:PUB00008105],[cite:PUB00066658]] It is found in a stress response operon with TerB and TerC.  TerD has a maximum of two calcium-binding sites [[cite:PUB00066658]] depending on the conservation of aspartates [[cite:PUB00066658]]. It has various fusions to nuclease domains, RNA binding domains, ubiquitin related domains, and metal binding domains. The ter gene products lie at the centre of membrane-linked metal recognition complexes with regulatory ramifications encompassing phosphorylation-dependent signal transduction, RNA-dependent regulation, biosynthesis of nucleoside-like metabolites and DNA processing linked to novel pathways [[cite:PUB00066658]].
PF05154	pfam	TM2 domain	domain	This family is composed of a pair of transmembrane alpha helices connected by a short linker.  The function of this domain is unknown, however it occurs in a wide range or protein contexts.
PF08797	pfam	HIRAN domain	domain	The HIRAN domain (HIP116, Rad5p N-terminal) is found in the N-terminal regions of the SWI2/SNF2 proteins typified by HIP116 and Rad5p. The HIRAN domain is found as a standalone protein in several bacteria and prophages, or fused to other catalytic domains, such as a nuclease of the restriction endonuclease fold and TDP1-like DNA phosphoesterases, in the eukaryotes [[cite:PUB00035408]]. It has been predicted that this domain functions as a DNA-binding domain that probably recognises features associated with damaged DNA or stalled replication forks [[cite:PUB00035408]]
PF10544	pfam	T5orf172 domain	domain	This domain was identified by Iyer and colleagues [[cite:PUB00010111]].
PF10708	pfam	Protein of unknown function (DUF2510)	family	This is family of proteins conserved in Actinobacteria. Many members are annotated as putative membrane proteins but this could not be confirmed.
PF13240	pfam	zinc-ribbon domain	domain	This family consists of a single zinc ribbon domain, ie half of a pair as in family DZR. [pfam:PF12773].
PF13250	pfam	SNIPE associated domain	domain	This entry represents the SNIPE associated domain a small largely alpha helical domain found in the SNIPE protein family. SNIPE proteins cleave phage DNA during genome injection. This domain may help SNIPE bind to phage DNA.
PF13455	pfam	Meiotically up-regulated gene 113	family	This is a family of fungal proteins found to be up-regulated in meiosis.
PF14470	pfam	Bacterial PH domain	domain	Proteins in this family are distantly related to PH domains.
PF15272	pfam	Spindle pole body component BBP1, C-terminal	domain	This C-terminal domain of BBP1, a spindle pole body component, carries coiled-coils that are necessary for the localisation of BBP1 to the spindle pole body (SPB) [[cite:PUB00070000]]. Although not a membrane protein itself, BBP1 binds to Mps2 as well as to Spc29 and the half-bridge protein Kar1, thus providing a model for how the SPB core is tethered within the nuclear envelope and to the half-bridge [[cite:PUB00070001]]
