id,name,entry_type,source_tax_id,source_tax_name,full_tax_name,gene,length,subfamily,subfamily_name,in_alphafold
A0A2Z2U4G9,Glucagon receptor,protein,9823,Sus scrofa,Sus scrofa (Pig),GCGR,479,,,True
A1Z7G7,Latrophilin Cirl,protein,7227,Drosophila melanogaster,Drosophila melanogaster (Fruit fly),Cirl,1697,,,True
A6QLU6,Adhesion G-protein coupled receptor D1,protein,9913,Bos taurus,Bos taurus (Bovine),ADGRD1,902,,,True
A6QP74,Calcitonin gene-related peptide type 1 receptor,protein,9913,Bos taurus,Bos taurus (Bovine),CALCRL,462,,,True
B3MFV7,Latrophilin Cirl,protein,7217,Drosophila ananassae,Drosophila ananassae (Fruit fly),Cirl,1714,,,True
B3N8M1,Latrophilin Cirl,protein,7220,Drosophila erecta,Drosophila erecta (Fruit fly),Cirl,1710,,,True
B4GD14,Latrophilin Cirl,protein,7234,Drosophila persimilis,Drosophila persimilis (Fruit fly),Cirl,1684,,,True
B4HS00,Latrophilin Cirl,protein,7238,Drosophila sechellia,Drosophila sechellia (Fruit fly),Cirl,1693,,,True
B4J780,Latrophilin Cirl,protein,7222,Drosophila grimshawi,Drosophila grimshawi (Hawaiian fruit fly),Cirl,1777,,,True
B4KMZ1,Latrophilin Cirl,protein,7230,Drosophila mojavensis,Drosophila mojavensis (Fruit fly),Cirl,1725,,,True
B4LNA8,Latrophilin Cirl,protein,7244,Drosophila virilis,Drosophila virilis (Fruit fly),Cirl,1724,,,True
B4P3A0,Latrophilin Cirl,protein,7245,Drosophila yakuba,Drosophila yakuba (Fruit fly),Cirl,1707,,,True
B7ZCC9,Adhesion G-protein coupled receptor G4,protein,10090,Mus musculus,Mus musculus (Mouse),Adgrg4,3073,,,False
C0HL12,Adhesion G protein-coupled receptor B1,protein,10116,Rattus norvegicus,Rattus norvegicus (Rat),Adgrb1,1577,,,True
C6KFA3,Adhesion G-protein coupled receptor G6,protein,7955,Danio rerio,Danio rerio (Zebrafish),adgrg6,1185,,,True
D4A3T6,Adhesion G-protein coupled receptor F2,protein,10116,Rattus norvegicus,Rattus norvegicus (Rat),Adgrf2,638,,,True
E7FBY6,Adhesion G protein-coupled receptor A2,protein,7955,Danio rerio,Danio rerio (Zebrafish),adgra2,1367,,,True
E9Q4J9,Adhesion G-protein coupled receptor F2,protein,10090,Mus musculus,Mus musculus (Mouse),Adgrf2,644,,,True
G5E8Q8,Adhesion G protein-coupled receptor F5,protein,10090,Mus musculus,Mus musculus (Mouse),Adgrf5,1348,,,True
