id,name,entry_type,source_tax_id,source_tax_name,full_tax_name,gene,length,subfamily,subfamily_name,in_alphafold
A0A060WQA3,Otolin-1,protein,8022,Oncorhynchus mykiss,Oncorhynchus mykiss (Rainbow trout),Otol1,509,PTHR15427:SF51,OTOLIN 1,True
A5PN28,Otolin-1-A,protein,7955,Danio rerio,Danio rerio (Zebrafish),otol1a,489,PTHR15427:SF51,OTOLIN 1,True
A6H6E2,Multimerin-2,protein,10090,Mus musculus,Mus musculus (Mouse),Mmrn2,943,PTHR15427:SF6,MULTIMERIN-2,True
A6NHN0,Otolin-1,protein,9606,Homo sapiens,Homo sapiens (Human),OTOL1,477,PTHR15427:SF51,OTOLIN 1,True
B2RNN3,Complement C1q and tumor necrosis factor-related protein 9B,protein,9606,Homo sapiens,Homo sapiens (Human),C1QTNF9B,333,PTHR15427:SF21,COMPLEMENT C1Q AND TUMOR NECROSIS FACTOR-RELATED PROTEIN 9A,True
B2RPV6,Multimerin-1,protein,10090,Mus musculus,Mus musculus (Mouse),Mmrn1,1210,PTHR15427:SF3,MULTIMERIN-1,True
F1QC17,EMILIN-1-A,protein,7955,Danio rerio,Danio rerio (Zebrafish),emilin1a,1014,PTHR15427:SF1,EMILIN-1,True
P02745,Complement C1q subcomponent subunit A,protein,9606,Homo sapiens,Homo sapiens (Human),C1QA,245,PTHR15427:SF26,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT A,True
P02746,Complement C1q subcomponent subunit B,protein,9606,Homo sapiens,Homo sapiens (Human),C1QB,253,PTHR15427:SF18,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT B,True
P02747,Complement C1q subcomponent subunit C,protein,9606,Homo sapiens,Homo sapiens (Human),C1QC,245,PTHR15427:SF29,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT C,True
P0C862,Complement C1q and tumor necrosis factor-related protein 9A,protein,9606,Homo sapiens,Homo sapiens (Human),C1QTNF9,333,PTHR15427:SF21,COMPLEMENT C1Q AND TUMOR NECROSIS FACTOR-RELATED PROTEIN 9A,True
P14106,Complement C1q subcomponent subunit B,protein,10090,Mus musculus,Mus musculus (Mouse),C1qb,253,PTHR15427:SF18,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT B,True
P14282,Collagen alpha-1(VIII) chain,protein,9986,Oryctolagus cuniculus,Oryctolagus cuniculus (Rabbit),COL8A1,744,PTHR15427:SF49,COLLAGEN ALPHA-1(VIII) CHAIN,True
P23206,Collagen alpha-1(X) chain,protein,9913,Bos taurus,Bos taurus (Bovine),COL10A1,674,PTHR15427:SF48,COLLAGEN ALPHA-1(X) CHAIN,True
P25067,Collagen alpha-2(VIII) chain,protein,9606,Homo sapiens,Homo sapiens (Human),COL8A2,703,PTHR15427:SF53,COLLAGEN TYPE VIII ALPHA 2 CHAIN,True
P27658,Collagen alpha-1(VIII) chain,protein,9606,Homo sapiens,Homo sapiens (Human),COL8A1,744,PTHR15427:SF49,COLLAGEN ALPHA-1(VIII) CHAIN,True
P31720,Complement C1q subcomponent subunit A,protein,10116,Rattus norvegicus,Rattus norvegicus (Rat),C1qa,245,PTHR15427:SF26,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT A,True
P31721,Complement C1q subcomponent subunit B,protein,10116,Rattus norvegicus,Rattus norvegicus (Rat),C1qb,253,PTHR15427:SF18,COMPLEMENT C1Q SUBCOMPONENT SUBUNIT B,True
