gene_product	gene_label	model_id	model_title	taxon	activity_id	molecular_function	mf_label	biological_process	bp_label	cellular_component	cc_label
WB:WBGene00006575	tir-1 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/57ec3a7e00000079	GO:0035591	signaling adaptor activity	GO:0140367	antibacterial innate immune response	GO:0005737	cytoplasm
WB:WBGene00011979	sysm-1 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/580685bd00000135	GO:0003674	molecular_function	GO:0140367	antibacterial innate immune response	GO:0005576	extracellular region
WB:WBGene00012019	dkf-2 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/5745387b00000588	GO:0004674	protein serine/threonine kinase activity	GO:0140367	antibacterial innate immune response	GO:0009898	cytoplasmic side of plasma membrane
WB:WBGene00006599	tpa-1 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/5b528b1100002286	GO:0004674	protein serine/threonine kinase activity	GO:0002225	positive regulation of antimicrobial peptide production		
WB:WBGene00004758	sek-1 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/57ec3a7e00000119	GO:0004708	MAP kinase kinase activity	GO:0140367	antibacterial innate immune response	GO:0005737	cytoplasm
WB:WBGene00004055	pmk-1 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/568b0f9600000285	GO:0004707	MAP kinase activity	GO:0140367	antibacterial innate immune response	GO:0005829	cytosol
WB:WBGene00003822	nsy-1 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/57ec3a7e00000109	GO:0004709	MAP kinase kinase kinase activity	GO:0140367	antibacterial innate immune response	GO:0005737	cytoplasm
WB:WBGene00006923	vhp-1 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/5b91dbd100000652	GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	GO:1900425	negative regulation of defense response to bacterium	GO:0005737	cytoplasm
WB:WBGene00002187	kgb-1 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/5b91dbd100000659	GO:0005515	protein binding	GO:1900181	negative regulation of protein localization to nucleus	GO:0005737	cytoplasm
WB:WBGene00000223	atf-7 Cele	568b0f9600000284	Antibacterial innate immune response in the intestine via MAPK cascade (C. elegans)	NCBITaxon:6239	gomodel:568b0f9600000284/568b0f9600000287	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0140367	antibacterial innate immune response	GO:0005634	nucleus
MGI:MGI:97591	Pkm Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000528	GO:0004743	pyruvate kinase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
MGI:MGI:97555	Pgk1 Mmus	5745387b00001516	Canonical glycolysis 1 (Mouse)	NCBITaxon:10090	gomodel:5745387b00001516/61e0e55600000522	GO:0004618	phosphoglycerate kinase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
