domain_accession	source_db	name	type	weighted_proteins	weighted_prevalence_pct	architectures_observed	mean_domain_start_in_representatives
PF04851	pfam	Type III restriction enzyme, res subunit	family	366	5.17	3	142.7
IPR006935	interpro	Helicase/UvrB, N-terminal	domain	366	5.17	3	142.7
PF13250	pfam	SNIPE associated domain	domain	270	3.81	1	196.0
IPR025280	interpro	SNIPE associated domain	domain	270	3.81	1	196.0
PF10553	pfam	MSV199 domain	domain	82	1.16	1	2.0
IPR018879	interpro	MSV199 domain	domain	82	1.16	1	2.0
PF00271	pfam	Helicase conserved C-terminal domain	domain	66	0.93	1	404.0
IPR001650	interpro	Helicase, C-terminal domain-like	domain	66	0.93	1	404.0
PF02498	pfam	BRO family, N-terminal domain	family	47	0.66	1	31.0
IPR003497	interpro	BRO N-terminal domain	domain	47	0.66	1	31.0
PF13651	pfam	Adenine-specific methyltransferase EcoRI	family	43	0.61	1	140.0
IPR025247	interpro	Type II methyltransferase M.EcoRI-like	family	43	0.61	1	140.0
PF05265	pfam	Protein of unknown function (DUF723)	domain	38	0.54	2	67.0
IPR007929	interpro	Protein of unknown function DUF723	family	38	0.54	2	67.0
PF14267	pfam	Domain of unknown function (DUF4357)	family	25	0.35	1	178.0
IPR025579	interpro	Domain of unknown function DUF4357	domain	25	0.35	1	178.0
PF21817	pfam	CapR homology domain	domain	14	0.20	1	85.3
IPR048793	interpro	CapR homology domain	domain	14	0.20	1	85.3
PF07669	pfam	Eco57I restriction-modification methylase	domain	13	0.18	1	1027.0
IPR011639	interpro	Type II methyltransferase M.TaqI-like domain	domain	13	0.18	1	1027.0
PF13344	pfam	Haloacid dehalogenase-like hydrolase	domain	10	0.14	1	97.0
IPR006357	interpro	HAD-superfamily hydrolase, subfamily IIA	family	10	0.14	1	97.0
PF13242	pfam	HAD-hyrolase-like	domain	10	0.14	1	360.0
PF25164	pfam	Competence protein CoiA, N-terminal domain	domain	10	0.14	1	23.0
IPR057253	interpro	Competence protein CoiA-like, N-terminal domain	domain	10	0.14	1	23.0
PF08238	pfam	Sel1 repeat	repeat	10	0.14	1	140.0
IPR006597	interpro	Sel1-like repeat	repeat	10	0.14	1	140.0
PF04383	pfam	KilA-N domain	domain	10	0.14	1	22.0
IPR018004	interpro	KilA/APSES-type HTH, DNA-binding	domain	10	0.14	1	22.0
PF00172	pfam	Fungal Zn(2)-Cys(6) binuclear cluster domain	domain	9	0.13	1	609.0
IPR001138	interpro	Zn(2)Cys(6) fungal-type DNA-binding domain	domain	9	0.13	1	609.0
PF04082	pfam	Fungal specific transcription factor domain	domain	9	0.13	1	885.0
IPR007219	interpro	Xylanolytic transcriptional activator, regulatory domain	domain	9	0.13	1	885.0
PF14311	pfam	Probable Treble clef zinc finger domain	family	8	0.11	1	30.0
IPR025487	interpro	Treble clef zinc finger domain	domain	8	0.11	1	30.0
PF03810	pfam	Importin-beta N-terminal domain	repeat	7	0.10	1	42.0
IPR001494	interpro	Importin-beta, N-terminal domain	domain	7	0.10	1	42.0
PF24140	pfam	Transportin-3/Importin-13 third TPR domain	repeat	7	0.10	1	527.0
IPR057942	interpro	Transportin-3/Importin-13, third TPR domain	repeat	7	0.10	1	527.0
PF13455	pfam	Meiotically up-regulated gene 113	family	7	0.10	1	370.0
