gene,systematic_id,product,pathway_role
ago1,SPCC736.11,argonaute,RNAi (RITS)
chp1,SPAC18G6.02c,HP1-family chromodomain protein Chp1,heterochromatin/RITS
clr3,SPBC800.03,SHREC class II HDAC subunit Clr3,heterochromatin (SHREC)
epe1,SPCC622.16c,JmjC anti-silencing factor Epe1,heterochromatin antagonist
mis4,SPAC31A2.05c,cohesin loading factor (adherin) Mis4/Scc2,COHESIN LOADER
mit1,SPBP35G2.10,SHREC ATP-dependent remodeller Mit1,heterochromatin (SHREC)
rad21,SPCC338.17c,mitotic cohesin kleisin subunit Rad21,COHESIN KLEISIN (annotation under review)
raf2,SPCC970.07c,CLRC ubiquitin ligase subunit Raf2,heterochromatin (CLRC)
red1,SPAC1006.03c,MTREC exosome adaptor subunit Red1,RNA elimination
rrp6,SPAC1F3.01,exosome 3'-5' exoribonuclease Rrp6,RNA elimination (exosome)
swi6,SPAC664.01c,HP1-family chromodomain protein Swi6,heterochromatin (HP1)
