metric	value
total_review_files	2775
genes_with_treegrafter_iba	1667
total_treegrafter_iba_annotations	6617

action	count
ACCEPT	4838
KEEP_AS_NON_CORE	989
MODIFY	327
REMOVE	195
MARK_AS_OVER_ANNOTATED	191
UNDECIDED	38
NEW	28
PENDING	11

top_problematic_terms (REMOVE/MODIFY/OVER_ANNOTATED)	count
GO:0051082 unfolded protein binding	67
GO:0016020 membrane	21
GO:0005737 cytoplasm	18
GO:0042026 protein refolding	13
GO:0005634 nucleus	13
GO:0005886 plasma membrane	11
GO:0005829 cytosol	7
GO:0007165 signal transduction	6
GO:0005739 mitochondrion	6
GO:0006879 intracellular iron ion homeostasis	5
GO:0006623 protein targeting to vacuole	5
GO:0007608 sensory perception of smell	4
GO:0000976 transcription cis-regulatory region binding	4
GO:0008137 NADH dehydrogenase (ubiquinone) activity	4
GO:0008017 microtubule binding	4
GO:0003727 single-stranded RNA binding	4
GO:0043065 positive regulation of apoptotic process	4
GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport	4
GO:0016812 hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	4
GO:0043235 receptor complex	4
GO:0007166 cell surface receptor signaling pathway	4
GO:0006357 regulation of transcription by RNA polymerase II	4
GO:0000978 RNA polymerase II cis-regulatory region sequence-specific DNA binding	4
GO:0006612 protein targeting to membrane	4
GO:0045087 innate immune response	3
