gene	taxon	term_id	term_label	action	negated	has_replacement	file
psbA	Zea mays	GO:0009523	photosystem II	ACCEPT	False	False	genes/9POAL/psbA/psbA-ai-review.yaml
CLIPB4	Anopheles gambiae	GO:0005615	extracellular space	ACCEPT	False	False	genes/ANOGA/CLIPB4/CLIPB4-ai-review.yaml
CLIPB4	Anopheles gambiae	GO:0045087	innate immune response	MODIFY	False	True	genes/ANOGA/CLIPB4/CLIPB4-ai-review.yaml
D7L1	Anopheles gambiae	GO:0005615	extracellular space	ACCEPT	False	False	genes/ANOGA/D7L1/D7L1-ai-review.yaml
D7L1	Anopheles gambiae	GO:0007608	sensory perception of smell	REMOVE	False	False	genes/ANOGA/D7L1/D7L1-ai-review.yaml
D7r2	Anopheles gambiae	GO:0005615	extracellular space	ACCEPT	False	False	genes/ANOGA/D7r2/D7r2-ai-review.yaml
D7r2	Anopheles gambiae	GO:0007608	sensory perception of smell	REMOVE	False	False	genes/ANOGA/D7r2/D7r2-ai-review.yaml
D7r4	Anopheles gambiae	GO:0005615	extracellular space	ACCEPT	False	False	genes/ANOGA/D7r4/D7r4-ai-review.yaml
D7r4	Anopheles gambiae	GO:0007608	sensory perception of smell	REMOVE	False	False	genes/ANOGA/D7r4/D7r4-ai-review.yaml
D7r5	Anopheles gambiae	GO:0005615	extracellular space	ACCEPT	False	False	genes/ANOGA/D7r5/D7r5-ai-review.yaml
D7r5	Anopheles gambiae	GO:0007608	sensory perception of smell	REMOVE	False	False	genes/ANOGA/D7r5/D7r5-ai-review.yaml
DNAAF1	Anopheles gambiae	GO:0070840	dynein complex binding	ACCEPT	False	False	genes/ANOGA/DNAAF1/DNAAF1-ai-review.yaml
DNAAF1	Anopheles gambiae	GO:0007368	determination of left/right symmetry	KEEP_AS_NON_CORE	False	False	genes/ANOGA/DNAAF1/DNAAF1-ai-review.yaml
DNAAF1	Anopheles gambiae	GO:0035082	axoneme assembly	ACCEPT	False	False	genes/ANOGA/DNAAF1/DNAAF1-ai-review.yaml
DNAAF1	Anopheles gambiae	GO:0005930	axoneme	KEEP_AS_NON_CORE	False	False	genes/ANOGA/DNAAF1/DNAAF1-ai-review.yaml
