set	gene	taxon	term_id	term_label	action	negated	has_replacement	aspect	file
uniprot_panther (GO_REF:0000120, PANTHER with/from)	dfrP	Bacillus phage phiNIT1	GO:0004146	dihydrofolate reductase activity	ACCEPT	False	False	molecular_function	genes/9CAUD/dfrP/dfrP-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	dfrP	Bacillus phage phiNIT1	GO:0046654	tetrahydrofolate biosynthetic process	ACCEPT	False	False	biological_process	genes/9CAUD/dfrP/dfrP-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	dfrP	Bacillus phage phiNIT1	GO:0050661	NADP binding	ACCEPT	False	False	molecular_function	genes/9CAUD/dfrP/dfrP-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	I7J3R9	Tequatrovirus	GO:0003887	DNA-directed DNA polymerase activity	ACCEPT	False	False	molecular_function	genes/9CAUD/g022/g022-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	NCGR_LOCUS1270	Miscanthus lutarioriparius	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity	ACCEPT	False	False	molecular_function	genes/9POAL/NCGR_LOCUS1270/NCGR_LOCUS1270-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	NCGR_LOCUS1270	Miscanthus lutarioriparius	GO:0030388	fructose 1,6-bisphosphate metabolic process	KEEP_AS_NON_CORE	False	False	biological_process	genes/9POAL/NCGR_LOCUS1270/NCGR_LOCUS1270-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	NCGR_LOCUS1765	Miscanthus lutarioriparius	GO:0000339	RNA cap binding	ACCEPT	False	False	molecular_function	genes/9POAL/NCGR_LOCUS1765/NCGR_LOCUS1765-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	NCGR_LOCUS1765	Miscanthus lutarioriparius	GO:0005634	nucleus	ACCEPT	False	False	cellular_component	genes/9POAL/NCGR_LOCUS1765/NCGR_LOCUS1765-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	NCGR_LOCUS1765	Miscanthus lutarioriparius	GO:0005846	nuclear cap binding complex	ACCEPT	False	False	cellular_component	genes/9POAL/NCGR_LOCUS1765/NCGR_LOCUS1765-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	NCGR_LOCUS29329	Miscanthus lutarioriparius	GO:0004412	homoserine dehydrogenase activity	ACCEPT	False	False	molecular_function	genes/9POAL/NCGR_LOCUS29329/NCGR_LOCUS29329-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	ermA	Aeromicrobium erythreum (strain ATCC 51598 / DSM 8599 / JCM 8359 / NBRC 15406 / NRRL B-3381)	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	ACCEPT	False	False	molecular_function	genes/AERER/ermA/ermA-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	mcr-3	Aeromonas media	GO:0005886	plasma membrane	ACCEPT	False	False	cellular_component	genes/AERME/mcr-3/mcr-3-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	tigA	Aspergillus niger	GO:0003756	protein disulfide isomerase activity	ACCEPT	False	False	molecular_function	genes/ASPNG/tigA/tigA-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	tigA	Aspergillus niger	GO:0005783	endoplasmic reticulum	ACCEPT	False	False	cellular_component	genes/ASPNG/tigA/tigA-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	ermJ	Bacillus anthracis	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	ACCEPT	False	False	molecular_function	genes/BACAN/ermJ/ermJ-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	ermF	Bacteroides fragilis	GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	ACCEPT	False	False	molecular_function	genes/BACFG/ermF/ermF-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	CDK16	Balaenoptera musculus	GO:0004674	protein serine/threonine kinase activity	MARK_AS_OVER_ANNOTATED	False	False	molecular_function	genes/BALMU/A0A8B8WEG2/A0A8B8WEG2-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	CDK16	Balaenoptera musculus	GO:0004693	cyclin-dependent protein serine/threonine kinase activity	ACCEPT	False	False	molecular_function	genes/BALMU/A0A8B8WEG2/A0A8B8WEG2-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	Betv1	Betula pendula	GO:0004864	protein phosphatase inhibitor activity	MARK_AS_OVER_ANNOTATED	False	False	molecular_function	genes/BETPN/Betv1/Betv1-ai-review.yaml
uniprot_panther (GO_REF:0000120, PANTHER with/from)	Betv1	Betula pendula	GO:0005737	cytoplasm	ACCEPT	False	False	cellular_component	genes/BETPN/Betv1/Betv1-ai-review.yaml
