gene	organism	uniprot	review_action	propagated_term	expected_function	panther_family	panther_subfamily	pfam	interpro_specific_entries	interpro_all
aprA	DESVH	Q72DT2	REMOVE	succinate dehydrogenase activity (GO:0000104)	adenylylsulfate (APS) reductase alpha (EC 1.8.99.2)	PTHR11632 SUCCINATE DEHYDROGENASE 2 FLAVOPROTEIN SUBUNIT	PTHR11632:SF51 SUCCINATE DEHYDROGENASE [UBIQUINONE] FLAVOPROTEIN SUBUNIT, MITOCHONDRIAL	PF00890	IPR011803 AprA; IPR003953 FAD-dep_OxRdtase_2_FAD-bd; IPR030664 SdhA/FrdA/AprA	IPR011803:AprA | IPR003953:FAD-dep_OxRdtase_2_FAD-bd | IPR036188:FAD/NAD-bd_sf | IPR037099:Fum_R/Succ_DH_flav-like_C_sf | IPR030664:SdhA/FrdA/AprA | IPR027477:Succ_DH/fumarate_Rdtase_cat_sf
fcs	PSEPK	Q88HK0	MODIFY	medium-chain fatty acid-CoA ligase activity (GO:0031956)	feruloyl-CoA synthetase (EC 6.2.1.34)	PTHR43201 ACYL-COA SYNTHETASE	PTHR43201:SF32 2-SUCCINYLBENZOATE--COA LIGASE, CHLOROPLASTIC_PEROXISOMAL	PF00501,PF23562	IPR000873 AMP-dep_synth/lig_dom	IPR000873:AMP-dep_synth/lig_dom | IPR042099:ANL_N_sf
OCTS1	OCTVU	P27013	MARK_AS_OVER_ANNOTATED	glutathione transferase activity (GO:0004364)	S-crystallin / lens structural protein (GST fold, ~no activity)	PTHR11571 GLUTATHIONE S-TRANSFERASE	PTHR11571:SF150 GLUTATHIONE S-TRANSFERASE	PF14497	IPR004046 GST_C; IPR003083 S-crystallin	IPR010987:Glutathione-S-Trfase_C-like | IPR036282:Glutathione-S-Trfase_C_sf | IPR004046:GST_C | IPR050213:GST_superfamily | IPR003083:S-crystallin
eryAIII	SACEN	A4F7P1	MODIFY	fatty acid synthase activity (GO:0004312)	erythromycin polyketide synthase module (PKS)	PTHR43775 FATTY ACID SYNTHASE	PTHR43775:SF51 INACTIVE PHENOLPHTHIOCEROL SYNTHESIS POLYKETIDE SYNTHASE TYPE I PKS1-RELATED	PF00698,PF08990,PF16197,PF00109,PF02801,PF08659,PF00550,PF22953,PF00975	IPR014043 Acyl_transferase_dom; IPR016035 Acyl_Trfase/lysoPLipase; IPR018201 Ketoacyl_synth_AS; IPR014031 Ketoacyl_synth_C; IPR014030 Ketoacyl_synth_N; IPR057326 KR_dom; IPR016036 Malonyl_transacylase_ACP-bd; IPR032821 PKS_assoc; IPR020841 PKS_Beta-ketoAc_synthase_dom; IPR013968 PKS_KR; IPR050091 PKS_NRPS_Biosynth_Enz; IPR020806 PKS_PP-bd; IPR009081 PP-bd_ACP; IPR006162 Ppantetheine_attach_site; IPR001031 Thioesterase	IPR029058:AB_hydrolase_fold | IPR001227:Ac_transferase_dom_sf | IPR036736:ACP-like_sf | IPR014043:Acyl_transferase_dom | IPR016035:Acyl_Trfase/lysoPLipase | IPR018201:Ketoacyl_synth_AS | IPR014031:Ketoacyl_synth_C | IPR014030:Ketoacyl_synth_N | IPR057326:KR_dom | IPR016036:Malonyl_transacylase_ACP-bd | IPR036291:NAD(P)-bd_dom_sf | IPR015083:NorB/c/GfsB-D-like_docking | IPR032821:PKS_assoc | IPR020841:PKS_Beta-ketoAc_synthase_dom | IPR013968:PKS_KR | IPR050091:PKS_NRPS_Biosynth_Enz | IPR020806:PKS_PP-bd | IPR036299:Polyketide_synth_docking_sf | IPR009081:PP-bd_ACP | IPR006162:Ppantetheine_attach_site | IPR055123:SpnB-like_Rossmann | IPR020802:TesA-like | IPR001031:Thioesterase | IPR016039:Thiolase-like
mcr-1	ECOLX	A0A0R6L508	MODIFY	phosphotransferase activity, phosphate group as acceptor (GO:0016776)	phosphoethanolamine transferase (lipid A modification)	PTHR30443 INNER MEMBRANE PROTEIN	PTHR30443:SF0 PHOSPHOETHANOLAMINE TRANSFERASE EPTA	PF08019,PF00884	IPR058128 Mcr1; IPR058130 PEA_transf_C; IPR040423 PEA_transferase; IPR000917 Sulfatase_N	IPR017850:Alkaline_phosphatase_core_sf | IPR012549:EptA-like_N | IPR058128:Mcr1 | IPR058130:PEA_transf_C | IPR040423:PEA_transferase | IPR000917:Sulfatase_N
NaPMT3	NICAT	A0A314LG79	REMOVE	spermidine synthase activity (GO:0004766)	putrescine N-methyltransferase (PMT, neofunctionalized from spermidine synthase)	PTHR11558 SPERMIDINE/SPERMINE SYNTHASE	PTHR11558:SF53 PUTRESCINE N-METHYLTRANSFERASE 1	PF17284,PF01564	IPR030374 PABS; IPR030373 PABS_CS; IPR025803 Putrescine_N-MeTfrase; IPR001045 Spermi_synthase; IPR035246 Spermidine_synt_N	IPR030374:PABS | IPR030373:PABS_CS | IPR025803:Putrescine_N-MeTfrase | IPR029063:SAM-dependent_MTases_sf | IPR001045:Spermi_synthase | IPR035246:Spermidine_synt_N | IPR037163:Spermidine_synt_N_sf
ADAR2	DOROP	C1JAR3	REMOVE	tRNA-specific adenosine deaminase activity (GO:0008251)	double-stranded RNA / mRNA adenosine deaminase (ADAR, not tRNA-specific ADAT)	PTHR10910 EUKARYOTE SPECIFIC DSRNA BINDING PROTEIN	PTHR10910:SF62 AT07585P-RELATED	PF02137,PF00035	IPR002466 A_deamin; IPR044458 ADAR2_DSRM_1; IPR014720 dsRBD_dom	IPR002466:A_deamin | IPR044458:ADAR2_DSRM_1 | IPR014720:dsRBD_dom
NaUGT1_candidate_UGT85A2_0	NICAT	A0A2H4GSI3	REMOVE	quercetin 3-O-glucosyltransferase activity (GO:0080043)	UDP-glucuronosyltransferase / UGT family (specific flavonoid substrate unproven)	PTHR11926 GLUCOSYL/GLUCURONOSYL TRANSFERASES	PTHR11926:SF1392 GLYCOSYLTRANSFERASE	PF00201	IPR002213 UDP_glucos_trans	IPR002213:UDP_glucos_trans
aceK	PSEPK	Q88EA1	MODIFY	phosphoprotein phosphatase activity (GO:0004721)	isocitrate dehydrogenase kinase/phosphatase (bifunctional, atypical)	PTHR39559 -	PTHR39559:SF1 ISOCITRATE DEHYDROGENASE KINASE_PHOSPHATASE	PF06315,PF20423	IPR046855 AceK_kinase; IPR046854 AceK_regulatory; IPR010452 Isocitrate_DH_AceK	IPR046855:AceK_kinase | IPR046854:AceK_regulatory | IPR010452:Isocitrate_DH_AceK
ahpC	PSEPK	Q88K52	MODIFY	thioredoxin peroxidase activity (GO:0008379)	alkyl hydroperoxide reductase / 2-Cys peroxiredoxin (AhpC)	PTHR10681 THIOREDOXIN PEROXIDASE	PTHR10681:SF121 ALKYL HYDROPEROXIDE REDUCTASE C	PF10417,PF00578	IPR017559 AhpC; IPR000866 AhpC/TSA; IPR050217 Peroxiredoxin; IPR024706 Peroxiredoxin_AhpC-typ; IPR019479 Peroxiredoxin_C	IPR017559:AhpC | IPR000866:AhpC/TSA | IPR050217:Peroxiredoxin | IPR024706:Peroxiredoxin_AhpC-typ | IPR019479:Peroxiredoxin_C | IPR036249:Thioredoxin-like_sf | IPR013766:Thioredoxin_domain
