Reaction,KO,proteinID,description,AgitWOAO_mean,AgitWAO_mean,StatWOAO_mean,StatWAO_mean
R00815,K03380,jgi|Trave1|123403|e_gw1.6.1722.1,E1.14.13.7; phenol 2-monooxygenase (NADPH) [EC:1.14.13.7],,24.468,,
R00815,K03380,jgi|Trave1|47634|gm1.6518_g,E1.14.13.7; phenol 2-monooxygenase (NADPH) [EC:1.14.13.7],,,,29.765
R00815,K03380,jgi|Trave1|47635|gm1.6519_g,E1.14.13.7; phenol 2-monooxygenase (NADPH) [EC:1.14.13.7],,,,29.63
R00815,K03380,jgi|Trave1|58730|estExt_fgenesh1_pm.C_6_t10263,E1.14.13.7; phenol 2-monooxygenase (NADPH) [EC:1.14.13.7],36.927,37.103,35.791,33.502
R01295,K07824,jgi|Trave1|129211|e_gw1.9.1568.1,CYP53A1; benzoate 4-monooxygenase [EC:1.14.14.92],34.098,34.595,34.612,32.964
R01421,K01512,jgi|Trave1|132453|e_gw1.11.1338.1,acyP; acylphosphatase [EC:3.6.1.7],31.193,31.826,31.211,32.28
R05590,K01426,jgi|Trave1|133552|e_gw1.12.147.1,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]",29.613,28.895,,
R05590,K01426,jgi|Trave1|160039|estExt_Genewise1Plus.C_1_t80118,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]",30.68,32.305,31.603,31.333
R05590,K01426,jgi|Trave1|161547|estExt_Genewise1Plus.C_2_t40498,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]",32.647,31.807,31.902,
R05590,K01426,jgi|Trave1|25794|fgenesh1_kg.1_#_615_#_isotig05103,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]",31.964,33.475,33.501,31.97
R05590,K01426,jgi|Trave1|52365|gm1.11249_g,"E3.5.1.4, amiE; amidase [EC:3.5.1.4]",,29.656,,
