type,id,label,status,matched_rows,origin
expected_reaction,R05621,"benzoate 1,2-dioxygenation",missing,0,
expected_reaction,R00813,dihydrodiol dehydrogenation to catechol,missing,0,
expected_reaction,R00817,"catechol ortho-cleavage to cis,cis-muconate",missing,0,
expected_reaction,R06989,muconate cycloisomerization,missing,0,
expected_reaction,R06990,muconolactone isomerization,missing,0,
expected_reaction,R02991,3-oxoadipate enol-lactone hydrolysis,missing,0,
target_compound,C00180,Benzoate,observed,3,proteomics
target_compound,C06321,"(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate",missing,0,
target_compound,C00090,Catechol,observed,1,proteomics
target_compound,C02480,"cis,cis-Muconate",missing,0,
target_compound,C14610,"(S)-5-oxo-2,5-dihydrofuran-2-acetate",missing,0,
target_compound,C03586,3-oxoadipate enol-lactone,missing,0,
target_compound,C00846,3-oxoadipate,missing,0,
