id,name,entry_type,source_tax_id,source_tax_name,full_tax_name,gene,length,subfamily,subfamily_name,in_alphafold
F9UT67,Flavin prenyltransferase LpdB,protein,220668,Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1),Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1),lpdB,187,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
O26250,Flavin prenyltransferase UbiX,protein,187420,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H),Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H),ubiX,191,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
O29054,Flavin prenyltransferase UbiX,protein,224325,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),ubiX,182,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
O58742,Flavin prenyltransferase UbiX,protein,70601,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),ubiX,181,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
O66811,Flavin prenyltransferase UbiX,protein,224324,Aquifex aeolicus (strain VF5),Aquifex aeolicus (strain VF5),ubiX,189,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
O84222,Flavin prenyltransferase UbiX,protein,272561,Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx),ubiX,192,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
P0A245,Flavin prenyltransferase UbiX,protein,99287,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),ubiX,189,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
P0A246,Flavin prenyltransferase UbiX,protein,90370,Salmonella typhi,Salmonella typhi,ubiX,189,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
P0AG03,Flavin prenyltransferase UbiX,protein,83333,Escherichia coli (strain K12),Escherichia coli (strain K12),ubiX,189,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
P0AG04,Flavin prenyltransferase UbiX,protein,83334,Escherichia coli O157:H7,Escherichia coli O157:H7,ubiX,189,PTHR43374:SF1,"FLAVIN PRENYLTRANSFERASE PAD1, MITOCHONDRIAL",True
