#gene_systematic_id	gene_name	aspect	term_id	term_name	reference	evidence	extension	comment
SPAC1002.03c	gls2	molecular_function	GO:0106407	Glc2Man9GlcNAc2 oligosaccharide glucosidase activity	PMID:19605557	IDA		
SPAC1002.08c	mtf1	molecular_function	GO:0034246	mitochondrial transcription factor activity	PMID:21357609	EXP	occurs_in(GO:0005739),part_of(GO:0006391)	
SPAC1002.13c	psu1	cellular_component	GO:0005576	extracellular region	PMID:39660919	IDA	exists_during(GO:0016036)	A list of the 13 most abundant secreted proteins detected in the medium of phosphate-starved fission yeast cells is compiled in Fig. 2A
SPAC1006.03c	red1	cellular_component	GO:0071920	cleavage body	PMID:21317872	IDA		Red1 localizes to cleavage bodies in mitotically dividing cells and cooperates with polyadenylation factors to hyperadenylate meiotic mRNAs. (A) Red1 dots co-localize with cleavage factor, Pcf11; the canonical poly(A) polymerase, Pla1; a nuclear exosome subunit, Rrp6; and a nuclear poly(A)-binding protein, Pab2.
SPAC1006.03c	red1	cellular_component	GO:1990477	MTREC complex	PMID:24713849	IDA		
SPAC1006.03c	red1	biological_process	GO:0071030	nuclear mRNA surveillance of spliceosomal pre-mRNA splicing	PMID:27365210	EXP	happens_during(GO:0098762)	These results demonstrate that pFal1, Red5, and Red1 are required to generate spliced rec8+ mRNA during starvation-induced meiosis.
SPAC1006.03c	red1	biological_process	GO:0071030	nuclear mRNA surveillance of spliceosomal pre-mRNA splicing	PMID:25989903	IMP		
SPAC1006.03c	red1	biological_process	GO:1902794	siRNA-independent facultative heterochromatin formation	PMID:22144463	IMP		
SPAC1006.03c	red1	molecular_function	GO:0030674	protein-macromolecule adaptor activity	PMID:36002457	EXP	has_input(PomBase:SPAC7D4.14c),part_of(GO:0033621)	These findings indicate that the interaction of Iss10 with Red1 is required for Iss10 recruitment to Red1 nuclear foci and suggest that it may promote the clustering of Red1 nuclear foci.
SPAC1006.03c	red1	molecular_function	GO:0030674	protein-macromolecule adaptor activity	PMID:32012158	IPI	has_input(PomBase:SPAC1F3.01),part_of(GO:0033621)	The interaction between these proteins was abolished in the absence of red1 (Fig 3A), suggesting that Red1 physically links Mmi1 with the exosome. and Fig 4B The direct binding of Red1 with Rrp6 was also observed (Fig 4B).
SPAC1006.05c	och1	cellular_component	GO:0005794	Golgi apparatus	PMID:33536395	IDA		As expected, Och1-EGFP expressed in the wild type strain showed strong fluorescence as a typical Golgi-like dots, but faint fluorescent dots were confirmed in gmn2∆ cells (Fig. 4A).
SPAC1006.05c	och1	biological_process	GO:0006487	protein N-linked glycosylation	PMID:32650974	IMP		(Figure 4) These results suggested that the elongation of mannan takes place sequentially by the actions of the a-mannosyltransferases in the order of SpOch1p, SpMnn9p and SpAnp1p.
SPAC1006.06	rgf2	cellular_component	GO:0005632	inner layer of spore wall	PMID:19189958	IDA		(Figure 3B)
SPAC1006.06	rgf2	biological_process	GO:0140748	positive regulation of regulation of ascospore wall (1->3)-beta-D-glucan biosynthetic process	PMID:19189958	IMP		(Figure 3) "This result indicates that Rgf2p is involved in b-glucan biosynthesis during sporulation." figure4c These results clearly indicate that Rgf2p is involved in the regulation of b(1,3)-glucan biosynthesis.
SPAC1006.06	rgf2	molecular_function	GO:0005085	guanyl-nucleotide exchange factor activity	PMID:19189958	EXP	has_input(PomBase:SPAC1F7.04),occurs_in(GO:0005632),part_of(GO:0060624)	(Figure 4c) (comment: positive
SPAC1006.06	rgf2	molecular_function	GO:0005085	guanyl-nucleotide exchange factor activity	PMID:19189958	EXP	happens_during(GO:0051329),has_input(PomBase:SPAC1F7.04),part_of(GO:0090334)	Our results indicate that Rgf1p and Rgf2p share an essential role as Rho1p activators, and they suggest that in the absence of Rgf1p, Rgf2p takes over the essential functions for Rho1p during vegetative growth.
SPAC1006.07	tif1	biological_process	GO:0002183	cytoplasmic translational initiation	PMID:10462529	IMP		(Fig. 2)
SPAC1006.08	etd1	cellular_component	GO:0051285	cell cortex of cell tip	PMID:15933715	IDA	exists_during(GO:0051329)	In interphase cells, Etd1p-GFP was located at the cell cortex and was more concentrated at the cell tips (Figure 2A, cell 1).
SPAC1006.08	etd1	cellular_component	GO:0051285	cell cortex of cell tip	PMID:19736319	EXP	exists_during(GO:0051329)	(Fig. 4B)
SPAC1006.08	etd1	cellular_component	GO:0005737	cytoplasm	PMID:19736319	EXP	exists_during(GO:0000093)	(Fig. 4B)
SPAC1006.08	etd1	cellular_component	GO:0000935	division septum	PMID:15933715	IDA	exists_during(GO:0000092)	In early anaphase, Etd1p-GFP became concentrated in the medial region of the cell cortex as a broad band (Figure 2A, cell 2)
SPAC1006.08	etd1	cellular_component	GO:0031097	medial cortex	PMID:15933715	IDA	exists_during(GO:0000090)	In early anaphase, Etd1p-GFP became concentrated in the medial region of the cell cortex as a broad band (Figure 2A, cell 2)
SPAC1006.08	etd1	cellular_component	GO:0031097	medial cortex	PMID:15933715	IDA	exists_during(GO:0000089)	In early anaphase, Etd1p-GFP became concentrated in the medial region of the cell cortex as a broad band (Figure 2A, cell 2)
SPAC1006.08	etd1	biological_process	GO:1905758	positive regulation of primary cell septum biogenesis	PMID:29813053	IMP		(Fig. 5,6A-D)
SPAC1006.08	etd1	biological_process	GO:0031028	septation initiation signaling	PMID:15933715	IMP		suggesting that Etd1p is somehow necessary to maintain Spg1p activity during anaphase until the completion of cytokinesis
SPAC1039.02	efn2	cellular_component	GO:0005576	extracellular region	PMID:39660919	IDA	exists_during(GO:0016036)	A list of the 13 most abundant secreted proteins detected in the medium of phosphate-starved fission yeast cells is compiled in Fig. 2A
SPAC1039.02	efn2	molecular_function	GO:0008253	5'-nucleotidase activity	PMID:39660919	EXP	happens_during(GO:0016036),occurs_in(GO:0005615)	(Figure 5) The Efn1:Efn2 activity ratio is 5.0 for AMP, 6.3 for GMP, and 4.1 for UMP (Fig. 5) However, the Efn1:Efn2 activity ratio for CMP hydrolysis is 1.3, suggesting that Efn2 displays a greater selectivity for CMP than does Efn1.
SPAC1039.05c	klf1	molecular_function	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	PMID:39747188	EXP	occurs_in(GO:0000791),part_of(GO:0010468)	
SPAC105.02c	ank1	cellular_component	GO:0005737	cytoplasm	PMID:37531259	IDA		(Figure 1F)
SPAC105.02c	ank1	molecular_function	GO:0017024	myosin I binding	PMID:37531259	IPI	occurs_in(GO:0005737),part_of(GO:0006897)	(Fig. 1, 1B, 2D)
SPAC105.02c	ank1	molecular_function	GO:0140311	protein sequestering activity	PMID:37531259	EXP	has_input(PomBase:SPBC146.13c),occurs_in(GO:0005737)	Given the AF model and the above results, we hypothesized that Ank1 In contrast, in myo1-mNG fim1-mCherry cells overproducing Ank1, while Fim1-mCherry was at patches, almost all Myo1-mNG was cytoplasmic (Fig. 3A). These data support our model that Ank1 blocks Myo1 membrane association and normally sequesters the bulk of Myo1 in the cytoplasm.precludes Myo1 membrane binding and sequesters the myosin-1 complex in the cytoplasm (Fig. 2F).Addition of Ank1 resulted in a reduction in the amount of co-pelleting of the Myo1(1-964)-FLAG-Cam1-Cam2 complex with liposomes (Fig. 2F). We therefore conclude that Ank1 directly binds and inhibits Myo1 membrane binding, supporting our model.
SPAC1071.02	mms19	molecular_function	GO:0140597	protein carrier chaperone	PMID:27558664	EXP	has_input(PomBase:SPBC16D10.07c)	
SPAC1071.09c	djc9	biological_process	GO:0036205	histone catabolic process	PMID:39878217	EXP		Our study reveals that as a binding protein for the histone H3-H4 dimer, Djc9 acts with Hsp70 to promote the proteasomal degradation of excess histones. Its activity is restrained by the competitive binding of H3-H4 by Asf1, whose essential function in fission yeast is restricting histone degradation by Djc9. (Fig. 5 and Fig. 6)
SPAC1071.09c	djc9	molecular_function	GO:0042393	histone binding	PMID:39878217	IDA	has_input(PomBase:SPAC1834.04)	(Fig. 2)
SPAC1071.09c	djc9	molecular_function	GO:0042393	histone binding	PMID:39878217	IDA	has_input(PomBase:SPBC8D2.04)	(Fig. 2)
SPAC1071.09c	djc9	molecular_function	GO:0042393	histone binding	PMID:39878217	IDA	has_input(PomBase:SPBC1105.11c)	(Fig. 2)
SPAC1071.09c	djc9	molecular_function	GO:0042393	histone binding	PMID:39878217	IDA	has_input(PomBase:SPAC1834.03c)	(Fig. 2)
SPAC1071.09c	djc9	molecular_function	GO:0042393	histone binding	PMID:39878217	IDA	has_input(PomBase:SPBC8D2.03c)	(Fig. 2)
SPAC1071.09c	djc9	molecular_function	GO:0042393	histone binding	PMID:39878217	IDA	has_input(PomBase:SPBC1105.12)	(Fig. 2)
SPAC1071.10c	pma1	molecular_function	GO:0008553	P-type proton-exporting transporter activity	PMID:1396704	IMP	happens_during(GO:0071333)	
SPAC1071.11	coq12	cellular_component	GO:0005739	mitochondrion	PMID:37156397	EXP		Coq12-GFP fusion (Fig. 8A). The GFP fluorescence pattern was similar to that of Mitotracker Red, a mitochondria stain. Mitochondrial localization of Coq12 was therefore confirmed
SPAC1071.11	coq12	cellular_component	GO:0005739	mitochondrion	PMID:37156397	IDA		
SPAC1071.11	coq12	biological_process	GO:0006744	ubiquinone biosynthetic process	PMID:37156397	IDA		
SPAC1071.11	coq12	molecular_function	GO:0036382	flavin reductase (NADH) activity	PMID:37156397	IDA	part_of(GO:0006744)	Interestingly, NAD+ reduction activity was clearly detected in purified Coq12-8xHis from S. pombe (Fig. 9A)
SPAC1071.12c	stp1	molecular_function	GO:0004725	protein tyrosine phosphatase activity	PMID:7498507	IDA		
SPAC1093.04c	cca1	cellular_component	GO:0005829	cytosol	PMID:30528393	EXP		
SPAC1093.04c	cca1	cellular_component	GO:0005739	mitochondrion	PMID:30528393	EXP		
SPAC1093.06c	dhc1	cellular_component	GO:0005938	cell cortex	PMID:30649994	IDA	exists_during(GO:0007128)	(Fig. 4b)
SPAC1093.06c	dhc1	biological_process	GO:0007052	mitotic spindle organization	PMID:34951983	EXP		required for spindle repair following laser ablation
SPAC1093.06c	dhc1	biological_process	GO:0000743	nuclear migration involved in conjugation with cellular fusion	PMID:25869666	IMP		
SPAC1093.06c	dhc1	molecular_function	GO:0008569	minus-end-directed microtubule motor activity	PMID:25869666	IMP		
SPAC1093.06c	dhc1	molecular_function	GO:0005515	protein binding	PMID:15509865	IPI		(Fig. 3B)
SPAC10F6.02c	prp22	cellular_component	GO:0005681	spliceosomal complex	PMID:24014766	IDA		(Table 1)
SPAC10F6.09c	psm3	cellular_component	GO:0030892	mitotic cohesin complex	PMID:26687354	IDA		(Figure 1C)
SPAC10F6.09c	psm3	cellular_component	GO:0030892	mitotic cohesin complex	PMID:24291789	IDA		(Fig. 2a,b; Extended Data Fig. 2a)
SPAC10F6.09c	psm3	biological_process	GO:0140588	chromatin looping	PMID:34309513	IDA		(Figure 4A, Video 1).
SPAC10F6.09c	psm3	biological_process	GO:0031619	homologous chromosome orientation in meiotic metaphase I	PMID:38448160	IMP		Indeed, cells expressing Psm3-2A (alanine substitution at T182 and S1001) showed mono-orientation defects (20%) albeit mildly, compared with WT (12%) (Fig 3C), suggesting that phosphorylation of these sites might contribute to establishing cohesion at the core centromeres.....We speculate that the Psm3 phosphorylation at the gate may play a role in transiently loosening Rec8-Psm3 gate to facilitate establishment of cohesion at the core centromere.
SPAC10F6.09c	psm3	biological_process	GO:0007064	mitotic sister chromatid cohesion	PMID:24291789	IDA		(Fig. 3b), suggesting that cohesin in principle achieves topological loading onto DNA independently of a cohesin loader, albeit inefficiently.
SPAC10F6.09c	psm3	molecular_function	GO:0003677	DNA binding	PMID:26687354	IMP	part_of(GO:0007064)	(Figure 6B)
SPAC10F6.09c	psm3	molecular_function	GO:0003690	double-stranded DNA binding	PMID:24291789	IDA		(Fig. 2a,b; Extended Data Fig. 2a)
SPAC10F6.16	igo1	molecular_function	GO:0004865	protein serine/threonine phosphatase inhibitor activity	PMID:26776736	IDA	has_input(PomBase:SPBC16H5.07c),part_of(GO:1905287)	again confirms other systems Endosulfines are small phosphoproteins, highly conserved from yeasts to humans, that specifically bind to and inhibit the PP2A$B55 protein phosphatase subcomplex [8, 9]. PP2A$B55 has been shown to be cell-cycle-regulated in Xenopus, following the opposite pattern of activity to Cdk1$Cyclin B (high in interphase and low in mitosis) [15]. To determine whether Ser64-phosphorylated Igo1 inhibits the PP2A$B55 (PP2A$Pab1 in fission yeast) phosphatase activity, we purified PP2A$Pab1 phosphatase from cells expressing GST- Pab1 using glutathione sepharose beads and assayed them for phosphatase activity. Wild-type Igo1 thiophosphorylated in vitro at Ser64 by Xenopus Greatwall, but not Igo1-S64A, inhibited more than 90% the phosphatase activity of PP2A$Pab1 (B55) (Figures S4B and S4C). This result indicates that Ser64- phosphorylated Igo1 inhibits the activity of PP2A$B55, analogous to the situation in budding yeast [27, 28, 35] and animal cells [8, 9].
SPAC110.02	pds5	cellular_component	GO:0000228	nuclear chromosome	PMID:11598020	IDA	exists_during(GO:0000236)	(Fig. 4a)
SPAC110.02	pds5	cellular_component	GO:0000228	nuclear chromosome	PMID:11598020	IDA	exists_during(GO:0051329)	(Fig. 4a)
SPAC110.02	pds5	cellular_component	GO:0005634	nucleus	PMID:11598020	IDA		(Fig. 4a)
SPAC110.02	pds5	cellular_component	GO:0005721	pericentric heterochromatin	PMID:11598020	IDA		(Fig. 4a)
SPAC110.02	pds5	biological_process	GO:0051456	attachment of meiotic spindle microtubules to meiosis II kinetochore	PMID:28343969	IMP		
SPAC110.02	pds5	biological_process	GO:0007064	mitotic sister chromatid cohesion	PMID:26687354	IDA		(Figure 2B)
SPAC110.02	pds5	molecular_function	GO:0140463	chromatin-protein adaptor activity	PMID:28343969	IPI	happens_during(GO:0051329),has_input(PomBase:SPBC16A3.11),part_of(GO:0034087)	(Figures S4D and S4E)
SPAC110.02	pds5	molecular_function	GO:0140463	chromatin-protein adaptor activity	PMID:28343969	IPI		(Figures S4D and S4E)
SPAC110.02	pds5	molecular_function	GO:0140463	chromatin-protein adaptor activity	PMID:28343969	IPI	happens_during(GO:0000087),has_input(PomBase:SPAC23C4.03),occurs_in(GO:0005721),part_of(GO:0051456)	Here we identify a conserved Hrk1-interacting motif (HIM) in Pds5 and a Pds5-interacting motif (PIM) in Hrk1 in fission yeast. Mutations in either motif result in the displacement of Hrk1 from centromeres. We also show that the mechanism of Pds5-dependent Hrk1 recruitment is conserved in human cells | (Figure 1 E) Thus, although Eso1, Wpl1, and Hrk1 all bind to the same surface of Pds5, we assume that they do not always compete for binding because of the excess amounts of Pds5 in the cells. Thus, HIM in Pds5 and PIM in Hrk1 are required solely for centromeric Hrk1 localization and its function, at least in the context of targeting the CPC to centromeres.
SPAC110.03	cdc42	cellular_component	GO:0005938	cell cortex	PMID:29930085	IDA		(Figure 1)
SPAC110.03	cdc42	cellular_component	GO:1902716	cell cortex of growing cell tip	PMID:24146635	IDA	exists_during(GO:0034605),exists_during(GO:0042814)	
SPAC110.03	cdc42	cellular_component	GO:1902716	cell cortex of growing cell tip	PMID:18328707	IDA	exists_during(GO:0051329)	
SPAC110.03	cdc42	cellular_component	GO:0032153	cell division site	PMID:37039135	IDA	exists_during(GO:0000090)	we observed Cdc42 activation in early anaphase, at the time of ring assembly. Fig. 2
SPAC110.03	cdc42	cellular_component	GO:0090726	cortical dynamic polarity patch	PMID:23200991	IDA	exists_during(GO:0071444)	
SPAC110.03	cdc42	cellular_component	GO:0097575	lateral cell cortex	PMID:24146635	IDA	exists_during(GO:0034605)	
SPAC110.03	cdc42	cellular_component	GO:0043332	mating projection tip	PMID:23200991	IDA	exists_during(GO:0000753)	
SPAC110.03	cdc42	cellular_component	GO:0110085	mitotic actomyosin contractile ring	PMID:29930085	IDA		(Figure 1)
SPAC110.03	cdc42	cellular_component	GO:0031520	plasma membrane of cell tip	PMID:21849474	EXP		(Fig. 9)
SPAC110.03	cdc42	cellular_component	GO:0030427	site of polarized growth	PMID:25837586	IDA		
SPAC110.03	cdc42	biological_process	GO:1902917	positive regulation of mating projection assembly	PMID:23200991	EXP		
SPAC1142.03c	swi2	cellular_component	GO:0031934	mating-type region heterochromatin	PMID:15537537	IDA		(Fig. 2F)
SPAC1142.03c	swi2	cellular_component	GO:0005634	nucleus	PMID:15537537	IDA		(Fig. 2B)
SPAC1142.03c	swi2	biological_process	GO:0007535	donor selection	PMID:36951094	IDA		we demonstrated that the Swi2-Swi5 complex promotes Rad51-driven strand invasion in vitro
SPAC1142.03c	swi2	biological_process	GO:0007535	donor selection	PMID:29852001	IDA		In summary, our observations suggest that the factors, Clr4, Sir2, Swd1 and Clr3 probably work in the same pathway as Swi6, but Brl2, Pof3, Cbp1 and Swi2 have an effect on donor selection through Swi6-dependent and -independent mechanisms.
SPAC1142.03c	swi2	biological_process	GO:0007534	gene conversion at mating-type locus	PMID:36951094	IDA		we demonstrated that the Swi2-Swi5 complex promotes Rad51-driven strand invasion in vitro
SPAC1142.03c	swi2	molecular_function	GO:1990837	sequence-specific double-stranded DNA binding	PMID:36951094	IDA	occurs_in(SO:0001789),part_of(GO:0007535)	the AT-hook motifs were required for the mat3-M donor choice.
SPAC1142.07c	vps32	cellular_component	GO:0180028	mitotic spindle pole body attachment site	PMID:37783794	EXP	exists_during(GO:0000092)	(Fig. 1B-D)
