token	status	uniprot_hits	resolved	used_in
AGI_LocusCode:AT2G19790	RESOLVED	1	O82201 AP4S_ARATH | At2g19790 F6F22.18 | Arabidopsis thaliana (Mouse-ear cress) | reviewed	PAINT PTN000204281 GO:0043231 IBD
ARBA:ARBA00033921	NOT_A_GENE_PRODUCT		ARBA	GOA GO:0030123 IEA GO_REF:0000120
CGD:CAL0000182525	RESOLVED	1	Q59QC5 APS3_CANAL | APS3 CAALFM_C108480CA CaO19.393 CaO19.8023 | Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast) | reviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD
FB:FBgn0039132	RESOLVED	4	A0A0B4KHB7 A0A0B4KHB7_DROME | AP-1sigma AP-1[sigma] AP-1sigma1 AP1sigma AP1sigma1 aps1 cg5864 Dmel\CG5864 sigma1 CG5864 Dmel_CG5864 | Drosophila melanogaster (Fruit fly) | unreviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD; PAINT PTN000204281 GO:0043231 IBD
FB:FBgn0043012	RESOLVED	2	Q9VDC3 Q9VDC3_DROME | AP-2sigma AP-2 sigma AP-2-sigma AP2 AP2-sigma aps2 cg6056 Dmel\CG6056 sigma2 sigma2-ada CG6056 Dmel_CG6056 | Drosophila melanogaster (Fruit fly) | unreviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0043231 IBD
GO:0008089	NOT_A_GENE_PRODUCT		GO	GOA GO:1904115 IEA GO_REF:0000108
InterPro:IPR000804	NOT_A_GENE_PRODUCT		InterPro	GOA GO:0006886 IEA GO_REF:0000002; GOA GO:0016192 IEA GO_REF:0000002; GOA GO:0030117 IEA GO_REF:0000002
InterPro:IPR016635	NOT_A_GENE_PRODUCT		InterPro	GOA GO:0015031 IEA GO_REF:0000002
InterPro:IPR027155	NOT_A_GENE_PRODUCT		InterPro	GOA GO:0006896 IEA GO_REF:0000002; GOA GO:0030123 IEA GO_REF:0000120
MGI:MGI:1098244	RESOLVED	4	P61967 AP1S1_MOUSE | Ap1s1 Ap19 | Mus musculus (Mouse) | reviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD
MGI:MGI:1889383	RESOLVED	5	Q9DB50 AP1S2_MOUSE | Ap1s2 | Mus musculus (Mouse) | reviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD
MGI:MGI:2141861	RESOLVED	5	P62743 AP2S1_MOUSE | Ap2s1 Ap17 Claps2 | Mus musculus (Mouse) | reviewed	PAINT PTN000204281 GO:0043231 IBD
PANTHER:PTN000204281	PANTHER_NODE		ancestral node, not a donor gene product	GOA GO:0016192 IBA GO_REF:0000033
PomBase:SPAP27G11.06c	RESOLVED	1	Q9P7N2 AP1S1_SCHPO | vas2 aps1 SPAP27G11.06c | Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast) | reviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD; PAINT PTN000204281 GO:0043231 IBD
RGD:1311115	RESOLVED	5	A0A8I6AKR4 A0A8I6AKR4_RAT | Ap3s1 | Rattus norvegicus (Rat) | unreviewed	PAINT PTN000204281 GO:0043231 IBD
RGD:620188	RESOLVED	5	P62744 AP2S1_RAT | Ap2s1 Ap17 Claps2 | Rattus norvegicus (Rat) | reviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD; PAINT PTN000204281 GO:0043231 IBD
SGD:S000003561	RESOLVED	1	P47064 AP3S_YEAST | APS3 YKS7 YJL024C J1274 | Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) | reviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD; PAINT PTN000204281 GO:0043231 IBD
SGD:S000003819	RESOLVED	1	Q00381 AP2S_YEAST | APS2 YAP17 YJR058C J1720 | Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) | reviewed	PAINT PTN000204281 GO:0043231 IBD
SGD:S000004160	RESOLVED	1	P35181 AP1S1_YEAST | APS1 YAP19 YLR170C L9470.16 | Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast) | reviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD; PAINT PTN000204281 GO:0043231 IBD
UniProtKB-SubCell:SL-0089	NOT_A_GENE_PRODUCT		UniProtKB-SubCell	GOA GO:0030659 IEA GO_REF:0000044
UniProtKB-SubCell:SL-0132	NOT_A_GENE_PRODUCT		UniProtKB-SubCell	GOA GO:0005794 IEA GO_REF:0000044
UniProtKB:A0A0G2K302	RESOLVED	1	A0A0G2K302 A0A0G2K302_RAT | Ap3s2 | Rattus norvegicus (Rat) | unreviewed	GOA GO:0008021 IEA GO_REF:0000107
UniProtKB:P53680	RESOLVED	1	P53680 AP2S1_HUMAN | AP2S1 AP17 CLAPS2 | Homo sapiens (Human) | reviewed	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD
UniProtKB:P56377	RESOLVED	1	P56377 AP1S2_HUMAN | AP1S2 DC22 | Homo sapiens (Human) | reviewed	PAINT PTN000204281 GO:0043231 IBD
UniProtKB:P61966	RESOLVED	1	P61966 AP1S1_HUMAN | AP1S1 AP19 CLAPS1 | Homo sapiens (Human) | reviewed	PAINT PTN000204281 GO:0043231 IBD
UniProtKB:Q8BSZ2	RESOLVED	1	Q8BSZ2 AP3S2_MOUSE | Ap3s2 | Mus musculus (Mouse) | reviewed	GOA GO:0008089 IEA GO_REF:0000107; GOA GO:0008089 ISS GO_REF:0000024; GOA GO:0035651 IEA GO_REF:0000107; GOA GO:0048490 IEA GO_REF:0000107; GOA GO:0048490 ISS GO_REF:0000024
WB:WBGene00000157	RESOLVED_VIA_GO_API	1	Q19123 Q19123_CAEEL | aps-2 CELE_F02E8.3 F02E8.3 | Caenorhabditis elegans | unreviewed [GO API: AP complex subunit sigma, NCBITaxon:6239]	GOA GO:0016192 IBA GO_REF:0000033; PAINT PTN000204281 GO:0016192 IBD
dictyBase:DDB_G0289721	RESOLVED	1	Q54H39 AP2S_DICDI | ap2s1 DDB_G0289721 | Dictyostelium discoideum (Social amoeba) | reviewed	PAINT PTN000204281 GO:0043231 IBD
ensembl:ENSMUSP00000075082	NOT_A_GENE_PRODUCT		ensembl	GOA GO:0008089 IEA GO_REF:0000107; GOA GO:0035651 IEA GO_REF:0000107; GOA GO:0048490 IEA GO_REF:0000107
ensembl:ENSRNOP00000072451	NOT_A_GENE_PRODUCT		ensembl	GOA GO:0008021 IEA GO_REF:0000107
