tc	go	go_label	level	n	k	frac	verdict	members
1	GO:0015267	channel activity	1	500	235	0.47	CLASS_LEVEL	A0JNW5;A6NI61;O00159;O00161;O00168;O00291;O00505;O15247;O15263;O15551;O15554;O43310;O43525;O43526;O60741;O75762;O94901;O95373;P02743;P04080
1.A.11	GO:0008519	ammonium channel activity	3	23	23	1.0	JUSTIFIED	Q02094;Q9H310;Q02161;Q9UBD6;P18577;P41948;P69681;Q9BLG3;P54144;Q9BLG4;Q9NIV0;Q9SQH9;Q9M6N7;P40260;Q9SVT8;I3R0S7;O29285;G7L1W7;O66515;P58905
1.A.23.2.1	GO:0008381	mechanosensitive monoatomic ion channel activity	5	1	1	1.0	JUSTIFIED	P0C0S1
1.A.9	GO:0160039	serotonin-gated chloride channel activity	3	59	1	0.017	NOT_JUSTIFIED_AT_LEVEL	P07510;P14867;P17787;P23416;P43681;P46098;P47870;O95264;P28476;P36544;Q04844;Q401N2;Q70Z44;Q9UGM1;O95166;P02708;P09958;P18507;P23415;P47869
1.B.1.-.-	GO:0015288	porin activity	3	22	22	1.0	JUSTIFIED	P02931;P06996;P02932;P77747;P21420;P24305;P30692;Q04064;P29739;P30687;A0RZH5;P05430;Q56828;Q9KK91;Q9CNN9;P0C6Q6;Q48217;Q56111;Q87LZ1;P07238
1.B.11.-.-	GO:0015473	fimbrial usher porin activity	3	14	13	0.929	JUSTIFIED	P33129;P33341;P42915;P30130;P07110;P45420;P75750;P26949;P33410;P21647;P53513;P06970;P25733;P46000
1.B.12.-.-	GO:0015474	autotransporter activity	3	26	0	0.0	NOT_JUSTIFIED_AT_LEVEL	P45508;P39180;Q03155;Q47692;Q7BSW5;E6MVD9;O33407;O68900;Q9EZE7;P14283;Q7BCK4;Q8FDW4;Q45340;P09790;Q7BS42;P45387;Q9XD84;P76017;O84418;P38008
1.B.9.1.1	GO:0015483	long-chain fatty acid transporting porin activity	5	1	1	1.0	JUSTIFIED	P10384
1.C	GO:0140911	pore-forming activity	2	436	19	0.044	CLASS_LEVEL	O15263;P02743;P04080;P05451;P13671;P60022;P81534;Q07108;Q15818;Q16143;Q2M385;Q8TAX9;Q9NQX7;Q9Y287;O60443;O60477;O76070;P05067;P15515;P26718
2.A	GO:0015291	secondary active transmembrane transporter activity	2	500	318	0.636	CLASS_LEVEL	O00337;O00400;O00624;O15245;O43808;O43826;O43868;O95528;O95907;P13866;P16260;P19634;P22732;P25874;P31645;P36021;P41440;P43005;P43007;P46059
2.A.1.-.-	GO:0009679	hexose:proton symporter activity	3	466	5	0.011	NOT_JUSTIFIED_AT_LEVEL	O00400;O00624;O15245;O43826;O95528;O95907;P22732;P36021;Q16572;Q496J9;Q4U2R8;Q6ZSM3;Q7Z3Q1;Q86VW1;Q8N4F4;Q8NCK7;Q8TCC7;Q8TDB8;Q8WWB7;Q9BY10
2.A.1.1	GO:0005351	carbohydrate:proton symporter activity	4	88	35	0.398	NOT_JUSTIFIED_AT_LEVEL	O95528;P22732;Q8TDB8;Q6PXP3;Q9NRM0;Q9UGQ3;P11166;P11168;P11169;P14672;Q96QE2;Q8TD20;Q9BYW1;Q9NY64;P30605;P32465;Q07647;Q8VZ80;Q9C757;A1Z8N1
2.A.1.1.1	GO:0015517	galactose:proton symporter activity	5	1	1	1.0	JUSTIFIED	P0AEP1
2.A.1.1.10	GO:0005364	maltose:proton symporter activity	5	1	0	0.0	GAP_CANDIDATE	P15685
2.A.1.1.11	GO:0005352	alpha-glucoside:proton symporter activity	5	1	1	1.0	JUSTIFIED	P53048
2.A.1.1.12	GO:0015304	D-glucose uniporter activity	5	1	0	0.0	GAP_CANDIDATE	Q07647
2.A.1.1.13	GO:0015284	fructose uniporter activity	5	1	0	0.0	GAP_CANDIDATE	P22732
2.A.1.1.2	GO:0015518	arabinose:proton symporter activity	5	1	0	0.0	GAP_CANDIDATE	P0AE24
2.A.1.1.3	GO:0015519	D-xylose:proton symporter activity	5	1	1	1.0	JUSTIFIED	P0AGF4
2.A.1.1.4	GO:0015304	D-glucose uniporter activity	5	1	0	0.0	GAP_CANDIDATE	P21906
2.A.1.1.5	GO:0008516	hexose uniporter activity	5	1	0	0.0	GAP_CANDIDATE	P43581
2.A.1.1.6	GO:0015304	D-glucose uniporter activity	5	1	0	0.0	GAP_CANDIDATE	P13181
2.A.1.1.6	GO:0050782	galactose uniporter activity	5	1	0	0.0	GAP_CANDIDATE	P13181
2.A.1.1.8	GO:0005366	myo-inositol:proton symporter activity	5	1	1	1.0	JUSTIFIED	P30605
2.A.1.1.9	GO:0015517	galactose:proton symporter activity	5	1	0	0.0	GAP_CANDIDATE	P07921
2.A.1.1.9	GO:0015528	lactose:proton symporter activity	5	1	0	0.0	GAP_CANDIDATE	P07921
