readout_class	proximity	convergence	total	reviewed	ACCEPT	KEEP_AS_NON_CORE	MODIFY	MARK_AS_OVER_ANNOTATED	REMOVE	UNDECIDED	NEW	pct_removed_or_overann	pct_any_downgrade
UPR_ER_STRESS	phenotypic	high	30	29	22	7	0	0	0	1	0	0%	24%
APOPTOSIS_CASPASE	phenotypic	high	119	119	90	18	4	2	2	0	3	3%	22%
AUTOPHAGY_FLUX	phenotypic	high	55	54	41	7	1	3	0	1	2	6%	20%
MITO_MEMBRANE_POTENTIAL	phenotypic	high	26	26	13	9	1	2	0	0	1	8%	46%
CALCIUM_FLUX	phenotypic	high	7	7	3	1	1	2	0	0	0	29%	57%
pH_PROBE	phenotypic	high	1	1	1	0	0	0	0	0	0	0%	0%
IRON_PROBE	phenotypic	high	6	6	3	2	0	0	0	0	1	0%	33%
TRANSCRIPTIONAL_REPORTER	phenotypic	high	63	63	48	10	1	1	1	0	2	3%	21%
VIABILITY_PROLIFERATION	phenotypic	high	7	7	4	3	0	0	0	0	0	0%	43%
CELL_MIGRATION_INVASION	phenotypic	high	9	9	4	4	0	1	0	0	0	11%	56%
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	phenotypic	high	5	5	4	1	0	0	0	0	0	0%	20%
SECRETION_DEGRANULATION	phenotypic	high	22	22	4	17	1	0	0	0	0	0%	82%
METABOLIC_FLUX	phenotypic	high	6	6	3	3	0	0	0	0	0	0%	50%
DNA_DAMAGE_FOCI	phenotypic	high	36	36	11	7	3	10	2	0	3	33%	61%
SENESCENCE	phenotypic	high	3	3	0	3	0	0	0	0	0	0%	100%
WNT_REPORTER	phenotypic	high	4	4	0	3	0	0	0	0	1	0%	75%
HYPOXIA_HIF	phenotypic	high	4	4	1	1	0	2	0	0	0	50%	75%
CELL_DIFFERENTIATION	phenotypic	high	55	55	21	16	1	16	1	0	0	31%	62%
ANGIOGENESIS_TUBE	phenotypic	high	7	7	4	2	0	0	0	0	1	0%	29%
PHAGOCYTOSIS	phenotypic	high	127	127	63	44	7	12	0	0	1	9%	50%
CELL_CYCLE_FLOW	phenotypic	high	37	37	26	6	0	0	3	0	2	8%	24%
PROTEIN_TURNOVER	phenotypic	high	12	12	9	0	0	2	1	0	0	25%	25%
REDOX_BALANCE	phenotypic	high	26	26	12	2	10	1	1	0	0	8%	54%
LIPID_PEROXIDATION	phenotypic	high	44	44	24	9	1	6	0	0	4	14%	36%
TRANSLATION_ASSAY	phenotypic	high	1	1	0	0	0	0	0	0	1	0%	0%
IN_VITRO_ENZYME	molecular	low	528	524	365	48	36	32	15	4	28	9%	25%
DIRECT_BINDING	molecular	low	1048	1045	802	51	72	38	31	3	51	7%	18%
ELECTROPHYSIOLOGY	molecular	low	50	47	35	6	2	2	0	3	2	4%	21%
KINASE_ACTIVITY_ASSAY	molecular	low	483	482	233	182	21	32	9	1	5	9%	51%
GTPASE_ACTIVITY	molecular	low	475	470	276	79	19	73	17	5	6	19%	40%
UBIQUITINATION_ASSAY	molecular	low	132	131	108	9	3	2	9	1	0	8%	18%
CHROMATIN_CHIP	molecular	low	198	197	129	31	5	13	8	1	11	11%	29%
PROTEASE_ACTIVITY	molecular	low	81	80	53	4	13	4	4	1	2	10%	31%
NUCLEASE_ACTIVITY	molecular	low	174	174	98	25	22	10	10	0	9	11%	39%
LIPID_TRANSFER_FLIPPASE	molecular	low	58	58	39	5	5	6	2	0	1	14%	31%
PROTEASOME_ACTIVITY	molecular	low	56	56	11	5	0	40	0	0	0	71%	80%
