readout_class	matched_string	papers
UPR_ER_STRESS	xbp1s	289
UPR_ER_STRESS	xbp1 splic	117
UPR_ER_STRESS	upre	27
UPR_ER_STRESS	chop promoter	25
UPR_ER_STRESS	atf4 reporter	24
UPR_ER_STRESS	erse	20
UPR_ER_STRESS	erai	13
UPR_ER_STRESS	grp78-luciferase	12
UPR_ER_STRESS	grp78 promoter	6
UPR_ER_STRESS	bip promoter	5
UPR_ER_STRESS	chop reporter	1
OXIDATIVE_STRESS_ROS	mitosox	264
OXIDATIVE_STRESS_ROS	rogfp	162
OXIDATIVE_STRESS_ROS	h2dcfda	95
OXIDATIVE_STRESS_ROS	dcf	80
OXIDATIVE_STRESS_ROS	dhe	77
OXIDATIVE_STRESS_ROS	cellrox	46
OXIDATIVE_STRESS_ROS	amplex red	29
OXIDATIVE_STRESS_ROS	dihydroethidium	21
OXIDATIVE_STRESS_ROS	amplexred	3
APOPTOSIS_CASPASE	tunel	1395
APOPTOSIS_CASPASE	annexin v	775
APOPTOSIS_CASPASE	cleaved caspase	674
APOPTOSIS_CASPASE	devd	327
APOPTOSIS_CASPASE	caspase-3 activ	257
APOPTOSIS_CASPASE	parp cleav	149
APOPTOSIS_CASPASE	caspase-3 cleav	103
APOPTOSIS_CASPASE	caspase 3 activ	60
APOPTOSIS_CASPASE	caspase 3/7 activ	47
APOPTOSIS_CASPASE	caspase3 activ	44
APOPTOSIS_CASPASE	caspase-3/7 activ	42
APOPTOSIS_CASPASE	annexinv	33
APOPTOSIS_CASPASE	caspase 3 cleav	18
APOPTOSIS_CASPASE	caspase-3/7 assay	13
APOPTOSIS_CASPASE	"caspase-3 
activ"	9
APOPTOSIS_CASPASE	cellevent	6
APOPTOSIS_CASPASE	caspase-3 assay	6
APOPTOSIS_CASPASE	caspase 3/7 cleav	5
APOPTOSIS_CASPASE	caspase3 cleav	3
APOPTOSIS_CASPASE	"caspase-3 
cleav"	3
APOPTOSIS_CASPASE	"caspase 3 
activ"	3
APOPTOSIS_CASPASE	caspase 3/7 assay	3
APOPTOSIS_CASPASE	"caspase-3
cleav"	3
APOPTOSIS_CASPASE	"cleaved
caspase"	3
APOPTOSIS_CASPASE	caspase-3/7 cleav	1
APOPTOSIS_CASPASE	caspase 3 assay	1
APOPTOSIS_CASPASE	"caspase-3
  activ"	1
APOPTOSIS_CASPASE	"parp 
cleav"	1
APOPTOSIS_CASPASE	"caspase 3 
cleav"	1
AUTOPHAGY_FLUX	gfp-lc3	1910
AUTOPHAGY_FLUX	lc3-ii	1246
AUTOPHAGY_FLUX	autophagic flux	874
AUTOPHAGY_FLUX	autophagy flux	294
AUTOPHAGY_FLUX	lc3ii	201
AUTOPHAGY_FLUX	mcherry-gfp-lc3	124
AUTOPHAGY_FLUX	p62/sqstm1	121
AUTOPHAGY_FLUX	lc3 ii	81
AUTOPHAGY_FLUX	"autophagic 
flux"	4
AUTOPHAGY_FLUX	gfplc3	2
AUTOPHAGY_FLUX	autophagic flux	2
MITO_MEMBRANE_POTENTIAL	mitotracker	576
MITO_MEMBRANE_POTENTIAL	mitochondrial membrane potential	492
MITO_MEMBRANE_POTENTIAL	tmrm	234
MITO_MEMBRANE_POTENTIAL	jc-1	193
MITO_MEMBRANE_POTENTIAL	tmre	39
MITO_MEMBRANE_POTENTIAL	"mitochondrial membrane 
potential"	3
MITO_MEMBRANE_POTENTIAL	"mitochondrial 
membrane potential"	2
CALCIUM_FLUX	gcamp	151
CALCIUM_FLUX	fura-2	130
CALCIUM_FLUX	ca2+ imaging	116
CALCIUM_FLUX	ca2+ flux	114
CALCIUM_FLUX	ca2+ transient	108
CALCIUM_FLUX	fluo-4	37
CALCIUM_FLUX	fluo4	31
CALCIUM_FLUX	calcium imaging	26
CALCIUM_FLUX	fura2	11
CALCIUM_FLUX	ca2+ imaging	4
pH_PROBE	phluorin	46
pH_PROBE	phrodo	40
pH_PROBE	snarf	35
pH_PROBE	bcecf	9
IRON_PROBE	calcein-am	23
IRON_PROBE	labile iron	9
IRON_PROBE	calcein quench	9
TRANSCRIPTIONAL_REPORTER	luciferase reporter	2602
TRANSCRIPTIONAL_REPORTER	luciferase activity	2434
TRANSCRIPTIONAL_REPORTER	luciferase assay	1321
TRANSCRIPTIONAL_REPORTER	reporter assay	849
TRANSCRIPTIONAL_REPORTER	nf-κb reporter	122
TRANSCRIPTIONAL_REPORTER	promoter reporter	89
TRANSCRIPTIONAL_REPORTER	promoter-reporter	76
TRANSCRIPTIONAL_REPORTER	nf-κb luciferase	68
TRANSCRIPTIONAL_REPORTER	are-luciferase	54
TRANSCRIPTIONAL_REPORTER	sre luciferase	41
TRANSCRIPTIONAL_REPORTER	sre-luciferase	39
TRANSCRIPTIONAL_REPORTER	nf-κb-luciferase	29
TRANSCRIPTIONAL_REPORTER	sre reporter	27
TRANSCRIPTIONAL_REPORTER	cre reporter	21
TRANSCRIPTIONAL_REPORTER	"luciferase 
reporter"	8
TRANSCRIPTIONAL_REPORTER	nfκb luciferase	6
TRANSCRIPTIONAL_REPORTER	are reporter	6
TRANSCRIPTIONAL_REPORTER	"reporter 
assay"	4
TRANSCRIPTIONAL_REPORTER	"luciferase 
activity"	4
TRANSCRIPTIONAL_REPORTER	are-reporter	4
TRANSCRIPTIONAL_REPORTER	nf-kb luciferase	4
TRANSCRIPTIONAL_REPORTER	cre luciferase	3
TRANSCRIPTIONAL_REPORTER	nf-κb-reporter	3
TRANSCRIPTIONAL_REPORTER	nfκb reporter	3
TRANSCRIPTIONAL_REPORTER	cre-luciferase	3
TRANSCRIPTIONAL_REPORTER	"cre
reporter"	2
TRANSCRIPTIONAL_REPORTER	promoterreporter	2
TRANSCRIPTIONAL_REPORTER	luciferaseassay	2
TRANSCRIPTIONAL_REPORTER	"luciferase 
assay"	2
TRANSCRIPTIONAL_REPORTER	"luciferase
 reporter"	2
TRANSCRIPTIONAL_REPORTER	"are 
reporter"	1
TRANSCRIPTIONAL_REPORTER	"cre 
reporter"	1
VIABILITY_PROLIFERATION	edu	3799
VIABILITY_PROLIFERATION	brdu	1882
VIABILITY_PROLIFERATION	mtt	823
VIABILITY_PROLIFERATION	ki67	808
VIABILITY_PROLIFERATION	colony formation	725
VIABILITY_PROLIFERATION	cell viability assay	327
VIABILITY_PROLIFERATION	ki-67	251
VIABILITY_PROLIFERATION	cck-8	206
VIABILITY_PROLIFERATION	mts assay	119
VIABILITY_PROLIFERATION	resazurin	100
VIABILITY_PROLIFERATION	alamar blue	78
VIABILITY_PROLIFERATION	cck8	74
VIABILITY_PROLIFERATION	alamarblue	62
VIABILITY_PROLIFERATION	mts reagent	9
VIABILITY_PROLIFERATION	"colony 
formation"	2
VIABILITY_PROLIFERATION	"cell viability 
assay"	1
CELL_MIGRATION_INVASION	transwell	748
CELL_MIGRATION_INVASION	migration assay	370
CELL_MIGRATION_INVASION	invasion assay	305
CELL_MIGRATION_INVASION	boyden chamber	194
CELL_MIGRATION_INVASION	matrigel invasion	178
CELL_MIGRATION_INVASION	wound healing assay	112
CELL_MIGRATION_INVASION	scratch wound	69
CELL_MIGRATION_INVASION	wound-healing assay	57
CELL_MIGRATION_INVASION	scratch assay	29
CELL_MIGRATION_INVASION	scratch-wound	27
CELL_MIGRATION_INVASION	transwell migration	4
CELL_MIGRATION_INVASION	"boyden 
chamber"	1
CELL_MIGRATION_INVASION	"wound-healing 
assay"	1
CELL_ADHESION_SPREADING	adhesion assay	57
CELL_ADHESION_SPREADING	spreading assay	35
CELL_ADHESION_SPREADING	cell adhesion assay	29
CELL_ADHESION_SPREADING	cell attachment assay	4
CELL_ADHESION_SPREADING	cell spreading assay	3
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	fm4-64	199
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	transferrin uptake	95
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	internalization assay	60
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	labeled ldl	60
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	dii-ldl	50
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	dextran uptake	34
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	endocytosis assay	30
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	transferrin internaliz	12
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	transferrin-alexa	9
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	fm1-43	7
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	fm 4-64	6
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	dil-ldl	3
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	labelled ldl	3
SECRETION_DEGRANULATION	ldh release	147
