tier	priority	discriminator	reason	organism	gene	pmid	go_id	go_label	aspect	action	readout_class
1	27		regulatory MF term from TRANSCRIPTIONAL_REPORTER; a reporter/state readout alone does not establish molecular activity -- verify direct (e.g. DNA-binding) evidence	mouse	Ctnnb1	12235125	GO:0003713	transcription coactivator activity	MF	ACCEPT	TRANSCRIPTIONAL_REPORTER
1	27		regulatory MF term from TRANSCRIPTIONAL_REPORTER; a reporter/state readout alone does not establish molecular activity -- verify direct (e.g. DNA-binding) evidence	human	HMGB1	19223331	GO:0003713	transcription coactivator activity	MF	ACCEPT	TRANSCRIPTIONAL_REPORTER
1	27		regulatory MF term from TRANSCRIPTIONAL_REPORTER; a reporter/state readout alone does not establish molecular activity -- verify direct (e.g. DNA-binding) evidence	human	NOTCH1	18239137	GO:0003713	transcription coactivator activity	MF	ACCEPT	TRANSCRIPTIONAL_REPORTER
1	27		regulatory MF term from TRANSCRIPTIONAL_REPORTER; a reporter/state readout alone does not establish molecular activity -- verify direct (e.g. DNA-binding) evidence	mouse	Notch1	17336907	GO:0003713	transcription coactivator activity	MF	ACCEPT	TRANSCRIPTIONAL_REPORTER
1	27		regulatory MF term from TRANSCRIPTIONAL_REPORTER; a reporter/state readout alone does not establish molecular activity -- verify direct (e.g. DNA-binding) evidence	human	SIRT1	20955178	GO:0003714	transcription corepressor activity	MF	ACCEPT	TRANSCRIPTIONAL_REPORTER
2	78	indirect_ligand	ACCEPT BP call aligned to VIABILITY_PROLIFERATION; rubric default is non-core unless gene is in the machinery	human	VEGFA	20497126	GO:0001938	positive regulation of endothelial cell proliferation	BP	ACCEPT	VIABILITY_PROLIFERATION
2	50	indirect_ligand	ACCEPT BP call aligned to PHAGOCYTOSIS; rubric default is non-core unless gene is in the machinery	human	HMGB1	20826760	GO:2000426	negative regulation of apoptotic cell clearance	BP	ACCEPT	PHAGOCYTOSIS
2	50	indirect_ligand	ACCEPT BP call aligned to PHAGOCYTOSIS; rubric default is non-core unless gene is in the machinery	human	HMGB1	18768881	GO:0043277	apoptotic cell clearance	BP	ACCEPT	PHAGOCYTOSIS
2	48	indirect_ligand	ACCEPT BP call aligned to CELL_MIGRATION_INVASION; rubric default is non-core unless gene is in the machinery	human	CCL11	33846499	GO:0060326	cell chemotaxis	BP	ACCEPT	CELL_MIGRATION_INVASION
2	48	indirect_ligand	ACCEPT BP call aligned to CELL_MIGRATION_INVASION; rubric default is non-core unless gene is in the machinery	human	CCL11	19525930	GO:0030335	positive regulation of cell migration	BP	ACCEPT	CELL_MIGRATION_INVASION
