readout_class	reports_state_of	proximity	convergence	aligned_n	MF	BP	CC	pct_MF	dominant_aspect	licenses	default_core
CHROMATIN_CHIP	direct DNA / chromatin binding (ChIP / EMSA)	molecular	low	136	136	0	0	100	MF	MF (direct activity)	core-capable
KINASE_ACTIVITY_ASSAY	protein kinase catalytic activity (in vitro)	molecular	low	120	106	10	4	88	MF	MF (direct activity)	core-capable
CHAPERONE_REFOLDING	chaperone holdase / foldase (refolding, aggregation prevention)	molecular	low	78	49	28	1	63	MF	MF (direct activity)	core-capable
ACETYLTRANSFERASE_DEACETYLASE	acetyltransferase (HAT) / deacetylase (HDAC) activity (in vitro)	molecular	low	77	59	11	7	77	MF	MF (direct activity)	core-capable
GTPASE_ACTIVITY	GTPase / GAP / GEF activity	molecular	low	64	55	8	0	86	MF	MF (direct activity)	core-capable
UBIQUITINATION_ASSAY	ubiquitin (-like) ligase / conjugation activity (in vitro)	molecular	low	64	39	1	24	61	MF	MF (direct activity)	core-capable
PROTEASOME_ACTIVITY	proteasome catalytic (chymotrypsin-like) activity	molecular	low	43	1	30	12	2	BP	MF (direct activity)	core-capable
ELECTROPHYSIOLOGY	ion channel / transporter activity (direct electrophysiology)	molecular	low	29	18	9	1	62	MF	MF (direct activity)	core-capable
NUCLEASE_ACTIVITY	nuclease catalytic activity (in vitro)	molecular	low	22	20	1	0	91	MF	MF (direct activity)	core-capable
PROTEASE_ACTIVITY	peptidase / protease catalytic activity (in vitro)	molecular	low	21	15	5	0	71	MF	MF (direct activity)	core-capable
POLYMERASE_ACTIVITY	DNA/RNA polymerase / nucleotidyltransferase activity (in vitro)	molecular	low	18	15	2	1	83	MF	MF (direct activity)	core-capable
METHYLTRANSFERASE_ACTIVITY	methyltransferase catalytic activity (in vitro)	molecular	low	15	7	7	0	47	MF	MF (direct activity)	core-capable
GLYCOSYLTRANSFERASE_ACTIVITY	glycosyltransferase / glycan-synthesis activity (in vitro)	molecular	low	13	12	0	1	92	MF	MF (direct activity)	core-capable
PHOSPHATASE_ACTIVITY	phosphatase catalytic activity (in vitro)	molecular	low	9	8	1	0	89	MF	MF (direct activity)	core-capable
