organism	gene	uniprot	go_id	go_label	evidence_type	negated	action	readout_class	proximity	convergence	matched	snippet	file
9ARCH	ureC1	A0A060HK93	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	IEA	False	KEEP_AS_NON_CORE	IN_VITRO_ENZYME	molecular	low	specific activity	s technically consistent with urease chemistry, but GO:0009039 is the supported specific activity. RecName: Full=Urease subunit alpha; EC=3.5.1.5.	genes/9ARCH/ureC1/ureC1-ai-review.yaml
9BACT	HgcA	F0JBF0	GO:0016020	membrane	IEA	False	ACCEPT	METHYLTRANSFERASE_ACTIVITY	molecular	low	methyltransferase activity	owever, membrane localization alone does not capture the protein's core mercury methyltransferase activity or its environmental significance. While general, the annotation is accurate ba	genes/9BACT/HgcA/HgcA-ai-review.yaml
9BACT	HgcA	F0JBF0	GO:0031419	cobalamin binding	IEA	False	NEW	METHYLTRANSFERASE_ACTIVITY	molecular	low	methyltransferase activity	rinoid-binding domain that binds cobalamin (vitamin B12) cofactor essential for methyltransferase activity. This molecular function term reflects HgcA's essential cobalamin binding capab	genes/9BACT/HgcA/HgcA-ai-review.yaml
9CAUD	darB	Q9XJG2	GO:0008168	methyltransferase activity	IEA	False	MODIFY	METHYLTRANSFERASE_ACTIVITY	molecular	low	methyltransferase activity	ro domain IPR011639 (Type II methyltransferase M.TaqI-like domain) indicate DNA methyltransferase activity	genes/9CAUD/darB/darB-ai-review.yaml
9CAUD	I7J3R9	I7J3R9	GO:0003677	DNA binding	IEA	False	REMOVE	POLYMERASE_ACTIVITY	molecular	low	polymerase activity	apture the specific catalytic function. The more specific term DNA-directed DNA polymerase activity (GO:0003887) already implies DNA binding and better represents the molecular fu	genes/9CAUD/g022/g022-ai-review.yaml
9CAUD	I7J3R9	I7J3R9	GO:0003887	DNA-directed DNA polymerase activity	IEA	False	ACCEPT	POLYMERASE_ACTIVITY	molecular	low	polymerase activity	ified as the core function. EC 2.7.7.7 directly corresponds to DNA-directed DNA polymerase activity. UniProt domain annotation (residues 483-738) and InterPro family classificatio	genes/9CAUD/g022/g022-ai-review.yaml
9CAUD	I7J3R9	I7J3R9	GO:0016740	transferase activity	IEA	False	REMOVE	POLYMERASE_ACTIVITY	molecular	low	polymerase activity	"eral. DNA polymerases are transferases, but the specific term ""DNA-directed DNA polymerase activity"" (GO:0003887) already encompasses this and is more informative. Correctly ident"	genes/9CAUD/g022/g022-ai-review.yaml
9CAUD	I7J3R9	I7J3R9	GO:0016779	nucleotidyltransferase activity	IEA	False	REMOVE	POLYMERASE_ACTIVITY	molecular	low	polymerase activity	"ases are nucleotidyltransferases), this is less specific than ""DNA-directed DNA polymerase activity"" (GO:0003887) which better describes the molecular function. Correctly identifi"	genes/9CAUD/g022/g022-ai-review.yaml
9CAUD	I7J3R9	I7J3R9	GO:0008296	3'-5'-DNA exonuclease activity	IEA	False	NEW	NUCLEASE_ACTIVITY	molecular	low	exonuclease activity	t should be present. Family A DNA polymerases typically possess intrinsic 3'-5' exonuclease activity for proofreading during DNA synthesis. This is a key missing annotation. As a f	genes/9CAUD/g022/g022-ai-review.yaml
9POAL	NCGR_LOCUS27674	A0A811PC48	GO:0019205	nucleobase-containing compound kinase activity	IEA	False	ACCEPT	IN_VITRO_ENZYME	molecular	low	Km	specific than GO:0033862/GO:0036430/GO:0036431, it is not incorrect. both UMP (Km = 153 microM) and CMP (Km = 266 microM) were equally acceptable as the phosphat	genes/9POAL/NCGR_LOCUS27674/NCGR_LOCUS27674-ai-review.yaml
9POAL	NCGR_LOCUS27674	A0A811PC48	GO:0036431	CMP kinase activity	IEA	False	ACCEPT	IN_VITRO_ENZYME	molecular	low	Km	as phosphate acceptors [PMID:9576794]. Reaction=CMP + ATP = CDP + ADP both UMP (Km = 153 microM) and CMP (Km = 266 microM) were equally acceptable as the phosphat	genes/9POAL/NCGR_LOCUS27674/NCGR_LOCUS27674-ai-review.yaml
9POAL	rbcL	P0C512	GO:0019253	reductive pentose-phosphate cycle	IEA	False	ACCEPT	DIRECT_BINDING	molecular	low	Crystal structure	"-bisphosphate, the primary event in carbon dioxide fixation"" (P0C512 FUNCTION). Crystal structure of rice RuBisCO confirms the active site architecture for this reaction (PMID:2"	genes/9POAL/rbcL/rbcL-ai-review.yaml
