readout_class	matched_string	count
UPR_ER_STRESS	grp78 promoter	12
UPR_ER_STRESS	xbp1s	8
UPR_ER_STRESS	chop promoter	3
UPR_ER_STRESS	erse	2
UPR_ER_STRESS	upre	2
UPR_ER_STRESS	bip promoter	1
UPR_ER_STRESS	xbp1 splic	1
UPR_ER_STRESS	erai	1
APOPTOSIS_CASPASE	caspase-3 activ	23
APOPTOSIS_CASPASE	caspase-3 cleav	14
APOPTOSIS_CASPASE	caspase 3 activ	2
APOPTOSIS_CASPASE	cleaved caspase	1
APOPTOSIS_CASPASE	caspase-3/7 activ	1
AUTOPHAGY_FLUX	autophagic flux	27
AUTOPHAGY_FLUX	p62/sqstm1	17
AUTOPHAGY_FLUX	autophagy flux	5
AUTOPHAGY_FLUX	lc3-ii	4
MITO_MEMBRANE_POTENTIAL	mitochondrial membrane potential	18
MITO_MEMBRANE_POTENTIAL	mitotracker	5
MITO_MEMBRANE_POTENTIAL	tmre	1
CALCIUM_FLUX	ca2+ flux	4
CALCIUM_FLUX	ca2+ transient	1
CALCIUM_FLUX	ca2+ imaging	1
CALCIUM_FLUX	calcium imaging	1
pH_PROBE	phluorin	1
IRON_PROBE	labile iron	6
TRANSCRIPTIONAL_REPORTER	reporter assay	31
TRANSCRIPTIONAL_REPORTER	luciferase reporter	17
TRANSCRIPTIONAL_REPORTER	luciferase activity	8
TRANSCRIPTIONAL_REPORTER	luciferase assay	3
TRANSCRIPTIONAL_REPORTER	sre reporter	1
VIABILITY_PROLIFERATION	colony formation	2
VIABILITY_PROLIFERATION	brdu	2
VIABILITY_PROLIFERATION	ki67	1
VIABILITY_PROLIFERATION	mtt	1
VIABILITY_PROLIFERATION	ki-67	1
IN_VITRO_ENZYME	reconstitut	149
IN_VITRO_ENZYME	specific activity	107
IN_VITRO_ENZYME	km	77
IN_VITRO_ENZYME	enzymatic assay	48
IN_VITRO_ENZYME	kcat	31
IN_VITRO_ENZYME	in vitro assay	27
IN_VITRO_ENZYME	purified protein	23
IN_VITRO_ENZYME	in vitro reconstitut	19
IN_VITRO_ENZYME	purified recombinant protein	8
IN_VITRO_ENZYME	in vitro enzym	7
IN_VITRO_ENZYME	in vitro activ	7
IN_VITRO_ENZYME	"specific
activity"	1
IN_VITRO_ENZYME	"purified
protein"	1
DIRECT_BINDING	crystal structure	590
DIRECT_BINDING	cryo-em	328
DIRECT_BINDING	spr	47
DIRECT_BINDING	surface plasmon	12
DIRECT_BINDING	itc	10
DIRECT_BINDING	cryoem	6
DIRECT_BINDING	isothermal titration	5
DIRECT_BINDING	co-crystal	3
DIRECT_BINDING	cocrystal	1
