readout_class	proximity	convergence	total	reviewed	ACCEPT	KEEP_AS_NON_CORE	MODIFY	MARK_AS_OVER_ANNOTATED	REMOVE	UNDECIDED	NEW	PENDING	pct_removed_or_overann	pct_any_downgrade
UPR_ER_STRESS	phenotypic	high	19	19	9	5	0	2	0	0	3	0	11%	37%
OXIDATIVE_STRESS_ROS	phenotypic	high	10	10	3	4	0	3	0	0	0	0	30%	70%
APOPTOSIS_CASPASE	phenotypic	high	72	67	27	35	1	3	0	1	1	4	4%	58%
AUTOPHAGY_FLUX	phenotypic	high	126	126	82	20	4	6	0	0	14	0	5%	24%
MITO_MEMBRANE_POTENTIAL	phenotypic	high	172	172	102	23	9	31	3	0	4	0	20%	38%
CALCIUM_FLUX	phenotypic	high	22	22	9	8	0	3	1	0	1	0	18%	55%
IRON_PROBE	phenotypic	high	4	4	3	1	0	0	0	0	0	0	0%	25%
TRANSCRIPTIONAL_REPORTER	phenotypic	high	216	215	152	38	7	10	4	1	4	0	7%	27%
VIABILITY_PROLIFERATION	phenotypic	high	91	90	18	61	1	7	1	1	2	0	9%	78%
CELL_MIGRATION_INVASION	phenotypic	high	37	33	17	16	0	0	0	4	0	0	0%	48%
CELL_ADHESION_SPREADING	phenotypic	high	4	4	3	1	0	0	0	0	0	0	0%	25%
MEMBRANE_TRAFFICKING_ENDOCYTOSIS	phenotypic	high	14	14	7	7	0	0	0	0	0	0	0%	50%
SECRETION_DEGRANULATION	phenotypic	high	2	1	0	1	0	0	0	1	0	0	0%	100%
METABOLIC_FLUX	phenotypic	high	3	3	0	3	0	0	0	0	0	0	0%	100%
DNA_DAMAGE_FOCI	phenotypic	high	36	36	21	6	2	5	0	0	2	0	14%	36%
SENESCENCE	phenotypic	high	9	9	3	6	0	0	0	0	0	0	0%	67%
WNT_REPORTER	phenotypic	high	17	17	9	8	0	0	0	0	0	0	0%	47%
NFKB_REPORTER	phenotypic	high	7	6	2	4	0	0	0	1	0	0	0%	67%
HYPOXIA_HIF	phenotypic	high	2	2	2	0	0	0	0	0	0	0	0%	0%
CELL_DIFFERENTIATION	phenotypic	high	19	19	4	13	0	2	0	0	0	0	11%	79%
ANGIOGENESIS_TUBE	phenotypic	high	22	19	13	5	0	1	0	3	0	0	5%	32%
PHAGOCYTOSIS	phenotypic	high	6	6	3	3	0	0	0	0	0	0	0%	50%
CELL_CYCLE_FLOW	phenotypic	high	17	17	6	5	3	1	0	0	2	0	6%	53%
BARRIER_PERMEABILITY	phenotypic	high	5	5	5	0	0	0	0	0	0	0	0%	0%
PROTEIN_TURNOVER	phenotypic	high	29	29	17	8	2	0	1	0	1	0	3%	38%
REDOX_BALANCE	phenotypic	high	1	1	1	0	0	0	0	0	0	0	0%	0%
LIPID_PEROXIDATION	phenotypic	high	12	12	11	0	0	0	0	0	1	0	0%	0%
TRANSLATION_ASSAY	phenotypic	high	14	14	8	1	1	0	1	0	3	0	7%	21%
ELECTROPHYSIOLOGY	molecular	low	29	28	22	2	2	1	0	1	1	0	4%	18%
KINASE_ACTIVITY_ASSAY	molecular	low	120	118	91	13	5	7	0	2	2	0	6%	21%
GTPASE_ACTIVITY	molecular	low	64	62	54	3	1	0	0	2	4	0	0%	6%
UBIQUITINATION_ASSAY	molecular	low	64	64	51	9	1	0	0	0	3	0	0%	16%
CHROMATIN_CHIP	molecular	low	136	135	119	5	6	1	2	1	2	0	2%	10%
PROTEASE_ACTIVITY	molecular	low	21	20	14	2	2	0	0	1	2	0	0%	20%
NUCLEASE_ACTIVITY	molecular	low	22	22	15	4	1	0	1	0	1	0	5%	27%
LIPID_TRANSFER_FLIPPASE	molecular	low	7	7	6	0	0	0	0	0	1	0	0%	0%
PROTEASOME_ACTIVITY	molecular	low	43	43	25	14	0	4	0	0	0	0	9%	42%
