readout_class	proximity	convergence	total	reviewed	ACCEPT	KEEP_AS_NON_CORE	MODIFY	MARK_AS_OVER_ANNOTATED	REMOVE	UNDECIDED	NEW	PENDING	pct_removed_or_overann	pct_any_downgrade
UPR_ER_STRESS	phenotypic	high	108	106	67	19	2	8	6	1	4	1	13%	33%
OXIDATIVE_STRESS_ROS	phenotypic	high	134	130	55	41	7	21	3	1	3	3	18%	55%
APOPTOSIS_CASPASE	phenotypic	high	710	651	241	221	27	83	70	19	9	40	24%	62%
AUTOPHAGY_FLUX	phenotypic	high	567	551	291	90	26	83	44	5	17	11	23%	44%
MITO_MEMBRANE_POTENTIAL	phenotypic	high	443	430	219	74	20	72	29	6	16	7	23%	45%
CALCIUM_FLUX	phenotypic	high	127	124	51	29	9	24	5	1	6	2	23%	54%
pH_PROBE	phenotypic	high	47	47	9	33	1	3	1	0	0	0	9%	81%
IRON_PROBE	phenotypic	high	25	25	12	5	3	5	0	0	0	0	20%	52%
TRANSCRIPTIONAL_REPORTER	phenotypic	high	1596	1513	637	300	76	261	211	26	28	57	31%	56%
VIABILITY_PROLIFERATION	phenotypic	high	5812	5629	2141	1055	263	1233	771	67	166	116	36%	59%
IN_VITRO_ENZYME	molecular	low	4272	4149	1991	627	267	711	397	35	156	88	27%	48%
DIRECT_BINDING	molecular	low	2841	2752	1319	302	246	481	264	15	140	74	27%	47%
