GO_ID,Term,Aspect,Current_evidence,Curation_lead,Rationale,Flag
GO:0004180,carboxypeptidase activity,MF,IBA,RETAIN,Core catalytic function; supported by CPS-S signatures,
GO:0004181,metallocarboxypeptidase activity,MF,ISO,RETAIN (primary MF),IPR017141 CPS-S -> GO:0004181; conserved Zn site,
GO:0000324,fungal-type vacuole,CC,HDA:PomBase,RETAIN,Direct high-throughput localization,
GO:0000328,fungal-type vacuole lumen,CC,IBA,RETAIN,Consistent w/ type II lumenal topology,
GO:0005774,vacuolar membrane,CC,IEA-SubCell,RETAIN,Type II membrane anchor (TM 38-58),
GO:0007039,protein catabolic process in vacuole,BP,TAS:PomBase,RETAIN,Curated BP,
GO:0006520,amino acid metabolic process,BP,IEA-ARBA,RETAIN (generalize ok),Consistent w/ peptide->aa recycling,
GO:0005576,extracellular region,CC,IEA:UniProtKB-ARBA,REMOVE / NOT,Family-name transfer; conflicts w/ HDA vacuole + lumenal topology,OVER-ANNOTATION
GO:0006629,lipid metabolic process,BP,IEA:UniProtKB-ARBA,REMOVE / non-core,PM20D1 carry-over; no fungal lipid evidence,OVER-ANNOTATION
GO:0016810,hydrolase acting on C-N (non-peptide) bonds,MF,IEA:UniProtKB-ARBA,REMOVE / non-core,N-acyl-aa-hydrolase flavor; electronic only,OVER-ANNOTATION
GO:1990845,adaptive thermogenesis,BP,(absent),DO NOT ADD,No annotation; inapplicable to unicellular fungus,REFUTED
