cohort,role,accession,species,gene_symbol,gene_review,cohort_source,uniprot_panther,member_index_panther,resolved_accession,families,mapping_status,roles,family_reviews,gene_context_family,curation_status,unassigned_assessment
ARGO50,prediction_target,A0A3B6GK97,WHEAT,A0A3B6GK97,genes/WHEAT/A0A3B6GK97/A0A3B6GK97-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR32176:SF103;PTHR32176,,A0A3B6GK97,PTHR32176,MAPPED,prediction_target,interpro/panther/PTHR32176/PTHR32176-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,A0A3B6RKV1,WHEAT,A0A3B6RKV1,genes/WHEAT/A0A3B6RKV1/A0A3B6RKV1-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR12480;PTHR12480:SF21,,A0A3B6RKV1,PTHR12480,MAPPED,prediction_target,interpro/panther/PTHR12480/PTHR12480-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,F4JLB7,ARATH,F4JLB7,genes/ARATH/F4JLB7/F4JLB7-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR48004;PTHR48004:SF58,,F4JLB7,PTHR48004,MAPPED,prediction_target,interpro/panther/PTHR48004/PTHR48004-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,F6LAX4,WHEAT,F6LAX4,genes/WHEAT/F6LAX4/F6LAX4-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR10648:SF4;PTHR10648,,F6LAX4,PTHR10648,MAPPED,prediction_target,interpro/panther/PTHR10648/PTHR10648-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,Q9KZ33,STRCO,Q9KZ33,genes/STRCO/Q9KZ33/Q9KZ33-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR30173:SF43;PTHR30173,,Q9KZ33,PTHR30173,MAPPED,prediction_target,interpro/panther/PTHR30173/PTHR30173-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,G1TUN6,RABIT,G1TUN6,genes/RABIT/G1TUN6/G1TUN6-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR24067,,G1TUN6,PTHR24067,MAPPED,prediction_target,interpro/panther/PTHR24067/PTHR24067-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,E1BL04,BOVIN,E1BL04,genes/BOVIN/E1BL04/E1BL04-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR22591;PTHR22591:SF1,,E1BL04,PTHR22591,MAPPED,prediction_target,interpro/panther/PTHR22591/PTHR22591-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,A0A8C9H4D2,9PRIM,A0A8C9H4D2,genes/9PRIM/A0A8C9H4D2/A0A8C9H4D2-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR23192:SF29;PTHR23192,,A0A8C9H4D2,PTHR23192,MAPPED,prediction_target,interpro/panther/PTHR23192/PTHR23192-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,A0A8I3PI07,CANLF,A0A8I3PI07,genes/CANLF/A0A8I3PI07/A0A8I3PI07-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR12064;PTHR12064:SF26,,A0A8I3PI07,PTHR12064,MAPPED,prediction_target,interpro/panther/PTHR12064/PTHR12064-review.yaml,,FAMILY_BOUNDARY_REVIEW,
ARGO50,prediction_target,A0A2R9CAF4,PANPA,A0A2R9CAF4,genes/PANPA/A0A2R9CAF4/A0A2R9CAF4-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv,PTHR11814,,A0A2R9CAF4,PTHR11814,MAPPED,prediction_target,interpro/panther/PTHR11814/PTHR11814-review.yaml,,FAMILY_BOUNDARY_REVIEW,
