reference	pct_identity	pct_query_coverage	aligned_cols
At_pPLAIIa_PLP2|O48723	50.5	98.3	297
Os_PLP1|Q84QY3	50.0	98.7	298
Os_PLP2|Q6ZJD3	46.8	98.3	297
At_pPLAIIb_PLP3|O23181	46.0	98.7	298
At_pPLAIId_PLP5|O23180	45.6	98.7	298
At_pPLAIIe_PLP4|Q9FIY1	43.5	96.7	292
At_pPLAIIg_PLP1|O23179	42.6	98.7	298
St_patatin_T5|P15478	36.9	90.7	274
At_pPLAIIId_PLP9|Q93ZQ3	23.9	84.4	255
At_pPLAIIIa_PLP6|O80959	23.7	92.4	279
At_pPLAIIIb_PLP7|Q9SV43	22.7	92.1	278
At_pPLAIIIg_PLP8|Q8H133	22.4	93.0	281
At_pPLAI_PLA1|F4HX15	15.8	88.1	266
