citation,evidence_type,stance,claim_tested,key_finding,context,confidence_limitations
UniProt O74763,computational/database,qualifies,Family assignment,InterPro IPR045159 'DCAF7-like'; WD40 repeats; uncharacterized,S. pombe record,High for family; family != function
PomBase SPBC17D11.08,database/curation,qualifies,GO & product,"Only CC: GO:0080008 Cul4-RING complex (ISS,GO_REF:0000024) + nucleus (IBA); product 'implicated in gene expression'; deletion viable",S. pombe,Term under review is orthology-transfer; no direct assay
PomBase ortholog table,structural/evolutionary,qualifies,Orthology,Human ortholog DCAF7/WDR68 (HGNC:30915); Sc YPL247C; Sj SJAG_04087,cross-species,High
Motif scan (this study),computational,refutes,DDB1-binding capacity,0 WDxR motifs in 435 aa (WD only at 194 and 344),sequence-level,Medium; some DCAFs lack WDxR
AlphaFold AF-O74763 (this study),computational/structural,qualifies,Fold,Confident WD40 beta-propeller: core res80-345 mean pLDDT 89.5; flexible low-confidence termini,structure prediction,Consistent with WDR68 7-blade propeller; model not experimental
BioGRID via PomBase,interaction,refutes,CRL4 assembly in vivo,No interaction with Pcu4/Ddb1/Rik1/Cdt2; partners = Fft3 remodeller + Ppk15 kinase,S. pombe,Interactome incompleteness
PMID:16949367,direct assay/structural,qualifies(criterion),What defines a WD40 DCAF,WD40-DDB1 binding requires conserved WDXR motif; DCAF family defined by DDB1/CUL4 co-purification,human/Xenopus,High for criterion
PMID:20940704,direct assay/mutant,competing,Ortholog core function,Han11 = scaffold coordinating HIPK2/DYRK1/MEKK1 kinases; C.elegans Swan-1/2,human/C. elegans,High for ortholog
PMID:27307198,direct assay,competing,Ortholog core function,DCAF7 has no catalytic activity; adaptor/substrate-recruiting subunit of DYRK1A and HIPK2,human,High
PMID:21777625,interaction/localization,competing,Ortholog core function,WDR68 binds DYRK1A N-term; controls DYRK1A nuclear translocation,mammalian cells,High
PMID:30496304,mutant phenotype,competing,Ortholog core function,WDR68 required for normal DYRK1A/1B protein levels (not via proteasome/mRNA),mouse/human cells,High
PMID:25342745,direct assay,qualifies(balance),CUL4-DDB1 association,WDR68 binds DYRK1A MEKK1 AND CUL4-DDB1; forms 7-blade beta-propeller,human cells,Documents CRL4 association but not receptor function
PMID:22319459,direct assay/mutant,qualifies(contrast),Bona fide pombe DCAF,Genuine pombe DCAF Raf1 uses WDxR to be substrate receptor for Cul4-Rik1 CLRC,S. pombe,Positive contrast case
Ppk15 GO (PomBase),interaction/computational,competing,Kinase-scaffold model in pombe,Dca7 kinase partner Ppk15 has BOTH Ser/Thr(GO:0004674)+Tyr(GO:0004713) activity = DYRK signature,S. pombe,Two-hybrid; single study
