section	key	value	count
totals	annotations		192
totals	genes		165
outcome	changed		78
outcome	retained		114
transition	REMOVE	REMOVE	76
transition	MARK_AS_OVER_ANNOTATED	MARK_AS_OVER_ANNOTATED	38
transition	MARK_AS_OVER_ANNOTATED	ACCEPT	30
transition	MARK_AS_OVER_ANNOTATED	KEEP_AS_NON_CORE	25
transition	REMOVE	MARK_AS_OVER_ANNOTATED	7
transition	MARK_AS_OVER_ANNOTATED	MODIFY	6
transition	REMOVE	UNDECIDED	4
transition	REMOVE	MODIFY	3
transition	REMOVE	KEEP_AS_NON_CORE	2
transition	REMOVE	ACCEPT	1
relaxed_term	GO:0005829	cytosol	16
relaxed_term	GO:0005737	cytoplasm	8
relaxed_term	GO:0003954	NADH dehydrogenase activity	6
relaxed_term	GO:0042802	identical protein binding	4
relaxed_term	GO:0036094	small molecule binding	2
relaxed_term	GO:0071978	bacterial-type flagellum-dependent swarming motility	2
relaxed_term	GO:0015031	protein transport	2
relaxed_term	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	1
relaxed_term	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	1
relaxed_term	GO:0003677	DNA binding	1
relaxed_term	GO:0033554	cellular response to stress	1
relaxed_term	GO:0042578	phosphoric ester hydrolase activity	1
relaxed_term	GO:0009329	acetate CoA-transferase complex	1
relaxed_term	GO:0019380	3-phenylpropionate catabolic process	1
relaxed_term	GO:0016491	oxidoreductase activity	1
relaxed_term	GO:0016744	transketolase or transaldolase activity	1
relaxed_term	GO:0016879	ligase activity, forming carbon-nitrogen bonds	1
relaxed_term	GO:0019239	deaminase activity	1
relaxed_term	GO:0046098	guanine metabolic process	1
relaxed_term	GO:0022857	transmembrane transporter activity	1
