rule_id,rule_type,go_id,go_label,condition_set_count
ARBA00026249,arba,GO:0004791,thioredoxin-disulfide reductase (NADPH) activity,3
ARBA00026250,arba,GO:0004794,threonine deaminase activity,5
ARBA00026251,arba,GO:0036388,pre-replicative complex assembly,2
ARBA00026252,arba,GO:0006970,response to osmotic stress,46
ARBA00026253,arba,GO:0016776,"phosphotransferase activity, phosphate group as acceptor",20
ARBA00026254,arba,GO:0031932,TORC2 complex,6
ARBA00026255,arba,GO:0016775,"phosphotransferase activity, nitrogenous group as acceptor",18
ARBA00026256,arba,GO:0030600,feruloyl esterase activity,2
ARBA00026257,arba,GO:0031931,TORC1 complex,5
ARBA00026258,arba,GO:0016779,nucleotidyltransferase activity,74
ARBA00026259,arba,GO:0018958,phenol-containing compound metabolic process,33
ARBA00026260,arba,GO:0098636,protein complex involved in cell adhesion,13
ARBA00026261,arba,GO:0016772,"transferase activity, transferring phosphorus-containing groups",472
ARBA00026262,arba,GO:0072488,ammonium transmembrane transport,5
ARBA00026263,arba,GO:0150063,visual system development,50
ARBA00026264,arba,GO:0016774,"phosphotransferase activity, carboxyl group as acceptor",9
ARBA00026265,arba,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",344
ARBA00026266,arba,GO:0051540,metal cluster binding,14
ARBA00026267,arba,GO:0004312,fatty acid synthase activity,1
ARBA00026268,arba,GO:0036387,pre-replicative complex,4
ARBA00026269,arba,GO:0072001,renal system development,29
ARBA00026270,arba,GO:0005643,nuclear pore,21
ARBA00026271,arba,GO:0006974,DNA damage response,208
ARBA00026272,arba,GO:0004318,enoyl-[acyl-carrier-protein] reductase (NADH) activity,3
ARBA00026273,arba,GO:0006979,response to oxidative stress,80
ARBA00026274,arba,GO:1903789,regulation of amino acid transmembrane transport,1
ARBA00026275,arba,GO:2000026,regulation of multicellular organismal development,98
ARBA00026276,arba,GO:0016787,hydrolase activity,815
ARBA00026277,arba,GO:0016788,"hydrolase activity, acting on ester bonds",316
ARBA00026278,arba,GO:0106354,tRNA surveillance,2
ARBA00026279,arba,GO:0023061,signal release,11
ARBA00026280,arba,GO:0015459,potassium channel regulator activity,9
ARBA00026281,arba,GO:0016780,"phosphotransferase activity, for other substituted phosphate groups",18
ARBA00026282,arba,GO:0070298,negative regulation of phosphorelay signal transduction system,4
ARBA00026283,arba,GO:0016782,"transferase activity, transferring sulphur-containing groups",25
ARBA00026284,arba,GO:0080090,regulation of primary metabolic process,875
ARBA00026285,arba,GO:0016301,kinase activity,376
ARBA00026286,arba,GO:0005657,replication fork,21
ARBA00026287,arba,GO:0043933,protein-containing complex organization,112
ARBA00026288,arba,GO:0043934,sporulation,15
ARBA00026289,arba,GO:0005656,nuclear pre-replicative complex,4
ARBA00026290,arba,GO:0005654,nucleoplasm,249
ARBA00026291,arba,GO:0006508,proteolysis,184
ARBA00026292,arba,GO:0070297,regulation of phosphorelay signal transduction system,5
ARBA00026293,arba,GO:0006506,GPI anchor biosynthetic process,5
ARBA00026294,arba,GO:0006505,GPI anchor metabolic process,8
ARBA00026295,arba,GO:1901136,carbohydrate derivative catabolic process,52
ARBA00026296,arba,GO:2000036,regulation of stem cell population maintenance,5
ARBA00026297,arba,GO:1901135,carbohydrate derivative metabolic process,287
ARBA00026298,arba,GO:1903311,regulation of mRNA metabolic process,54
ARBA00026299,arba,GO:0004772,sterol O-acyltransferase activity,1
ARBA00026300,arba,GO:0006950,response to stress,693
ARBA00026301,arba,GO:1903313,positive regulation of mRNA metabolic process,25
ARBA00026302,arba,GO:1901137,carbohydrate derivative biosynthetic process,185
ARBA00026303,arba,GO:0023052,signaling,674
ARBA00026304,arba,GO:0016755,aminoacyltransferase activity,121
ARBA00026305,arba,GO:0098609,cell-cell adhesion,42
ARBA00026306,arba,GO:0016758,hexosyltransferase activity,118
ARBA00026307,arba,GO:0023051,regulation of signaling,341
ARBA00026308,arba,GO:0016757,glycosyltransferase activity,182
ARBA00026311,arba,GO:0023056,positive regulation of signaling,135
ARBA00026312,arba,GO:0023057,negative regulation of signaling,124
