partner_uniprot	dataset_name	dataset1_domain_rows	intact_records
A4D2P6	GRID2IP	GRID2IP_1 row 50463: pKd=0; GRID2IP_2 row 61669: pKd=0	intact:EBI-67692406|imex:IM-30294-77228 kd:1.0x10(molar); intact:EBI-67898890|imex:IM-30294-100166 kd:1.0x10(molar)
O75970	MPDZ	MPDZ_10 row 47034: pKd=0; MPDZ_5 row 55754: pKd=0; MPDZ_12 row 56606: pKd=0	intact:EBI-67798831|imex:IM-30294-89050 kd:1.0x10(molar); intact:EBI-67813107|imex:IM-30294-90636 kd:1.0x10(molar)
P78352	DLG4	DLG4_2 row 16646: pKd=3.54875336; DLG4_1 row 55459: pKd=0; DLG4_3 row 64535: pKd=0	intact:EBI-67768461|imex:IM-30294-85676 kd:1.0x10(molar); intact:EBI-67793771|imex:IM-30294-88488 kd:1.0x10(molar)
Q02410	APBA1	APBA1_1 row 49724: pKd=0; APBA1_2 row 57285: pKd=0	intact:EBI-67824501|imex:IM-30294-91902 kd:1.0x10(molar)
Q07157	TJP1	TJP1_2 row 52369: pKd=0; TJP1_3 row 59502: pKd=0	intact:EBI-67862024|imex:IM-30294-96070 kd:1.0x10(molar); intact:EBI-67724165|imex:IM-30294-80756 kd:1.0x10(molar)
Q12959	DLG1	DLG1_1 row 39815: pKd=0; DLG1_3 row 55062: pKd=0; DLG1_2 row 62943: pKd=0	intact:EBI-67787165|imex:IM-30294-87754 kd:1.0x10(molar); intact:EBI-67516239|imex:IM-30294-57664 kd:1.0x10(molar); intact:EBI-67920544|imex:IM-30294-102572 kd:1.0x10(molar)
Q14005	IL16	IL16_4 row 48744: pKd=0; IL16_3 row 49937: pKd=0; IL16_1 row 60770: pKd=0	intact:EBI-67664051|imex:IM-30294-74078 kd:1.0x10(molar); intact:EBI-67683730|imex:IM-30294-76264 kd:1.0x10(molar); intact:EBI-67883733|imex:IM-30294-98482 kd:1.0x10(molar)
Q14160	SCRIB	SCRIB_2 row 48823: pKd=0; SCRIB_1 row 52177: pKd=0; SCRIB_3 row 62177: pKd=0	intact:EBI-67720907|imex:IM-30294-80394 kd:1.0x10(molar); intact:EBI-67665386|imex:IM-30294-74226 kd:1.0x10(molar); intact:EBI-67907548|imex:IM-30294-101128 kd:1.0x10(molar)
Q15700	DLG2	DLG2_3 row 44443: pKd=0; DLG2_2 row 63935: pKd=0	intact:EBI-67593003|imex:IM-30294-66186 kd:1.0x10(molar); intact:EBI-67937554|imex:IM-30294-104462 kd:1.0x10(molar)
Q5T2W1	NHERF3	NHERF3_1 row 12780: pKd=3.76290369; NHERF3_3 row 43780: pKd=0; NHERF3_4 row 62799: pKd=0	intact:EBI-67582095|imex:IM-30294-64976 kd:1.0x10(molar); intact:EBI-67918150|imex:IM-30294-102306 kd:1.0x10(molar)
Q68DX3	FRMPD2	FRMPD2_2 row 42786: pKd=0; FRMPD2_3 row 56680: pKd=0; FRMPD2_1 row 61158: pKd=0	intact:EBI-67565625|imex:IM-30294-63150 kd:1.0x10(molar); intact:EBI-67814295|imex:IM-30294-90768 kd:1.0x10(molar)
Q86UL8	MAGI2	MAGI2_4 row 10921: pKd=3.88906699; MAGI2_5 row 15495: pKd=3.60702952; MAGI2_3 row 36001: pKd=0; MAGI2_2 row 37480: pKd=0; MAGI2_6 row 57535: pKd=0	intact:EBI-67452483|imex:IM-30294-50584 kd:1.0x10(molar); intact:EBI-67477577|imex:IM-30294-53372 kd:1.0x10(molar); intact:EBI-67828751|imex:IM-30294-92374 kd:1.0x10(molar)
Q86UT5	NHERF4	NHERF4_1 row 17477: pKd=3.50938756; NHERF4_4 row 41874: pKd=0; NHERF4_2 row 61377: pKd=0	intact:EBI-67550701|imex:IM-30294-61492 kd:1.0x10(molar); intact:EBI-67893994|imex:IM-30294-99622 kd:1.0x10(molar)
Q8N448	LNX2	LNX2_2 row 62719: pKd=0; LNX2_3 row 65120: pKd=0	intact:EBI-67778417|imex:IM-30294-86782 kd:1.0x10(molar); intact:EBI-67916800|imex:IM-30294-102156 kd:1.0x10(molar)
