accession	source_db	name	type	description
IPR000644	interpro	CBS domain	domain	CBS domains are evolutionarily conserved structural domains found in a variety of non functionally-related proteins from all kingdoms of life. These domains pair together to form a intramolecular dimeric structure (CBS pair), termed Bateman domain [[cite:PUB00000457], [cite:PUB00043686], [cite:PUB00099760], [cite:PUB00019267]]. CBS domains have been shown to bind mainly ligands with an adenosyl group such as AMP, ATP and S-AdoMet, but may also bind metal ions, or nucleic acids [[cite:PUB00099760], [cite:PUB00014845]]. Hence, they play an essential role in the regulation of the activities of numerous proteins, and mutations in them are associated with several hereditary diseases [[cite:PUB00099758], [cite:PUB00043686], [cite:PUB00014845]]. CBS domains are found attached to a wide range of other protein domains suggesting that CBS domains may play a regulatory role making proteins sensitive to adenosyl-carrying ligands. The region containing the CBS domains in cystathionine-beta synthase is involved in regulation by S-AdoMet [[cite:PUB00019266]]. CBS domain pairs from AMPK bind AMP or ATP [[cite:PUB00014845]]. The CBS domains from IMPDH, which bind ATP, have shown to have a role in the regulation of adenylate nucleotide synthesis [[cite:PUB00014845], [cite:PUB00099759]].
IPR003439	interpro	ABC transporter-like, ATP-binding domain	domain	"This entry represents a conserved region found in a group of related ATP-binding proteins and is associated with ATP-binding [[cite:PUB00002368], [cite:PUB00000705], [cite:PUB00003995], [cite:PUB00003996], [cite:PUB00003805]].

The proteins belonging to this group also contain one or two copies of the 'A' consensus sequence [[cite:PUB00001131]] or the 'P-loop' sequence motif [[cite:PUB00005361]]."
IPR003959	interpro	ATPase, AAA-type, core	domain	"AAA ATPases (ATPases Associated with diverse cellular Activities) form a large protein family and play a number of roles in the cell including cell-cycle regulation, protein proteolysis and disaggregation, organelle biogenesis and intracellular transport. Some of them function as molecular chaperones, subunits of proteolytic complexes or independent proteases (FtsH, Lon). They also act as DNA helicases and transcription factors [[cite:PUB00043605]].

AAA ATPases belong to the AAA+ superfamily of ringshaped P-loop NTPases, which act via the energy-dependent unfolding of macromolecules [[cite:PUB00014779], [cite:PUB00043606]]. There are six major clades of AAA domains (proteasome subunits, metalloproteases, domains D1 and D2 of ATPases with two AAA domains, the MSP1/katanin/spastin group and BCS1 and it homologues), as well as a number of deeply branching minor clades [[cite:PUB00014779]].

They assemble into oligomeric assemblies (often hexamers) that form a ring-shaped structure with a central pore. These proteins produce a molecular motor that couples ATP binding and hydrolysis to changes in conformational states that act upon a target substrate, either translocating or remodelling it [[cite:PUB00033933]].


They are found in all living organisms and share the common feature of the presence of a highly conserved AAA domain called the AAA module. This domain is responsible for ATP binding and hydrolysis. It contains 200-250 residues, among them there are two classical motifs, Walker A (GX4GKT) and Walker B (HyDE) [[cite:PUB00043605]]."
IPR006667	interpro	SLC41A/MgtE, integral membrane domain	domain	This entry represents the integral membrane region of SLC41 transporter proteins. SLC41 family of divalent cation transporters includes SLC41A1/2/3  from eukaryotes and  MgtE from prokaryotes [[cite:PUB00098696], [cite:PUB00098704], [cite:PUB00098698], [cite:PUB00098699], [cite:PUB00044725]]. MgtE is the prokaryote homologue of SLC41A1 magnesium transporter which adopts a homodimeric architecture with five transmembrane domains in the C terminus and cytosolic N terminus domains [[cite:PUB00098702], [cite:PUB00044725]]. Bacterial family members have one copy of this region while archaeal and eukaryotic sequences have two.
IPR007318	interpro	Phospholipid methyltransferase	domain	This entry includes Saccharomyces cerevisiae phospholipid methyltransferase [ec:2.1.1.16], which has a broad substrate specificity of unsaturated phospholipids [[cite:PUB00009897]], and related enzymes such as methanethiol S-methyltransferase ([ec:2.1.1.334]), which catalyses the methylation of methanethiol to yield dimethylsulphide (a volatile compound important in climate regulation) [[cite:PUB00089624]].
IPR007560	interpro	Restriction endonuclease type IV, Mrr	domain	"There are four classes of restriction endonucleases: types I, II, III and IV. All types of enzymes recognise specific short DNA sequences and carry out the endonucleolytic cleavage of DNA to give specific double-stranded fragments with terminal 5'-phosphates. They differ in their recognition sequence, subunit composition, cleavage position, and cofactor requirements [[cite:PUB00035705], [cite:PUB00035707]], as summarised below:

Type I enzymes ([ec:3.1.21.3]) cleave at sites remote from recognition site; require both ATP and S-adenosyl-L-methionine to function; multifunctional protein with both restriction and methylase ([ec:2.1.1.72]) activities.
Type II enzymes ([ec:3.1.21.4]) cleave within or at short specific distances from recognition site; most require magnesium; single function (restriction) enzymes independent of methylase.
Type III enzymes ([ec:3.1.21.5]) cleave at sites a short distance from recognition site; require ATP (but doesn't hydrolyse it);  S-adenosyl-L-methionine stimulates reaction but is not required; exists as part of a complex with a modification methylase methylase ([ec:2.1.1.72]).
Type IV enzymes target methylated DNA."
IPR011527	interpro	ABC transporter type 1, transmembrane domain	domain	This entry represents the transmembrane domain in cases where the TMD and ABC region are found in the same protein, and corresponds to ABC type 1 from Transporter Classification Database.
IPR018649	interpro	SHOCT domain	domain	The Short C-terminal (SHOCT) domain is widespread in bacteria but is missing from the most commonly studied model organisms, despite being present in closely related species. It's predominantly C-terminal location, co-occurrence with numerous other domains and short size is reminiscent of the Gram-positive anchor motif, however it is present in a much wider range of species. It may be involved in oligomerisation and nucleic acid binding [[cite:PUB00072411]].
IPR018929	interpro	Domain of unknown function DUF2510	domain	This domain of unknown function is found in a family of proteins conserved in Actinobacteria. Many members are annotated as putative membrane proteins but this could not be confirmed.
IPR021228	interpro	BREX system ATP-binding protein BrxD	family	This is a family of proteins found in bacterial proteins associated with Bacteriophage Exclusion (BREX) system, a defense system that allows bacteriophage adsorption but blocks phage DNA replication [[cite:PUB00093365]]. This family represents the ATP-binding protein BrxD [[cite:PUB00093365]].
IPR025280	interpro	SNIPE associated domain	domain	This entry represents the SNIPE associated domain, a small largely α-helical domain found in the SNIPE protein family. SNIPE proteins cleave phage DNA during genome injection. This domain may help SNIPE bind to phage DNA.
IPR025874	interpro	Double zinc ribbon	domain	This entry represents a pair of zinc ribbon domains found in diverse sequences including double zinc ribbon and ankyrin repeat-containing protein 1 from Danio rerio (Dzank1) and similar sequences from animals and uncharacterised proteins from bacteria and archaea. Dzank1 is required for the intracellular transport of organelles and vesicles, and is essential for the photoreceptor's outer segments formation, maintenance and function [[cite:PUB00155457]].
IPR026870	interpro	Zinc-ribbon domain	domain	This entry consists of a single zinc ribbon domain. This domain is found in archaeal Large ribosomal subunit protein eL40 covering the full length of the protein. It is also found in Serine/threonine-protein kinase VRK3 found in eukaryotes, covering the N-terminal. In bacteria, this domain is found at the N-terminal in Membrane-associated protein TcaA and Uncharacterized membrane protein YvbJ.
IPR027860	interpro	Domain of unknown function DUF4429	domain	This presumed domain is functionally uncharacterised. It is found in bacteria, archaea and viruses, and is approximately 90 amino acids in length.  This domain is often found in two tandem copies.
IPR027872	interpro	Domain of unknown function DUF4428	domain	This putative zinc finger domain is found in uncharacterised bacterial and viral proteins.
IPR039519	interpro	YokE-like, PH domain	domain	This entry represents the PH domain found in uncharacterised proteins, including Bacillus subtilis YokE.
IPR041627	interpro	CbbX, AAA lid domain	domain	Many AAA+ proteins have a C-terminal α-helical bundle in addition to the AAA core. The functional roles of the helical bundle are varied and include the formation of a lid over the nucleotide binding site and mediation of subunit interactions in oligomeric protein complexes. This entry represents the α helical AAA+ lid domain that is found to the C terminus of AAA domains in the CfxQ/CbbX family [[cite:PUB00091651]].
IPR055539	interpro	Domain of unknown function DUF7115	domain	This domain is found at the N-terminal of HVO_2519 from Haloferax volcanii ([swissprot:D4GTV1]) and similar proteins mainly from halobacteria. It has several conserved motifs RTxxYR, Y/FxHxxxR an RRK. It is predicted to show an α-β configuration.
IPR058962	interpro	Protein of unknown function DUF8108-like, N-terminal domain	domain	This entry represents the N-terminal domain from a family of uncharacterised proteins from halophilic archaea and some bacterial species. Proteins in this family are typically between 150 and 350 amino acids in length. They are predicted to be membrane-associated, as suggested by the presence of two transmembrane helices in the central domain [interpro:IPR058963].
PF00004	pfam	ATPase family associated with various cellular activities (AAA)	domain	AAA family proteins often perform chaperone-like functions that assist in the assembly, operation, or disassembly of protein complexes [[cite:PUB00005841]].
PF00005	pfam	ABC transporter	domain	ABC transporters for a large family of proteins responsible for translocation of a variety of compounds across biological membranes.  ABC transporters are the largest family of proteins in many completely sequenced bacteria. ABC transporters are composed of two copies of this domain and two copies of a transmembrane domain [pfam:PF00664]. These four domains may belong to a single polypeptide as in [swissprot:P13569], or belong in different polypeptide chains.
PF00571	pfam	CBS domain	domain	CBS domains are small intracellular modules that pair together to form a stable globular domain [[cite:PUB00000457]]. This family represents a single CBS domain. Pairs of these domains have been termed a Bateman domain [[cite:PUB00019267]]. CBS domains have been shown to bind ligands with an adenosyl group such as AMP, ATP and S-AdoMet [[cite:PUB00014845]].  CBS domains are found attached to a wide range of other protein domains suggesting that CBS domains may play a regulatory role making proteins sensitive to adenosyl carrying ligands. The region containing the CBS domains in Cystathionine-beta synthase is involved in regulation by S-AdoMet [[cite:PUB00019266]]. CBS domain pairs from AMPK bind AMP or ATP [[cite:PUB00014845]]. The CBS domains from IMPDH and the chloride channel CLC2 bind ATP [[cite:PUB00014845]].
PF00664	pfam	ABC transporter transmembrane region	family	This family represents a unit of six transmembrane helices. Many members of the ABC transporter family ([pfam:PF00005]) have two such regions.
PF01769	pfam	Divalent cation transporter	family	This region is the integral membrane part of the eubacterial MgtE family of magnesium transporters. Related regions are found also in archaebacterial and eukaryotic proteins. All the archaebacterial and eukaryotic examples have two copies of the region. This suggests that the eubacterial examples may act as dimers. Members of this family probably transport Mg2+ or other divalent cations into the cell. The alignment contains two highly conserved aspartates that may be involved in cation binding (Bateman A unpubl.)
PF04191	pfam	Phospholipid methyltransferase	family	The S. cerevisiae phospholipid methyltransferase ([ec:2.1.1.16]) has a broad substrate specificity of unsaturated phospholipids [[cite:PUB00009897]].
PF04471	pfam	Restriction endonuclease	family	Prokaryotic family found in type II restriction enzymes containing the hallmark (D/E)-(D/E)XK active site. Presence of catalytic residues implicates this region in the enzymatic cleavage of DNA [[cite:PUB00010098],[cite:PUB00010100]].
PF09851	pfam	Short C-terminal domain	domain	
PF10708	pfam	Protein of unknown function (DUF2510)	family	This is family of proteins conserved in Actinobacteria. Many members are annotated as putative membrane proteins but this could not be confirmed.
