domain_accession	source_db	name	type	weighted_proteins	weighted_prevalence_pct	architectures_observed	mean_domain_start_in_representatives
PF09851	pfam	Short C-terminal domain	domain	1117	40.44	4	260.5
IPR018649	interpro	SHOCT domain	domain	1117	40.44	4	260.5
PF14471	pfam	Domain of unknown function (DUF4428)	domain	48	1.74	1	9.0
IPR027872	interpro	Domain of unknown function DUF4428	domain	48	1.74	1	9.0
PF13240	pfam	zinc-ribbon domain	domain	7	0.25	2	76.0
IPR026870	interpro	Zinc-ribbon domain	domain	7	0.25	2	76.0
PF23428	pfam	Domain of unknown function (DUF7115)	domain	6	0.22	1	1.0
IPR055539	interpro	Domain of unknown function DUF7115	domain	6	0.22	1	1.0
PF10708	pfam	Protein of unknown function (DUF2510)	family	6	0.22	2	170.5
IPR018929	interpro	Domain of unknown function DUF2510	domain	6	0.22	2	170.5
PF00004	pfam	ATPase family associated with various cellular activities (AAA)	domain	5	0.18	1	250.0
IPR003959	interpro	ATPase, AAA-type, core	domain	5	0.18	1	250.0
PF17866	pfam	AAA lid domain	domain	5	0.18	1	382.0
IPR041627	interpro	CbbX, AAA lid domain	domain	5	0.18	1	382.0
PF12773	pfam	Double zinc ribbon	family	5	0.18	2	85.5
IPR025874	interpro	Double zinc ribbon	domain	5	0.18	2	85.5
PF14472	pfam	Domain of unknown function (DUF4429)	domain	5	0.18	2	26.0
IPR027860	interpro	Domain of unknown function DUF4429	domain	5	0.18	2	26.0
PF26438	pfam	Domain of unknown function (DUF8108) N-terminal domain	domain	3	0.11	1	166.0
IPR058962	interpro	Protein of unknown function DUF8108-like, N-terminal domain	domain	3	0.11	1	166.0
PF13250	pfam	SNIPE associated domain	domain	2	0.07	1	329.0
IPR025280	interpro	SNIPE associated domain	domain	2	0.07	1	329.0
PF13455	pfam	Meiotically up-regulated gene 113	family	2	0.07	1	544.0
PF00664	pfam	ABC transporter transmembrane region	family	2	0.07	1	194.0
IPR011527	interpro	ABC transporter type 1, transmembrane domain	domain	2	0.07	1	194.0
PF00005	pfam	ABC transporter	domain	2	0.07	1	558.0
IPR003439	interpro	ABC transporter-like, ATP-binding domain	domain	2	0.07	1	558.0
PF04191	pfam	Phospholipid methyltransferase	family	2	0.07	1	64.0
IPR007318	interpro	Phospholipid methyltransferase	domain	2	0.07	1	64.0
PF10923	pfam	BREX system ATP-binding protein BrxC/D	domain	2	0.07	1	12.0
IPR021228	interpro	BREX system ATP-binding protein BrxD	family	2	0.07	1	12.0
PF04471	pfam	Restriction endonuclease	family	2	0.07	1	201.0
IPR007560	interpro	Restriction endonuclease type IV, Mrr	domain	2	0.07	1	201.0
PF00571	pfam	CBS domain	domain	1	0.04	1	176.5
IPR000644	interpro	CBS domain	domain	1	0.04	1	176.5
PF01769	pfam	Divalent cation transporter	family	1	0.04	1	330.0
IPR006667	interpro	SLC41A/MgtE, integral membrane domain	domain	1	0.04	1	330.0
