pfam	interpro	go_id	go_label	category
PF01513	IPR064509	GO:0006741	NADP+ biosynthetic process	DISJOINT_PARENT_NO_GO
PF02346	IPR063475	GO:0019031	viral envelope	DISJOINT_PARENT_NO_GO
PF02346	IPR063475	GO:0019064	fusion of virus membrane with host plasma membrane	DISJOINT_PARENT_NO_GO
PF03588	IPR063612	GO:0008914	leucyl-tRNA--protein transferase activity	DISJOINT_PARENT_NO_GO
PF03588	IPR063612	GO:0030163	protein catabolic process	DISJOINT_PARENT_NO_GO
PF04258	IPR064098	GO:0016020	membrane	DISJOINT_PARENT_NO_GO
PF04258	IPR064098	GO:0042500	aspartic endopeptidase activity, intramembrane cleaving	DISJOINT_PARENT_NO_GO
PF04350	IPR061922	GO:0043107	type IV pilus-dependent motility	DISJOINT_PARENT_NO_GO
PF04350	IPR061922	GO:0043683	type IV pilus assembly	DISJOINT_PARENT_NO_GO
PF04612	IPR061921	GO:0015627	type II protein secretion system complex	DISJOINT_PARENT_NO_GO
PF04612	IPR061921	GO:0015628	protein secretion by the type II secretion system	DISJOINT_PARENT_NO_GO
PF06213	IPR063680	GO:0009236	cobalamin biosynthetic process	DISJOINT_PARENT_NO_GO
PF08214	IPR016849	GO:0004402	histone acetyltransferase activity	MORE_GENERAL
PF08214	IPR016849	GO:0006355	regulation of DNA-templated transcription	DISJOINT_PARENT_HAS_GO
PF08551	IPR061914	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	DISJOINT_PARENT_NO_GO
PF08551	IPR061914	GO:0016020	membrane	DISJOINT_PARENT_NO_GO
PF10156	IPR063477	GO:0003712	transcription coregulator activity	DISJOINT_PARENT_NO_GO
PF10156	IPR063477	GO:0006357	regulation of transcription by RNA polymerase II	DISJOINT_PARENT_NO_GO
PF10156	IPR063477	GO:0016592	mediator complex	DISJOINT_PARENT_NO_GO
PF10272	IPR063936	GO:0016020	membrane	DISJOINT_PARENT_NO_GO
PF10272	IPR063936	GO:0016567	protein ubiquitination	DISJOINT_PARENT_NO_GO
PF10272	IPR063936	GO:0061630	ubiquitin protein ligase activity	DISJOINT_PARENT_NO_GO
PF10995	IPR063588	GO:0035438	cyclic-di-GMP binding	DISJOINT_PARENT_NO_GO
PF17659	IPR061920	GO:0003697	single-stranded DNA binding	DISJOINT_PARENT_NO_GO
PF17825	IPR063559	GO:0000712	resolution of meiotic recombination intermediates	DISJOINT_PARENT_NO_GO
PF17825	IPR063559	GO:0000794	condensed nuclear chromosome	DISJOINT_PARENT_NO_GO
PF17825	IPR063559	GO:0016887	ATP hydrolysis activity	DISJOINT_PARENT_NO_GO
