interpro	type	n_pfam_members	min_go_depth	go_terms	pfam_members
IPR002110	Repeat	5	2	GO:0005515 protein binding	PF00023,PF12796,PF13606,PF13637,PF13857
IPR000182	Domain	5	4	GO:0016747 acyltransferase activity, transferring groups other than amino-acyl groups	PF00583,PF13302,PF13508,PF13673,PF13718
IPR002048	Domain	5	6	GO:0005509 calcium ion binding	PF00036,PF13202,PF13405,PF13499,PF13833
IPR001810	Domain	4	2	GO:0005515 protein binding	PF00646,PF12937,PF13013,PF15966
IPR019734	Repeat	4	2	GO:0005515 protein binding	PF00515,PF13174,PF13176,PF13181
IPR011598	Domain	4	3	GO:0046983 protein dimerization activity	PF00010,PF23171,PF23173,PF23176
IPR005135	Domain	3	1	GO:0003824 catalytic activity	PF03372,PF14529,PF19580
IPR009056	Domain	3	1	GO:0009055 electron transfer activity|GO:0020037 heme binding	PF00034,PF13442,PF21342
IPR000835	Domain	3	2	GO:0003700 DNA-binding transcription factor activity|GO:0006355 regulation of DNA-templated transcription	PF01047,PF12802,PF13463
IPR001347	Domain	3	2	GO:0097367 carbohydrate derivative binding|GO:1901135 carbohydrate derivative metabolic process	PF01380,PF13580,PF22645
IPR001452	Domain	3	2	GO:0005515 protein binding	PF00018,PF07653,PF14604
IPR001611	Repeat	3	2	GO:0005515 protein binding	PF00560,PF13516,PF13855
IPR003018	Domain	3	2	GO:0005515 protein binding	PF01590,PF13185,PF13492
IPR003660	Domain	3	2	GO:0007165 signal transduction|GO:0016020 membrane	PF00672,PF18947,PF26769
IPR003959	Domain	3	2	GO:0005524 ATP binding|GO:0016887 ATP hydrolysis activity	PF00004,PF07724,PF13304
IPR011527	Domain	3	2	GO:0005524 ATP binding|GO:0016020 membrane|GO:0055085 transmembrane transport|GO:0140359 ABC-type transporter activity	PF00664,PF06472,PF13748
IPR000504	Domain	3	3	GO:0003723 RNA binding	PF00076,PF16367,PF28441
IPR003340	Domain	3	3	GO:0003677 DNA binding	PF02362,PF03754,PF31239
IPR004107	Domain	3	3	GO:0003677 DNA binding|GO:0015074 DNA integration	PF02899,PF13495,PF14659
IPR004860	Domain	3	4	GO:0004519 endonuclease activity	PF00961,PF03161,PF14528
IPR008254	Domain	3	4	GO:0010181 FMN binding	PF00258,PF12641,PF12682
IPR004143	Domain	3	5	GO:0036211 protein modification process	PF03099,PF16917,PF21948
IPR001584	Domain	3	6	GO:0015074 DNA integration	PF00665,PF13333,PF13683
IPR008147	Domain	2	0	GO:0004356 glutamine synthetase activity|GO:0006542 obsolete glutamine biosynthetic process	PF03951,PF16952
IPR005797	Domain	2	1	GO:0009055 electron transfer activity|GO:0016020 membrane|GO:0016491 oxidoreductase activity	PF00033,PF13631
IPR010392	Family	2	1	GO:0005198 structural molecule activity|GO:0019028 viral capsid	PF03898,PF06184
IPR000157	Domain	2	2	GO:0007165 signal transduction	PF01582,PF13676
IPR000626	Domain	2	2	GO:0005515 protein binding	PF00240,PF14560
IPR001190	Domain	2	2	GO:0016020 membrane	PF00530,PF15494
IPR001202	Domain	2	2	GO:0005515 protein binding	PF00397,PF18507
IPR001214	Domain	2	2	GO:0005515 protein binding	PF00856,PF21549
IPR001478	Domain	2	2	GO:0005515 protein binding	PF00595,PF13180
IPR001660	Domain	2	2	GO:0005515 protein binding	PF00536,PF07647
IPR002083	Domain	2	2	GO:0005515 protein binding	PF00917,PF22486
IPR002156	Domain	2	2	GO:0003676 nucleic acid binding|GO:0004523 RNA-DNA hybrid ribonuclease activity	PF00075,PF13456
IPR002350	Domain	2	2	GO:0005515 protein binding	PF00050,PF07648
IPR003352	Domain	2	2	GO:0008982 protein-N(PI)-phosphohistidine-carbohydrate phosphotransferase activity|GO:0009401 phosphoenolpyruvate-dependent sugar phosphotransferase system|GO:0016020 membrane	PF02378,PF13303
IPR003961	Domain	2	2	GO:0005515 protein binding	PF00041,PF01108
IPR004031	Family	2	2	GO:0016020 membrane	PF00822,PF13903
IPR004148	Domain	2	2	GO:0005515 protein binding|GO:0005737 cytoplasm	PF03114,PF16746
IPR004827	Domain	2	2	GO:0003700 DNA-binding transcription factor activity|GO:0006355 regulation of DNA-templated transcription	PF00170,PF07716
IPR005084	Domain	2	2	GO:0030246 carbohydrate binding	PF03422,PF16990
