uniprot_accession	panther_family_sf
A0A140FWK2	PTHR11647:SF1
A0A140FWQ9	PTHR34182:SF1
A0A140FWS4	PTHR10566:SF113
A0AHF9	PTHR22960:SF29
A0JQW8	PTHR12128:SF19
A1L188	PTHR34561:SF1
A1L3X0	PTHR11157:SF118
A5PLL7	PTHR48177:SF1
A6NFY7	PTHR47046:SF1
A6NK58	PTHR10993:SF7
B0YJ81	PTHR11035:SF22
C8VBM8	PTHR40621:SF6
C8VQG9	PTHR43591:SF30
C8VTS4	PTHR33572:SF3
C8VTV4	PTHR33572:SF14
G5EAS8	PTHR23233:SF84
G5EAY5	PTHR45614:SF25
K7K424	PTHR12317:SF63
O00116	PTHR46568:SF1
O00142	PTHR10513:SF24
O00217	PTHR10849:SF20
O00330	PTHR23151:SF90
O00429	PTHR11566:SF39
O00548	PTHR24044:SF380
O00623	PTHR12888:SF2
O00628	PTHR46027:SF1
O00763	PTHR45728:SF1
O00764	PTHR10534:SF2
O14521	PTHR13337:SF6
O14678	PTHR11384:SF59
O14841	PTHR11365:SF2
O14920	PTHR22969:SF7
O14949	PTHR12119:SF2
O14977	PTHR11482:SF7
O15067	PTHR10099:SF1
O15111	PTHR22969:SF13
O15120	PTHR10434:SF2
O15121	PTHR12879:SF2
O15228	PTHR12563:SF17
O15229	PTHR46028:SF2
O15239	PTHR17098:SF2
O15254	PTHR10909:SF390
O15269	PTHR13693:SF2
O15270	PTHR13693:SF79
O15382	PTHR11825:SF39
O32129	PTHR10949:SF0
O43175	PTHR42938:SF22
O43181	PTHR12219:SF28
O43252	PTHR11055:SF17
O43272	PTHR13914:SF0
O43286	PTHR19300:SF45
O43292	PTHR13304:SF0
O43353	PTHR44329:SF9
O43676	PTHR15082:SF2
O43678	PTHR12878:SF6
O43708	PTHR42673:SF4
O43766	PTHR10949:SF0
O43772	PTHR45624:SF56
O43826	PTHR43826:SF3
O43933	PTHR23077:SF12
O60494	PTHR47537:SF2
O60674	PTHR45807:SF1
O60683	PTHR23350:SF0
O60725	PTHR12714:SF9
O60762	PTHR43398:SF1
O60779	PTHR10686:SF19
O60906	PTHR12393:SF6
O75192	PTHR12652:SF22
O75208	PTHR21427:SF19
O75223	PTHR12935:SF0
O75251	PTHR11995:SF22
O75306	PTHR11993:SF10
O75352	PTHR12226:SF2
O75380	PTHR13156:SF0
O75381	PTHR23058:SF0
O75489	PTHR10884:SF15
O75746	PTHR45678:SF7
O75752	PTHR11214:SF153
O75845	PTHR11863:SF226
O75881	PTHR24304:SF0
O75907	PTHR10408:SF7
O75911	PTHR24322:SF483
O76082	PTHR24064:SF283
O94777	PTHR15039:SF11
O94788	PTHR11699:SF102
O94808	PTHR10937:SF10
O94925	PTHR12544:SF49
O95045	PTHR43691:SF8
O95169	PTHR12840:SF2
O95237	PTHR46678:SF1
O95298	PTHR13099:SF0
O95299	PTHR10513:SF15
O95336	PTHR11054:SF0
O95340	PTHR11055:SF16
O95394	PTHR45955:SF1
O95427	PTHR12250:SF0
O95470	PTHR42735:SF6
O95544	PTHR20275:SF0
O95749	PTHR12001:SF44
O95835	PTHR24356:SF138
O95954	PTHR12234:SF0
O95992	PTHR11863:SF213
O96000	PTHR13094:SF1
O96011	PTHR12652:SF7
P00338	PTHR43128:SF10
P00350	PTHR11811:SF25
P00367	PTHR11606:SF25
P00390	PTHR42737:SF5
P00480	PTHR45753:SF3
P00491	PTHR11904:SF12
P00492	PTHR43340:SF6
P00505	PTHR11879:SF39
P00533	PTHR24416:SF91
P00558	PTHR11406:SF14
P00803	PTHR43390:SF1
P00813	PTHR11409:SF43
P00966	PTHR11587:SF5
P01137	PTHR11848:SF125
P01584	PTHR10078:SF30
P03018	PTHR11070:SF2
P04035	PTHR10572:SF24
P04062	PTHR11069:SF33
P04075	PTHR11627:SF1
P04181	PTHR11986:SF118
P04406	PTHR10836:SF111
P04424	PTHR43814:SF1
P04425	PTHR21621:SF4
P04626	PTHR24416:SF137
P04629	PTHR24416:SF370
P04818	PTHR11548:SF2
P04843	PTHR21049:SF0
