GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O04197	COI1	located_in	GO:0019005	SCF ubiquitin ligase complex	cellular_component	ECO:0000314	IDA	PMID:12172031		3702	Arabidopsis thaliana	ComplexPortal	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009901	anther dehiscence	biological_process	ECO:0000315	IMP	PMID:23573263		3702	Arabidopsis thaliana	CACAO	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0006952	defense response	biological_process	ECO:0000304	TAS	PMID:9582125		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0042742	defense response to bacterium	biological_process	ECO:0000315	IMP	PMID:16959575		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0050832	defense response to fungus	biological_process	ECO:0000315	IMP	PMID:17513501		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0106167	extracellular ATP signaling	biological_process	ECO:0000315	IMP	PMID:30630869		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009861	jasmonic acid and ethylene-dependent systemic resistance	biological_process	ECO:0000304	TAS	PMID:11418339		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009861	jasmonic acid and ethylene-dependent systemic resistance	biological_process	ECO:0000304	TAS	PMID:9582125		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009867	jasmonic acid mediated signaling pathway	biological_process	ECO:0000315	IMP	PMID:17637677		3702	Arabidopsis thaliana	ComplexPortal	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0031348	negative regulation of defense response	biological_process	ECO:0000315	IMP	PMID:16732289		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009909	regulation of flower development	biological_process	ECO:0000315	IMP	PMID:20435902		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0010218	response to far red light	biological_process	ECO:0000315	IMP	PMID:20435902		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009625	response to insect	biological_process	ECO:0000315	IMP	PMID:15923339		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009753	response to jasmonic acid	biological_process	ECO:0000315	IMP	PMID:16021335		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009753	response to jasmonic acid	biological_process	ECO:0000315	IMP	PMID:17637677		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009611	response to wounding	biological_process	ECO:0000315	IMP	PMID:16021335		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0048364	root development	biological_process	ECO:0000315	IMP	PMID:27756820		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	biological_process	ECO:0000315	IMP	PMID:17637675		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0009641	shade avoidance	biological_process	ECO:0000315	IMP	PMID:20435902		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0048443	stamen development	biological_process	ECO:0000315	IMP	PMID:27756820		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0010118	stomatal movement	biological_process	ECO:0000315	IMP	PMID:16959575		3702	Arabidopsis thaliana	TAIR	Coronatine-insensitive protein 1
UniProtKB	O04197	COI1	involved_in	GO:0006511	ubiquitin-dependent protein catabolic process	biological_process	ECO:0000304	TAS	PMID:11019805		3702	Arabidopsis thaliana	TIGR	Coronatine-insensitive protein 1
