GO_ID	GO_Label	Evidence_Code	Original_Ref	Action	Rationale	Proposed_Replacement
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	IBA	GO_REF:0000033	ACCEPT	Phylogenetic inference from mammalian Nrf2 orthologs supported by structure	
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	IBA	GO_REF:0000033	ACCEPT	Core molecular function well-supported by experimental evidence	
GO:0005634	nucleus	IBA	GO_REF:0000033	ACCEPT	Dynamic stress-responsive nuclear localization	
GO:0006357	regulation of transcription by RNA polymerase II	IBA	GO_REF:0000033	ACCEPT	Master transcriptional regulator function	
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	IEA	GO_REF:0000002	ACCEPT	InterPro domain mapping for NFE2-like domain	
GO:0003677	DNA binding	IEA	GO_REF:0000120	ACCEPT	General but accurate annotation	
GO:0003700	DNA-binding transcription factor activity	IEA	GO_REF:0000002	ACCEPT	Consistent with bZIP domain annotation	
GO:0005634	nucleus	IEA	GO_REF:0000044	ACCEPT	UniProt subcellular location mapping	
GO:0005737	cytoplasm	IEA	GO_REF:0000044	ACCEPT	Basal cytoplasmic localization confirmed	
GO:0005739	mitochondrion	IEA	GO_REF:0000044	ACCEPT	SKN-1A isoform mitochondrial localization	
GO:0006351	DNA-templated transcription	IEA	GO_REF:0000043	ACCEPT	UniProtKB keyword-based annotation	
GO:0006355	regulation of DNA-templated transcription	IEA	GO_REF:0000002	ACCEPT	InterPro domain mapping	
GO:0006357	regulation of transcription by RNA polymerase II	IEA	GO_REF:0000002	ACCEPT	InterPro NFE2-like domain	
GO:0006417	regulation of translation	IEA	GO_REF:0000043	UNDECIDED	Limited direct evidence; may represent indirect effects	
GO:0010468	regulation of gene expression	IEA	GO_REF:0000117	ACCEPT	ARBA machine learning annotation	
GO:0045944	positive regulation of transcription by RNA polymerase II	IMP	PMID:24068940	ACCEPT	Direct experimental evidence	
GO:1990748	cellular detoxification	IMP	PMID:23721876	ACCEPT	Core biological process	
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	IDA	PMID:28600327	ACCEPT	Direct demonstration in oxidative stress	
GO:0005515	protein binding	IPI	PMID:28600327	MODIFY	ELT-3 interaction is specific transcription factor binding	GO:0140297
GO:0005634	nucleus	IDA	PMID:28600327	ACCEPT	Confirms nuclear localization in stress response	
GO:0008340	determination of adult lifespan	IMP	PMID:28600327	ACCEPT	Core longevity function	
GO:0045944	positive regulation of transcription by RNA polymerase II	IMP	PMID:28600327	ACCEPT	Valid experimental evidence	
GO:0005634	nucleus	IDA	PMID:34407394	ACCEPT	Nuclear localization during innate immunity	
GO:0042742	defense response to bacterium	IMP	PMID:34407394	ACCEPT	Core innate immunity function	
GO:0048565	digestive tract development	IMP	PMID:1547503	ACCEPT	Core developmental function	
GO:0048566	embryonic digestive tract development	IMP	PMID:1547503	ACCEPT	Appropriately specific annotation	
GO:0010468	regulation of gene expression	IMP	PMID:26016853	ACCEPT	Regulates innate immunity genes	
GO:0050829	defense response to Gram-negative bacterium	IMP	PMID:26016853	ACCEPT	Specific immunity function	
