citation,evidence_type,stance,claim_tested,key_finding,context,confidence_limitations
PMID:24954904,direct assay/interaction,supports,WIPI2 molecular function,"ATG16L1 directly binds WIPI2b; PI3P effector required for LC3 conjugation; also required for Salmonella xenophagy",human cells/MEF/GUV,high; shared-machinery role in a selective pathway
PMID:32437499,reconstitution assay,supports,WIPI2 activates LC3 lipidation,"LC3 lipidation strictly requires PI3P-dependent WIPI2, which allosterically activates E3 complex",in vitro GUV,high; generic mechanism not cargo-specific
PMID:20505359,localization/mutant (IDA/IMP),supports,WIPI2 localizes/regulates lipidation,WIPI2 at omegasome-anchored phagophores; positively regulates LC3 lipidation,human cells,high
GO_REF:0000033 (GO_Central),review/database,qualifies,Are the 3 terms experimental for WIPI2?,pexophagy/nucleophagy/glycophagy all IBA-only; no IDA/IMP on Q9Y4P8,human WIPI2 annotation set,high for fact; IBA != direct
PMID:11739783,mutant phenotype (IMP),qualifies,Atg18 ortholog required for pexophagy,yeast Atg18 required for pexophagy (IBA seed),S. cerevisiae,seed of pexophagy IBA; general requirement
PMID:18701704/22768199,mutant phenotype (IMP),qualifies,Atg18/Atg21 required for nucleophagy,core Atg cohort incl Atg18 required for yeast PMN (IBA seed),S. cerevisiae,seed of nucleophagy IBA
PMID:24265594,mutant phenotype (IMP),qualifies,Atg18a required for glycogen breakdown,whole core Atg set incl Atg18a required for autophagic glycogen degradation (IBA seed),Drosophila,within-family experimental seed of glycophagy IBA; core machinery
PMID:26524528/26654219,direct assay/mutant,competing,Nucleophagy selectivity mechanism,direct LC3-LMNB1 interaction targets LADs; drives OIS,human primary cells,high; selectivity is LC3-cargo WIPI2 not receptor
PMID:39236246,structural/direct assay,competing,Glycophagy selectivity mechanism,STBD1 CBM20 binds glycogen; LIR binds GABARAPL1 and recruits RB1CC1,human/structures,high; WIPI2 not glycophagy receptor
PMID:36541703/37493040/39765694,mutant/localization,competing,Pexophagy selectivity mechanism,NBR1/p62 + ubiquitinated PEX5 + PEX2 E3 drive mammalian pexophagy,human/zebrafish/rat,high; WIPI2 not pexophagy receptor
QuickGO paralog scan,computational/database,qualifies,Is IBA paralog-specific?,identical IBA (pexo/nucleo/glyco/mito) on WIPI1/2/3/4 despite ATG16L1-arm vs ATG2-arm divergence,human paralogs,high; IBA cannot resolve divergence
