label,eqWEE1_F6TY09,hWEE1_P30291,mWEE1_P47810,horseWEE2_A0A9L0SIB9,hWEE2_P0C1S8,mWEE2_Q66JT0,dmWEE1_P41847
eqWEE1_F6TY09,100.0,95.4,90.1,50.4,52.0,50.6,52.1
hWEE1_P30291,95.4,100.0,90.6,49.9,51.7,51.0,52.1
mWEE1_P47810,90.1,90.6,100.0,49.8,51.5,50.5,51.3
horseWEE2_A0A9L0SIB9,50.4,49.9,49.8,100.0,82.7,70.3,51.7
hWEE2_P0C1S8,52.0,51.7,51.5,82.7,100.0,68.3,50.0
mWEE2_Q66JT0,50.6,51.0,50.5,70.3,68.3,100.0,49.6
dmWEE1_P41847,52.1,52.1,51.3,51.7,50.0,49.6,100.0
# Method: global Needleman-Wunsch (match +1, mismatch -1, gap -2), % identity over shorter sequence.
# Sequences: UniProt REST FASTA, retrieved 2026-09-08. Lengths: F6TY09=646, P30291=646, P47810=646, A0A9L0SIB9=605, P0C1S8=567, Q66JT0=555, P41847=238.
# Interpretation: F6TY09 groups with the WEE1 clade (90-95%); WEE2 orthologs form a separate clade (68-83%); cross-clade identity ~50%. GO:0035038 (female pronucleus assembly) is annotated to the WEE2 clade, not WEE1.
